arxiv_id	source_family_id	title	status	reason	review_status	access_status	owner	disposition
2606.00119	SF-2026-ARXIV-2606-00119	V2I Work Zone Geometry Reconstruction with Pose-Conditioned UWB Range Denoising	pre_denominator_closure	V2I Work Zone Geometry Reconstruction with Pose-Conditioned UWB Range Denoising 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00120	SF-2026-ARXIV-2606-00120	SpikeWFM: Spiking-Aided Wireless Foundation Model for Robust Channel Prediction	pre_denominator_closure	SpikeWFM: Spiking-Aided Wireless Foundation Model for Robust Channel Prediction 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00121	SF-2026-ARXIV-2606-00121	Versatile Framework with Semantic and Structural guidance for Image Reconstruction from Brain Activity	pre_denominator_closure	Versatile Framework with Semantic and Structural guidance for Image Reconstruction from Brain Activity 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00123	SF-2026-ARXIV-2606-00123	CardioLens: Revealing the Clinical Reality Gap of MLLMs via Multi-Sequence Cardiac MRI Evaluations	pre_denominator_closure	CardioLens: Revealing the Clinical Reality Gap of MLLMs via Multi-Sequence Cardiac MRI Evaluations 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00124	SF-2026-ARXIV-2606-00124	Positional Encodings Anchor Spatial Structure in Vision Transformers: A Geometric Perspective on Robustness	pre_denominator_closure	Positional Encodings Anchor Spatial Structure in Vision Transformers: A Geometric Perspective on Robustness 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00125	SF-2026-ARXIV-2606-00125	Multimodal Music Recommendation System using LLMs	pre_denominator_closure	Multimodal Music Recommendation System using LLMs 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00129	SF-2026-ARXIV-2606-00129	A Shared Valence Axis Across Modern LLMs and Human EEG: The Saturation Regularity	pre_denominator_closure	A Shared Valence Axis Across Modern LLMs and Human EEG: The Saturation Regularity 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00130	SF-2026-ARXIV-2606-00130	Automatically Differentiable Nonlinear Tensor Networks (ADNTNs) for Exponential Parameter Compression of Deep Neural Networks	pre_denominator_closure	Automatically Differentiable Nonlinear Tensor Networks (ADNTNs) for Exponential Parameter Compression of Deep Neural Networks 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00131	SF-2026-ARXIV-2606-00131	AI-PROPELLER: Warehouse-Scale Interprocedural Code Layout Optimization with AlphaEvolve	pre_denominator_closure	AI-PROPELLER: Warehouse-Scale Interprocedural Code Layout Optimization with AlphaEvolve 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00132	SF-2026-ARXIV-2606-00132	Foundation-Preserving Adaptation via Generalized Rayleigh-Quotient Optimization	pre_denominator_closure	Foundation-Preserving Adaptation via Generalized Rayleigh-Quotient Optimization 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
