arxiv_identity	first_public_utc	title	categories	screening_route	denominator_action	closure_reason	withdrawal_status
2608.30114v1	2026-08-31T01:00:14Z	Manacá-1B: An Open, Reproducible Brazilian-Portuguese Language Model and a Tokenizer-Aware, Paired Evaluation	cs.CL	core-daily-full-semantic-screen	retained	retained: durable AI-system mechanism or ownership/evaluation-contract delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30115v1	2026-08-31T01:00:35Z	Building a Better Beta: Nucleation and Timescales in Cosmological Phase Transitions	hep-ph,astro-ph.CO	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30116v1	2026-08-31T01:06:26Z	Moment-based formulas for the transport coefficients	astro-ph.SR,physics.flu-dyn	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30117v1	2026-08-31T01:06:40Z	Two-step transient liquid phase bonding of NiTi to Ti-6Al-4V through a NbZrW barrier	cond-mat.mtrl-sci	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30118v1	2026-08-31T01:07:42Z	All-optical reconstruction of valley polarization through helicity-resolved high-harmonic generation	physics.optics,physics.atom-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30119v1	2026-08-31T01:09:12Z	At most exponential growth of periodic orbits for star flows	math.DS	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30120v1	2026-08-31T01:11:27Z	Graphs of operators as points in the Grassmann manifold	math.FA,math.DG,math.OA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30121v1	2026-08-31T01:15:29Z	Structure-Preserving Detailed-Balance Master-Equation Discretizations for Fokker--Planck Equations	math.NA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30122v1	2026-08-31T01:17:18Z	Aligning Multi-Trajectory Supervision with Policy Optimization for VLA Driving	cs.CV,cs.AI,cs.LG	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30123v1	2026-08-31T01:17:53Z	Interception Conditions in Multi-Agent Pursuit Games Governed by Linear Dynamics with Gronwall-type Constraints	math.OC	triggered-backstop-check	pre-denominator closure	triggered-backstop category without a qualifying Daily trigger or durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30124v1	2026-08-31T01:18:44Z	TPR-Attention for Combinatorial Generalization	cs.LG,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30125v1	2026-08-31T01:19:55Z	VIBE: Video Instruction-aligned Background music gEneration	cs.SD,cs.AI,cs.CL,cs.CV,cs.LG	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30126v1	2026-08-31T01:22:11Z	Complete characterization of a class of complete permutation quadrinomials over \(\mathbb{F}_{q^2}\)	math.NT	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30127v1	2026-08-31T01:22:53Z	Simplicity and pure infiniteness for $\text{C}^*$-algebras associated with stabilizers of boundary actions	math.OA,math.DS,math.GR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30128v1	2026-08-31T01:24:03Z	Analysis of First-Order Linear Pursuit and Evasion Differential Games with Gronwall-Type Constraints	math.OC,math.DS	triggered-backstop-check	pre-denominator closure	triggered-backstop category without a qualifying Daily trigger or durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30129v1	2026-08-31T01:27:50Z	Efficient and High-Quality Depth Estimation via Pixel-Space Diffusion with Linear Attention	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30130v1	2026-08-31T01:28:49Z	E-SENS: Exclusion-Sensitive Penalization for Negative-Constraint Retrieval	cs.IR,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
