arxiv_id	title	screening_status	source_family_id	screening_reason	owner_node	review_status	access_status	integration_disposition
2606.00049	Measuring and Mitigating Bias in Code Generated by Large Language Models	pre_denominator_closure	SF-2026-ARXIV-2606-00049	问题/机制：Measuring and Mitigating Bias in Code Generated by Large Language Models 以“In addition, we investigate four lightweight mitigation strategies: Few-Shot, Chain-of-Thought, Few-Shot Chain-of-Thought, and Multi-agent, aimed at mitigating bias in generated code.”处理其论文内任务；证据边界为“Our findings reveal that bias remains prevalent across different protected attributes and datasets even after applying mitigation strategies, highlighting the need for more effective approaches to reduce bias in AI-driven code generation systems.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03255	Do LLMs have core beliefs?	pre_denominator_closure	SF-2026-ARXIV-2605-03255	问题/机制：Do LLMs have core beliefs? 以“The rise of Large Language Models (LLMs) has sparked debate about whether these systems exhibit human-level cognition.”处理其论文内任务；证据边界为“Using a probing framework we call Adversarial Dialogue Trees (ADTs) over five domains (science, history, geography, biology, and mathematics), we find that most LLMs fail to maintain a stable worldview.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03257	Operationalizing Software Engineering Theories for Practical Validation	pre_denominator_closure	SF-2026-ARXIV-2605-03257	问题/机制：Operationalizing Software Engineering Theories for Practical Validation 以“We propose a systematic procedure for the operationalization phase that bridges the gap between abstract concepts and empirical validation, ensuring the resulting theory is both rigorous and practically useful.”处理其论文内任务；证据边界为“This guideline provides a transparent chain of evidence from theory to testable elements, empowering researchers to ground theoretical advancements in empirical evidence and deliver actionable insights for practitioners.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03258	The Right Answer, the Wrong Direction: Why Transformers Fail at Counting and How to Fix It	pre_denominator_closure	SF-2026-ARXIV-2605-03258	问题/机制：The Right Answer, the Wrong Direction: Why Transformers Fail at Counting and How to Fix It 以“We investigate whether this failure occurs because transformers do not represent counts internally, or because they cannot convert representations to the correct output tokens.”处理其论文内任务；证据边界为“Across three model families: Pythia, Qwen3, and Mistral, ranging from 0.4B to 14B parameters, we find evidence for the second explanation.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03259	CropVLM: A Domain-Adapted Vision-Language Model for Open-Set Crop Analysis	pre_denominator_closure	SF-2026-ARXIV-2605-03259	问题/机制：CropVLM: A Domain-Adapted Vision-Language Model for Open-Set Crop Analysis 以“To bridge this gap, we present CropVLM, a Vision-Language Model (VLM) adapted for the agricultural domain via Domain-Specific Semantic Alignment (DSSA).”处理其论文内任务；证据边界为“Our detection pipeline demonstrates superior zero-shot generalization to novel species, achieving 49.17 AP50 on our CVTCropDet benchmark and 50.73 AP50 on tropical fruit species, compared to 34.89 and 48.58 for the next-best method, respectively.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03260	Robust Path Tracking for Vehicles via Continuous-Time Residual Learning: An ICODE-MPPI Approach	pre_denominator_closure	SF-2026-ARXIV-2605-03260	问题/机制：Robust Path Tracking for Vehicles via Continuous-Time Residual Learning: An ICODE-MPPI Approach 以“We propose ICODE-MPPI, a robust framework that leverages Input Concomitant Neural Ordinary Differential Equations (ICODEs) to learn and compensate for unmodeled residual dynamics.”处理其论文内任务；证据边界为“High-fidelity simulations on complex trajectories demonstrate that ICODE-MPPI achieves up to a 69\% reduction in cross-tracking error under persistent disturbances compared to standard MPPI control.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03261	Can AI Help You Get Over Your Breakup? One Session with a Belief-Reframing Chatbot Shows Sustained Distress Reduction	pre_denominator_closure	SF-2026-ARXIV-2605-03261	问题/机制：Can AI Help You Get Over Your Breakup? One Session with a Belief-Reframing Chatbot Shows Sustained Distress Reduction 以“Future work should test the intervention against active controls, evaluate repeated-session use, and recruit more diverse samples.”处理其论文内任务；证据边界为“Future work should test the intervention against active controls, evaluate repeated-session use, and recruit more diverse samples.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03262	A Universal Reproducing Kernel Hilbert Space from Polynomial Alignment and IMQ Distance	pre_denominator_closure	SF-2026-ARXIV-2605-03262	问题/机制：A Universal Reproducing Kernel Hilbert Space from Polynomial Alignment and IMQ Distance 以“We introduce the Yat kernel $$k_{b,\varepsilon}(\mathbf{w},\mathbf{x})=\frac{(\mathbf{w}^\top\mathbf{x}+b)^2}{\|\mathbf{x}-\mathbf{w}\|^2+\varepsilon},\qquad b\ge 0,\ \varepsilon&gt;0,$$ a rational hidden-unit primitive whose units are Mercer sections over a shared input/weight space.”处理其论文内任务；证据边界为“A trained shared-$(b,\varepsilon)$ Yat layer is therefore a finite learned-center expansion in a fixed universal characteristic RKHS, with closed-form norm $\boldsymbolα^\top\mathbf{K}\boldsymbolα$ and explicit diagonal $(\|\mathbf{x}\|^2+b)^2/\varepsilon$ driving a Rademacher generalization bound.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03266	Intrinsic effective sample size for manifold-valued Markov chain Monte Carlo via kernel discrepancy	pre_denominator_closure	SF-2026-ARXIV-2605-03266	问题/机制：Intrinsic effective sample size for manifold-valued Markov chain Monte Carlo via kernel discrepancy 以“We propose an intrinsic effective sample size based on kernel discrepancy.”处理其论文内任务；证据边界为“Sphere experiments illustrate rotation invariance and calibration of the proposed diagnostic against empirical distributional error.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03267	Partial Effective Information Decomposition for Synergistic Causality	pre_denominator_closure	SF-2026-ARXIV-2605-03267	问题/机制：Partial Effective Information Decomposition for Synergistic Causality 以“Causality is a central topic in scientific inquiry, yet for complex systems, the identification and analysis of synergistic causation remain a challenging and fundamental problem.”处理其论文内任务；证据边界为“Finally, applying the framework to a machine-learning-based air quality forecasting task on KnowAir-V2, we demonstrate that PEID can extract interpretable inter-station causal structures from a learned dynamical model.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.03268	Partially Observed Structural Causal Models	pre_denominator_closure	SF-2026-ARXIV-2605-03268	问题/机制：Partially Observed Structural Causal Models 以“Here we introduce Partially Observed Structural Causal Models (POSCMs) as an extension of structural causal models (SCMs) to settings where upstream contexts co-determine both the interaction structure and downstream mechanisms on observed variables.”处理其论文内任务；证据边界为“Together, POSCMs provide an intervention-oriented framework for causal systems in which contexts, graph structure, mechanisms, and measurements are jointly generated and only partially observed.”。分母前闭合：该结果仍绑定上述数据、对象或局部方法，没有改变跨 workload 的 state/data/control ownership、evaluation/release contract，也未构成对当前 Books 设计判断的反例；若后续 artifact 证明这些系统边界发生变化则重开。		identity_date_closed	verified	Rejected — Below Candidate Denominator
