source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason
SF-2026-ARXIV-2606-26497	2606.26497	core_daily_semantic_review_required	Learning Probabilistic Filters with Strictly Proper Scoring Rules	Bayesian filtering of partially and noisily observed dynamical systems seeks to infer the evolving conditional distribution of the state of a dynamical system, given observations, in an online fashion.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`Learning Probabilistic Filters with Strictly Proper Scoring Rules`：Bayesian filtering of partially and noisily observed dynamical systems seeks to infer the evolving conditional distribution of the state of a dynamical system, given observations, in an online fashion. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-26498	2606.26498	core_daily_semantic_review_required	Mean-Field PhiBE: Continuous-Time Mean-Field Reinforcement Learning from Discrete-Time Data	This paper addresses model-free continuous-time mean-field control in a setting where the population dynamics evolve continuously according to an unknown McKean-Vlasov stochastic differential equation, while only discrete-time transition data are available.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`Mean-Field PhiBE: Continuous-Time Mean-Field Reinforcement Learning from Discrete-Time Data`：This paper addresses model-free continuous-time mean-field control in a setting where the population dynamics evolve continuously according to an unknown McKean-Vlasov stochastic differential equation, while only discrete-time transition data are available. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-26502	2606.26502	core_daily_semantic_review_required	Humans Disengage, Reasoning Models Persist: Separating Difficulty Registration from Deliberation Allocation	Large reasoning models (LRMs) spend more reasoning tokens on problems that take humans longer, suggesting sensitivity to a similar structure of difficulty.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Humans Disengage, Reasoning Models Persist: Separating Difficulty Registration from Deliberation Allocation`：Large reasoning models (LRMs) spend more reasoning tokens on problems that take humans longer, suggesting sensitivity to a similar structure of difficulty. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-26505	2606.26505	keyword_daily_semantic_review_required	Same Scrutiny, More Time: Eye Tracking Insights into Reviewing LLM-Labelled Code	Modern software development increasingly involves the use of large language models (LLMs) to generate code.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`Same Scrutiny, More Time: Eye Tracking Insights into Reviewing LLM-Labelled Code`：Modern software development increasingly involves the use of large language models (LLMs) to generate code. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-26507	2606.26507	not_routed_by_keyword_contract	DanceDuo: Bridging Human Movement and AI Choreography	In recent years, advancements in deep learning and generative models have revolutionized music-driven dance generation.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`DanceDuo: Bridging Human Movement and AI Choreography`：In recent years, advancements in deep learning and generative models have revolutionized music-driven dance generation. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-26508	2606.26508	not_routed_by_keyword_contract	Budget-Aware Keyboardless Interaction	Interacting with computers typically relies on traditional input devices such as keyboards, mice, and monitors, which can be cumbersome for users seeking greater mobility.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Budget-Aware Keyboardless Interaction`：Interacting with computers typically relies on traditional input devices such as keyboards, mice, and monitors, which can be cumbersome for users seeking greater mobility. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-26511	2606.26511	core_daily_semantic_review_required	Temporal Validity in Retrieval Memory: Eliminating Stale-Fact Errors for AI Agents over Evolving Knowledge	Retrieval-augmented generation (RAG) gives agents access to accumulated knowledge, but has no model of time.	retained_after_full_semantic_audit	durable_ai_system_candidate	AGENT-MEMORY	`Temporal Validity in Retrieval Memory: Eliminating Stale-Fact Errors for AI Agents over Evolving Knowledge` 改变 `AGENT-MEMORY` 的长期 state/data/control 或 evaluation/security contract：Temporal Validity in Retrieval Memory: Eliminating Stale-Fact Errors for AI Agents over Evolving Knowledge 的 exact-v1 机制为：We present MemStrata, a retrieval memory maintaining temporal validity. 因此 把事件时间、来源、有效条件、版本、检索决策与写入 authority 分开。
SF-2026-ARXIV-2606-26515	2606.26515	not_routed_by_keyword_contract	Forget, Anticipate and Adapt: Test Time Training for Long Videos	Test Time Training (TTT) is a mechanism in which a model adapts to an incoming test-sample by performing some self-supervised (SSL) task and updating its weights even during inference.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`Forget, Anticipate and Adapt: Test Time Training for Long Videos`：Test Time Training (TTT) is a mechanism in which a model adapts to an incoming test-sample by performing some self-supervised (SSL) task and updating its weights even during inference. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-26518	2606.26518	core_daily_semantic_review_required	NeuraDock Visual Cognitive Load Agent Tutorial: A Quality-Gated Open-Source EEG Workflow for Alpha Dynamics and Real-Time Applications	This tutorial paper provides a step-by-step, reproducible walkthrough of NeuraDock Agent, an open-source EEG agent focused on Alpha dynamics and visual cognitive-load analysis.	pre_denominator_closure	local_artifact_without_general_contract	—	`NeuraDock Visual Cognitive Load Agent Tutorial: A Quality-Gated Open-Source EEG Workflow for Alpha Dynamics and Real-Time Applications`：This tutorial paper provides a step-by-step, reproducible walkthrough of NeuraDock Agent, an open-source EEG agent focused on Alpha dynamics and visual cognitive-load analysis. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-26519	2606.26519	core_daily_semantic_review_required	What the LLM Should Not Say: Boundary-Aware Context Grounding for A Seven-Channel EEG Agent	Large language models (LLMs) can make scientific software easier to use.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`What the LLM Should Not Say: Boundary-Aware Context Grounding for A Seven-Channel EEG Agent`：Large language models (LLMs) can make scientific software easier to use. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
