arxiv_id	identity	published_v1_utc	primary_category	route	decision	title	closure_reason	false_negative_audit
2505.00236	2505.00236v1	2025-05-01T01:06:05Z	cs.LG	core_daily_semantic_review_required	pre_denominator_closure	Node2Vec-DGI-EL: A Hierarchical Graph Representation Learning Model for Ingredient-Disease Association Prediction	垂直领域应用：方法或数据集只服务具体领域，未改变通用 AI System 的 state/data/control ownership；abstract evidence: Traditional Chinese medicine, as an essential component of traditional medicine, contains active ingredients that serve as a crucial source for modern drug development, holding immense therapeutic potential and developme	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00237	2505.00237v3	2025-05-01T01:13:56Z	cs.RO	core_daily_semantic_review_required	pre_denominator_closure	Future-Oriented Navigation: Dynamic Obstacle Avoidance with One-Shot Energy-Based Multimodal Motion Prediction	AI 相关但未达分母门槛：title+abstract 未显示长期机制、系统 reach 或 Books 既有结论修正；abstract evidence: This paper proposes an integrated approach for the safe and efficient control of mobile robots in dynamic and uncertain environments.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00240	2505.00240v2	2025-05-01T01:18:54Z	cs.CR	core_daily_semantic_review_required	pre_denominator_closure	LLM-Based Threat Detection and Prevention Framework for IoT Ecosystems	局部 benchmark/dataset：未改变长期 evaluation contract，或证据只覆盖单任务/单领域；abstract evidence: The increasing complexity and scale of the Internet of Things (IoT) have made security a critical concern.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00242	2505.00242v1	2025-05-01T01:29:05Z	cs.SI	core_daily_semantic_review_required	pre_denominator_closure	D-Tracker: Modeling Interest Diffusion in Social Activity Tensor Data Streams	垂直领域应用：方法或数据集只服务具体领域，未改变通用 AI System 的 state/data/control ownership；abstract evidence: Large quantities of social activity data, such as weekly web search volumes and the number of new infections with infectious diseases, reflect peoples' interests and activities.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.01456	2505.01456v1	2025-05-01T01:54:00Z	cs.CL	core_daily_semantic_review_required	retain	Unlearning Sensitive Information in Multimodal LLMs: Benchmark and Attack-Defense Evaluation	retained after title+abstract semantic screening: material AI-System design/evidence delta	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00254	2505.00254v5	2025-05-01T02:40:23Z	cs.CV	core_daily_semantic_review_required	retain	AVA: Towards Agentic Video Analytics with Vision Language Models	retained after title+abstract semantic screening: material AI-System design/evidence delta	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.01457	2505.01457v2	2025-05-01T02:40:30Z	cs.IR	core_daily_semantic_review_required	pre_denominator_closure	A Multi-Granularity Retrieval Framework for Visually-Rich Documents	局部 benchmark/dataset：未改变长期 evaluation contract，或证据只覆盖单任务/单领域；abstract evidence: Retrieval-augmented generation (RAG) systems have predominantly focused on text-based retrieval, limiting their effectiveness in handling visually-rich documents that encompass text, images, tables, and charts.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00257	2505.00257v1	2025-05-01T02:47:43Z	cs.LG	core_daily_semantic_review_required	pre_denominator_closure	Graph Privacy: A Heterogeneous Federated GNN for Trans-Border Financial Data Circulation	垂直领域应用：方法或数据集只服务具体领域，未改变通用 AI System 的 state/data/control ownership；abstract evidence: The sharing of external data has become a strong demand of financial institutions, but the privacy issue has led to the difficulty of interconnecting different platforms and the low degree of data openness.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00259	2505.00259v1	2025-05-01T02:53:46Z	cs.CV	core_daily_semantic_review_required	pre_denominator_closure	Pack-PTQ: Advancing Post-training Quantization of Neural Networks by Pack-wise Reconstruction	局部 benchmark/dataset：未改变长期 evaluation contract，或证据只覆盖单任务/单领域；abstract evidence: Post-training quantization (PTQ) has evolved as a prominent solution for compressing complex models, which advocates a small calibration dataset and avoids end-to-end retraining.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00261	2505.00261v1	2025-05-01T03:04:07Z	cs.CL	core_daily_semantic_review_required	pre_denominator_closure	Enriching the Korean Learner Corpus with Multi-reference Annotations and Rubric-Based Scoring	垂直领域应用：方法或数据集只服务具体领域，未改变通用 AI System 的 state/data/control ownership；abstract evidence: Despite growing global interest in Korean language education, there remains a significant lack of learner corpora tailored to Korean L2 writing.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00263	2505.00263v1	2025-05-01T03:07:30Z	cs.IR	core_daily_semantic_review_required	retain	EnronQA: Towards Personalized RAG over Private Documents	retained after title+abstract semantic screening: material AI-System design/evidence delta	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00265	2505.00265v1	2025-05-01T03:12:25Z	cs.LG	core_daily_semantic_review_required	pre_denominator_closure	Field-scale soil moisture estimated from Sentinel-1 SAR data using a knowledge-guided deep learning approach	垂直领域应用：方法或数据集只服务具体领域，未改变通用 AI System 的 state/data/control ownership；abstract evidence: Soil moisture (SM) estimation from active microwave data remains challenging due to the complex interactions between radar backscatter and surface characteristics.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00751	2505.00751v2	2025-05-01T03:24:28Z	cs.CV	keyword_filtered	pre_denominator_closure	InstructAttribute: Fine-grained Object Attributes editing with Instruction	局部 benchmark/dataset：未改变长期 evaluation contract，或证据只覆盖单任务/单领域；abstract evidence: Text-to-image (T2I) diffusion models are widely used in image editing due to their powerful generative capabilities.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00268	2505.00268v2	2025-05-01T03:25:25Z	cs.CL	core_daily_semantic_review_required	pre_denominator_closure	Consistency in Language Models: Current Landscape, Challenges, and Future Directions	局部 benchmark/dataset：未改变长期 evaluation contract，或证据只覆盖单任务/单领域；abstract evidence: The hallmark of effective language use lies in consistency: expressing similar meanings in similar contexts and avoiding contradictions.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
2505.00275	2505.00275v3	2025-05-01T03:48:12Z	cs.CV	core_daily_semantic_review_required	pre_denominator_closure	AdCare-VLM: Towards a Unified and Pre-aligned Latent Representation for Healthcare Video Understanding	垂直领域应用：方法或数据集只服务具体领域，未改变通用 AI System 的 state/data/control ownership；abstract evidence: Chronic diseases, including diabetes, hypertension, asthma, HIV-AIDS, epilepsy, and tuberculosis, necessitate rigorous adherence to medication to avert disease progression, manage symptoms, and decrease mortality rates.	passed — fresh-context:may01-agent-cross-audit-20250502; full title+abstract screening reviewed; 2505.00779 promoted and no unresolved false positive/negative remains
