arxiv_id	first_public_date	title	candidate_state	screening_reason	owner_node	review_status	books_disposition
2604.23484	2026-04-26	Projectional Skeletons of Fourier Algebras	pre-denominator closure	全量 title+abstract 复核后关闭 `Projectional Skeletons of Fourier Algebras`：它公开的具体问题/机制是“The preduals of $W^*$-algebras are 1-Plichko spaces. A natural question arises: does every predual possess a projectional skeleton (PS) $\{P_s:s\in J\}$ such that each $P_s^*$ is a conditional expectation? In this note, we answer this question affirmatively for the preduals of the group von Neumann algebras of locally compact groups.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23485	2026-04-26	The Absolute Anabelian Geometry of Virtual Curves of Arbitrary Genus	pre-denominator closure	全量 title+abstract 复核后关闭 `The Absolute Anabelian Geometry of Virtual Curves of Arbitrary Genus`：它公开的具体问题/机制是“The objective of this paper is to further study the anabelian object referred to as \emph{pointed virtual curves}. Building upon previous work that investigated these fundamental-group-theoretic pullbacks of Galois sections in the genus-zero situation, we extend the central anabelian results to curves of arbitrary genus. To facilitate this generalization, we introduce the group-theoretic notion of an inclusion of CAVC-type and the categorical-theoretic notion of a virtual decuspidaloid.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23486	2026-04-26	Your Students Don't Use LLMs Like You Wish They Did	pre-denominator closure	全量 title+abstract 复核后关闭 `Your Students Don't Use LLMs Like You Wish They Did`：它公开的具体问题/机制是“Educational NLP systems are typically evaluated using engagement metrics and satisfaction surveys, which are at best a proxy for meeting pedagogical goals. We introduce six computational metrics for automated evaluation of pedagogical alignment in student-AI dialogue. We validate our metrics through analysis of 12,650 messages across 500 conversations from four courses.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23487	2026-04-26	Optimality Conditions and Numerical Algorithms for a Class of Minimax Bilevel Optimization Problems	pre-denominator closure	全量 title+abstract 复核后关闭 `Optimality Conditions and Numerical Algorithms for a Class of Minimax Bilevel Optimization Problems`：它公开的具体问题/机制是“In many applications, including Stackelberg games, machine learning, and power systems \cite{Mackay2018Selftuning,Heinrich1952The,Wang2021Bi-Level}, the decisions in a minimax optimization problem can be constrained by a solution to an optimization problem. In this paper, we introduce optimality conditions of this novel minimax bilevel optimization problem and develops efficient first-order algorithms for this class of problems. Firstly, we establish the optimality conditions for minimax bilevel problems by reconst”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23488	2026-04-26	Do Prompt-Elicited Trajectories Reflect Training-Time Reward Hacking? A Systematic Study on Monitoring Training-Time Reward Hacking in Code Generation	retained	Reward hacking in code generation, where models exploit evaluation loopholes to obtain high reward without correctly solving the intended task, poses a critical challenge for Reinforcement Learning (RL) and the deployment of reasoning models.  改变 `PLATFORM-EVALUATION-SYSTEM` 的长期机制、state/control ownership 或 evaluation contract；fresh-context reviewer 已以 exact-v1 复核。	PLATFORM-EVALUATION-SYSTEM	deep_complete	No Change — Existing Coverage
2604.23489	2026-04-26	Linear equivalence of nonlinear recurrent neural networks	pre-denominator closure	全量 title+abstract 复核后关闭 `Linear equivalence of nonlinear recurrent neural networks`：它公开的具体问题/机制是“Large nonlinear recurrent neural networks with random couplings generate rich, potentially chaotic activity and are of interest in neuroscience and other fields. A key object encoding the structure of activity is the $N \times N$ covariance matrix. Recent work proposed an ansatz in which, at large $N$ and for typical quenched couplings, this covariance matrix matches that of a linear network with the same couplings, driven by independent noise.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23490	2026-04-26	Efficient Quantum Fully Homomorphic Encryption	pre-denominator closure	全量 title+abstract 复核后关闭 `Efficient Quantum Fully Homomorphic Encryption`：它公开的具体问题/机制是“Quantum fully homomorphic encryption (QFHE) enables arbitrary quantum computations on encrypted data, but prior constructions require prohibitive quantum resources--specifically, O(lambda^2) EPR pairs per T-gate evaluation using the Barrington-based approach (DSS16). This paper introduces a unified framework achieving exponential improvement over the generic Barrington-based approach in program length. The central innovation is a novel modular arithmetic program (MA-Program) tailored to learning with errors (LWE) d”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23491	2026-04-26	Amorphous High Density Plutonium	pre-denominator closure	全量 title+abstract 复核后关闭 `Amorphous High Density Plutonium`：它公开的具体问题/机制是“Metastable aluminum-alloyed $δ$-plutonium shrinks rapidly and pure $α$-plutonium swells rapidly at 4 K. At ambient temperature alloyed $δ$-plutonium swells about $10^{-3}$ as fast as it shrinks at 4 K, but its bulk density decreases more slowly than would be inferred from the increase in its lattice parameter determined by X-ray diffraction. These results might be explained as the result of ingrowth of the opposite phases, but they have not been found in X-ray diffraction.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23492	2026-04-26	The open-Universe signal: A model artifact rather than genuine curvature	pre-denominator closure	全量 title+abstract 复核后关闭 `The open-Universe signal: A model artifact rather than genuine curvature`：它公开的具体问题/机制是“Recent late-Universe observations suggest an open Universe. If confirmed, such a departure from spatial flatness would carry profound implications for our understanding of cosmic inflation and the ultimate fate of the Universe. Motivated by this intriguing result and the release of new data, we revisit the question using baryon acoustic oscillation measurements from DESI DR2, multiple Type Ia supernova samples, refined strong gravitational lensing time-delay analyses, and the most up-to-date cosmic chronometer data”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23493	2026-04-26	K-SENSE: A Knowledge-Guided Self-Augmented Encoder for Neuro-Semantic Evaluation of Mental Health Conditions on Social Media	pre-denominator closure	fresh-context reverse audit 复核后维持 closure：`K-SENSE: A Knowledge-Guided Self-Augmented Encoder for Neuro-Semantic Evaluation of Mental Health Conditions on Social Media` 的具体问题/机制为：We propose K-SENSE (Knowledge-guided Self-augmented Encoder for Neuro-Semantic Evaluation of Mental Health), a framework that jointly exploits external psychological reasoning and internal representation robustness.；摘要证据线索为：Existing approaches either leverage external commonsense knowledge to model mental states explicitly, or apply self-augmentation and contrastive training to improve generalization, but seldom do both in a principled, unified framework.。排除边界：其主要贡献是任务切片、数据集或测量结果，未改变 evaluator identity、可复算证据对象或 release gate；因此不进入 Candidate Denominator。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23494	2026-04-26	Do Transaction-Level and Actor-Level AML Queues Agree? An Empirical Evaluation of Granularity Effects on the Elliptic++ Graph	pre-denominator closure	全量 title+abstract 复核后关闭 `Do Transaction-Level and Actor-Level AML Queues Agree? An Empirical Evaluation of Granularity Effects on the Elliptic++ Graph`：它公开的具体问题/机制是“Graph-based anti-money laundering (AML) systems on blockchain networks can score suspicious activity at two granularity levels -- transactions or actor addresses -- yet compliance action is conducted per actor. This paper contributes an evaluation methodology for measuring how scoring granularity affects investigation queue composition under fixed review budgets. We formalize the evaluation through a projection framework mapping transaction-level scores to the actor-level action unit via four aggregation operators,”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23495	2026-04-26	Manipulation of diverse quantum correlations based on a hybrid optomagnomechanical system	pre-denominator closure	全量 title+abstract 复核后关闭 `Manipulation of diverse quantum correlations based on a hybrid optomagnomechanical system`：它公开的具体问题/机制是“Flexible manipulation of quantum correlation resources enables the implementation of diverse quantum tasks based on hybrid quantum networks, where atom-magnon and optomagnonic entanglements and steerings play important roles. In this work, we propose an effective scheme to generate and manipulate quantum entanglements and steerings based on a hybrid optomagnomechanical system, which is composed of a polarizer, an optical cavity with YIG bridge as one end, and an atomic ensemble in it. According to the results of th”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23496	2026-04-26	Q-Manifolds and Sigma Models	pre-denominator closure	全量 title+abstract 复核后关闭 `Q-Manifolds and Sigma Models`：它公开的具体问题/机制是“Recent developments of Batalin-Vilkovisky (BV) formalism and related geometry are reviewed. Mathematical structures of BV formalism are summarized as a Q-manifold and a QP-manifold. Lie algebras, Lie algebroids and other higher algebroids are explained as typical examples of Q- and QP-manifolds.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23497	2026-04-26	A Note on the Resolvent Algebra and Functional Integral Approach to the van Hove Model	pre-denominator closure	全量 title+abstract 复核后关闭 `A Note on the Resolvent Algebra and Functional Integral Approach to the van Hove Model`：它公开的具体问题/机制是“This paper is a collection of the author's computational notes on the van Hove model and contains no essentially new results. We discuss, from both the operator-algebraic perspective via the Weyl algebra and the resolvent algebra and the functional integral approach, the removal of infrared and ultraviolet cutoffs and the existence of the ground state and $β$-KMS states in the case of a point source. In the infinite-volume system at finite temperature, Bose--Einstein condensation can arise.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23498	2026-04-26	When Does Dynamic Preconditioning Preserve the Polyak-Ruppert CLT? A Stabilization Threshold	pre-denominator closure	全量 title+abstract 复核后关闭 `When Does Dynamic Preconditioning Preserve the Polyak-Ruppert CLT? A Stabilization Threshold`：它公开的具体问题/机制是“Polyak-Ruppert averaging yields an asymptotically normal estimator with sandwich covariance $H^{-1}SH^{-1}$, the foundation of online inference. When the gradient step is preconditioned by a data-driven matrix $P_t$, we ask how fast $P_t$ must stabilize for the central limit theorem (CLT) to remain valid. We resolve this via an exact preconditioner-isolating decomposition of the averaged error that confines $P_t$ to a dynamic remainder $R_n$, leaving the martingale and Taylor terms preconditioner-free.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23499	2026-04-26	Ultrabroadband Gain-Switched and Superluminescent Terahertz Semiconductor Lasers	pre-denominator closure	全量 title+abstract 复核后关闭 `Ultrabroadband Gain-Switched and Superluminescent Terahertz Semiconductor Lasers`：它公开的具体问题/机制是“Terahertz quantum cascade lasers (THz QCLs) are chip-scale semiconductor lasers operating in the frequency range between 1-6 THz, useful as compact sources for spectroscopy, communications, and non-destructive imaging and testing. Here, we apply low-frequency microwave modulation on a planarized THz QCL to generate ultrabroadband emission in the THz range. For very low modulation frequencies below 1 GHz, a gain-switched octave-spanning spectrum with a smooth spectral envelope is generated between 1.9 - 4.1 THz.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23500	2026-04-26	Interpretable Physics-Informed Load Forecasting for U.S. Grid Resilience: SHAP-Guided Ensemble Validation in Hybrid Deep Learning Under Extreme Weather	pre-denominator closure	全量 title+abstract 复核后关闭 `Interpretable Physics-Informed Load Forecasting for U.S. Grid Resilience: SHAP-Guided Ensemble Validation in Hybrid Deep Learning Under Extreme Weather`：它公开的具体问题/机制是“Accurate short-term electricity load forecasting is a cornerstone of U.S. grid reliability; however, prevailing deep learning models remain opaque, limiting operator trust during extreme weather. A unified, interpretable, physics-informed ensemble framework is proposed, integrating a Convolutional Neural Network (CNN) branch for local feature extraction and a Transformer branch for long-range dependency modeling; the branches are fused through a validation-optimized weighted ensemble and regularized by a physics-in”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
