row	arxiv_id	source_family_id	submitted_v1_utc	title	categories	route	decision	stable_node_id	closure_class	rationale	reopen_condition
1	2606.07923	SF-2026-ARXIV-2606-07923	2026-06-06T01:16:58Z	Larch: Learned Query Optimization for Semantic Predicates	cs.AI;cs.DB;cs.LG	core_daily_semantic_review_required	retain	INFER-SCHEDULING	durable-owner-contract-delta	Online selectivity learning plus exact per-row ordering makes semantic-predicate token cost query-planner state rather than an opaque LLM charge.	retained; exact-v1 must confirm mechanism, evaluation, counterevidence, and benchmark identity
2	2606.07924	SF-2026-ARXIV-2606-07924	2026-06-06T01:17:40Z	Decoupling Semantics and Logic: A Training-Free Coarse-to-Fine Pipeline for Video Retrieval-Augmented Generation	cs.AI;cs.CL;cs.CV;cs.LG;cs.MM	core_daily_semantic_review_required	pre_denominator_closure	—	domain-model-or-application	Decoupling Semantics and Logic: A Training-Free Coarse-to-Fine Pipeline for Video Retrieval-Augmented Generation is closed as domain-model-or-application: its stated contribution starts with ‘This paper presents our system description for the 2nd Workshop on Multimodal Augmented Generation via MultimodAl Retrieval (MAGMaR).’ and the abstract-level outcome ends with ‘Evaluated on the RAG track, our resource-aware approach shows exceptional precision in both information retrieval and persona-conditioned generation.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated domain-model-or-application, or invalidates an existing chapter proposition.
3	2606.07925	SF-2026-ARXIV-2606-07925	2026-06-06T01:27:20Z	ROSUM-MCTS: Monte Carlo Tree Search-Inspired HDL Code Summarization with Structural Rewards	cs.CL	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	ROSUM-MCTS: Monte Carlo Tree Search-Inspired HDL Code Summarization with Structural Rewards is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Large language models (LLMs) have shown promise in code summarization, yet their effectiveness for Hardware Description Languages (HDLs) like VHDL and Verilog remains underexplored.’ and the abstract-level outcome ends with ‘These results establish ROSUM-MCTS as an effective and robust HDL summarization framework, paving the way for further research into reinforcement-enhanced code summarization.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
4	2606.07926	SF-2026-ARXIV-2606-07926	2026-06-06T01:31:58Z	Barycentric Projections of Optimal Transport Plans on Riemannian Manifolds	cs.LG;stat.ML	core_daily_semantic_review_required	pre_denominator_closure	—	local-model-or-training-method	Barycentric Projections of Optimal Transport Plans on Riemannian Manifolds is closed as local-model-or-training-method: its stated contribution starts with ‘Optimal transport couplings are probabilistic objects, while many learning pipelines require deterministic maps.’ and the abstract-level outcome ends with ‘Experiments on spherical data, synthetic SPD data, and real EEG covariance matrices support the proposed division of roles: the intrinsic projection is the variational representative, while the tangential projection is a useful local displacement surrogate.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated local-model-or-training-method, or invalidates an existing chapter proposition.
5	2606.07929	SF-2026-ARXIV-2606-07929	2026-06-06T01:39:14Z	Stress-testing medical large language models reveals latent safety pathology beyond benchmark accuracy	cs.AI	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	Stress-testing medical large language models reveals latent safety pathology beyond benchmark accuracy is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Large language models (LLMs) are entering clinical practice based on benchmark accuracy that may fail to detect safety-relevant failure modes.’ and the abstract-level outcome ends with ‘These findings establish narrative stress auditing as a necessary complement to accuracy-based evaluation.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
6	2606.07931	SF-2026-ARXIV-2606-07931	2026-06-06T01:50:06Z	Pointwise Complexity for Gaussian Fields: Upper Envelopes, Algorithmic Lower Bounds, and Separation	cond-mat.stat-mech;cs.IT;cs.LG;math.PR;math.ST	core_daily_semantic_review_required	pre_denominator_closure	—	no-durable-system-owner-change	Pointwise Complexity for Gaussian Fields: Upper Envelopes, Algorithmic Lower Bounds, and Separation is closed as no-durable-system-owner-change: its stated contribution starts with ‘We prove a variance-aware pointwise majorizing-measure theorem for centered Gaussian processes.’ and the abstract-level outcome ends with ‘This separation can also be recast in minimax language as penalty-range information relaxation, highlighting an important question of algorithmic robustness for classical high-dimensional models and regularized algorithms.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated no-durable-system-owner-change, or invalidates an existing chapter proposition.
7	2606.07932	SF-2026-ARXIV-2606-07932	2026-06-06T01:50:14Z	LEGS: Laplacian-Enhanced Gaussian Splatting with a Nonlinear Weighted Loss	cs.CV;cs.GR;cs.MM;eess.IV;math.OC	not_routed_by_keyword_contract	pre_denominator_closure	—	bounded-benchmark-or-dataset	LEGS: Laplacian-Enhanced Gaussian Splatting with a Nonlinear Weighted Loss is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘3D Gaussian Splatting (3DGS) has become an efficient explicit representation for radiance field reconstruction and real-time novel view synthesis.’ and the abstract-level outcome ends with ‘Incorporating the proposed second-order nonlinear weighting strategy into FastGS and FasterGS further improves PSNR by up to 1.69 dB, demonstrating its effectiveness as a general loss-level extension for Gaussian Splatting pipelines with potential applications in AR/VR, immersive visualization, and real-time 3D content generation.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
8	2606.07934	SF-2026-ARXIV-2606-07934	2026-06-06T01:50:59Z	X-OP: Cross-Morphology Whole-Body Teleoperation via MPC Retargeting	cs.RO	not_routed_by_keyword_contract	pre_denominator_closure	—	domain-model-or-application	X-OP: Cross-Morphology Whole-Body Teleoperation via MPC Retargeting is closed as domain-model-or-application: its stated contribution starts with ‘Whole-body teleoperation is essential for scalable robot data collection in loco-manipulation tasks, yet existing approaches relying on exoskeleton suits or multi-camera setups impose prohibitive cost, complexity, and environmental constraints.’ and the abstract-level outcome ends with ‘This plug-and-play framework offers a scalable, morphology-agnostic solution for whole-body robot teleoperation, enabling real-time behavioral customization and broad applicability across platforms.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated domain-model-or-application, or invalidates an existing chapter proposition.
9	2606.07935	SF-2026-ARXIV-2606-07935	2026-06-06T01:52:38Z	REACT 2026: The Fourth Multiple Appropriate Facial Reaction Generation Challenge: Personalised MAFRG and Appropriate EEG Reaction Prediction	cs.CV	not_routed_by_keyword_contract	pre_denominator_closure	—	bounded-benchmark-or-dataset	REACT 2026: The Fourth Multiple Appropriate Facial Reaction Generation Challenge: Personalised MAFRG and Appropriate EEG Reaction Prediction is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘In dyadic interactions, various human facial reactions could be appropriate for responding to each human speaker behaviour.’ and the abstract-level outcome ends with ‘This paper also presents the challenge guidelines and new baselines on the four proposed sub-challenges: Offline generic and personalised MAFRG as well as Online generic and personalised MAFRG, respectively, which are publicly available at https://github.com/reactmultimodalchallenge/baseline_react2026.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
10	2606.07936	SF-2026-ARXIV-2606-07936	2026-06-06T01:55:56Z	Illusions of the Gold Standard: A Large-scale Analysis of Human Evaluation Protocols for Long-form Text Generation	cs.AI;cs.CL	core_daily_semantic_review_required	retain	PLATFORM-EVALUATION-SYSTEM	durable-owner-contract-delta	Twenty reproducibility fields separate what human judges measured, who judged, and how judgments may be interpreted; this changes the evaluation receipt contract.	retained; exact-v1 must confirm mechanism, evaluation, counterevidence, and benchmark identity
