report_date	source_family	primary_identifier	stable_node	owner_path	books_disposition	books_review_ref	trace_kind	trace_location	owner_trace_lines	foreign_paths	audit_state	semantic_status	semantic_locator	semantic_finding
2026-06-01	SF-FED-PERSONALIZATION-SILENT-FAILURES	arXiv:2606.00947v1	PLATFORM-EVALUATION-SYSTEM	books/part-06-ai-infrastructure/66-evaluation-system.md	Integrate	books-review:SF-FED-PERSONALIZATION-SILENT-FAILURES	source_family	review_only	2245;2246;2249		semantic_verified	verified_integration	## 从目标到证据，而不是从指标到目标	Daily Books delta 1dafcc9be26c9549 已对齐到具体正文命题 ## 从目标到证据，而不是从指标到目标；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.095932；精确来源身份保留在 ## Review notes。
2026-06-01	SF-ORDER-AGNOSTIC-CHAIN-RULE	arXiv:2606.00997v1	MULTIMODAL-GENERATIVE-PARADIGMS	books/part-03-multimodal-world-models/24-multimodal-generative-paradigms.md	Integrate	books-review:SF-ORDER-AGNOSTIC-CHAIN-RULE	source_family	review_only	496;497;500		semantic_verified	verified_integration	## Block Diffusion：局部自回归与块内并行	Daily Books delta a5e782586c29cfe5 已对齐到具体正文命题 ## Block Diffusion：局部自回归与块内并行；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.063197；精确来源身份保留在 ## Review notes。
2026-06-01	SF-DEEP-RESEARCH-RUBRIC-RL	arXiv:2606.01091v1	TRAIN-GRPO	books/part-04-training-system/33-grpo.md	Integrate	books-review:SF-DEEP-RESEARCH-RUBRIC-RL	source_family	review_only	1492;1493;1496		semantic_verified	verified_integration	## 从 DeepSeekMath 到 R1：Pure RL 与 Multi-stage Training 为什么同时成立	Daily Books delta 28a8148457c21d46 已对齐到具体正文命题 ## 从 DeepSeekMath 到 R1：Pure RL 与 Multi-stage Training 为什么同时成立；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.154468；精确来源身份保留在 ## Review notes。
2026-06-01	SF-SPARSE-REPEATED-TRAINING	arXiv:2606.01155v1	TRAIN-PRETRAINING	books/part-04-training-system/28-pretraining.md	Integrate	books-review:SF-SPARSE-REPEATED-TRAINING	source_family	review_only	870;871;874		semantic_verified	verified_integration	## Scaling 不是只增加参数	Daily Books delta 3a83e2793e9dae9d 已对齐到具体正文命题 ## Scaling 不是只增加参数；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.108611；精确来源身份保留在 ## Review notes。
2026-06-02	SF-KV-QUANT-ALIGNMENT-COLLAPSE	arXiv:2606.09864v1	INFER-KV-CACHE	books/part-05-inference-system/45-why-kv-cache-speeds-up.md	Integrate	books-review:SF-KV-QUANT-ALIGNMENT-COLLAPSE	source_family	review_only	976;977;980		semantic_verified	verified_integration	## 逻辑 Shape 与容量公式	Daily Books delta da82d6f2378808b3 已对齐到具体正文命题 ## 逻辑 Shape 与容量公式；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.082135；精确来源身份保留在 ## Review notes。
2026-06-02	SF-EXECUTION-GROUNDED-CODING-AGENT-SECURITY	arXiv:2607.22569v1	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	Integrate	books-review:SF-EXECUTION-GROUNDED-CODING-AGENT-SECURITY	source_family	review_only	1222;1223;1226		semantic_verified	verified_integration	## Safety Evaluation 的单位是 Run，不只是 Prompt	Daily Books delta 266bc548fab2ed7e 已对齐到具体正文命题 ## Safety Evaluation 的单位是 Run，不只是 Prompt；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.096868；精确来源身份保留在 ## Review notes。
2026-06-02	SF-OPTCC-ASYMMETRIC-ALLREDUCE	arXiv:2606.01680v1	TRAIN-DISTRIBUTED-TRAINING	books/part-04-training-system/36-distributed-training.md	Integrate	books-review:SF-OPTCC-ASYMMETRIC-ALLREDUCE	source_family	review_only	921;922;925		semantic_verified	verified_integration	## 用 Alpha-Beta 模型建立下界直觉	Daily Books delta 74bd799477d3bcee 已对齐到具体正文命题 ## 用 Alpha-Beta 模型建立下界直觉；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.067849；精确来源身份保留在 ## Review notes。
2026-06-02	SF-GAIATRACE-VIDUR-AGENT	arXiv:2606.01725v1	INFER-SCHEDULING	books/part-05-inference-system/56-inference-scheduling.md	Integrate	books-review:SF-GAIATRACE-VIDUR-AGENT	source_family	review_only	825;826;829		semantic_verified	verified_integration	## 目标函数不止吞吐	Daily Books delta c9c1395caa6960a4 已对齐到具体正文命题 ## 目标函数不止吞吐；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.151424；精确来源身份保留在 ## Review notes。
2026-06-02	SF-SPARSEX-SEGMENT-KV	arXiv:2606.01751v1	INFER-KV-CACHE	books/part-05-inference-system/45-why-kv-cache-speeds-up.md	Integrate	books-review:SF-SPARSEX-SEGMENT-KV	source_family	review_only	982;983;986		semantic_verified	verified_integration	## 一致性不变量	Daily Books delta 571ebe5a50c5b378 已对齐到具体正文命题 ## 一致性不变量；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.110161；精确来源身份保留在 ## Review notes。
2026-06-02	SF-ADAPTIVE-AUTO-HARNESS	arXiv:2606.01770v1	AGENT-PLATFORM	books/part-07-agent/84-agent-platform.md	Integrate	books-review:SF-ADAPTIVE-AUTO-HARNESS	source_family	review_only	767;768;771		semantic_verified	verified_integration	## 从机制演进到系统设计	Daily Books delta 9bed8cc54269bedb 已对齐到具体正文命题 ## 从机制演进到系统设计；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.125130；精确来源身份保留在 ## Review notes。
