source_family_id	primary_evidence_version	access	method_locator	evaluation_locator	limitation_locator	benchmark_contract	selection_decision	books_disposition	audit_status
SF-2026-ARXIV-2606-28666	arXiv:2606.28666v1	accessible	https://arxiv.org/html/2606.28666v1 — §2.6 TRiSM framework; 3 Methodology; 3.2 Framework used	https://arxiv.org/html/2606.28666v1 — §4 Results; 4.6 Observation analysis	https://arxiv.org/html/2606.28666v1 — §6 Future work and limitations; 7 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28679	arXiv:2606.28679v1	accessible	https://arxiv.org/html/2606.28679v1 — §Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks; III The Cross-Framework Gap; III-A Method and selection	https://arxiv.org/html/2606.28679v1 — §VI Evaluation	https://arxiv.org/html/2606.28679v1 — §Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks; II Threat Model; II-A Boundary and adversary；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28690	arXiv:2606.28690v1	accessible	https://arxiv.org/html/2606.28690v1 — §4. The AgentThread Framework; 4.5. Composition Methodology	https://arxiv.org/html/2606.28690v1 — §Formal Security Analysis of Agent Protocol Composition; 6. Evaluation; 6.1. Evaluation Setup	https://arxiv.org/html/2606.28690v1 — §6.4. RQ3: Composition Failures; 7. Discussion; 9. Threats to Validity；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	selected	Integrate	passed
SF-2026-ARXIV-2606-28692	arXiv:2606.28692v1	accessible	https://arxiv.org/html/2606.28692v1 — §Report GitHub Issue; An AI agent for treatment reasoning over a biomedical tool universe	https://arxiv.org/html/2606.28692v1 — §Results	https://arxiv.org/html/2606.28692v1 — §Discussion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28707	arXiv:2606.28707v1	accessible	https://arxiv.org/html/2606.28707v1 — §3 Method; 4.2 Analysis of Training Dynamics; B.2 BV-Blend Training Loop and Advantage Computation	https://arxiv.org/html/2606.28707v1 — §4 Experiments; Evaluation.; 4.1 Main Results	https://arxiv.org/html/2606.28707v1 — §5 Conclusion; Limitations; D.1 Discussion of Key Assumptions；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28712	arXiv:2606.28712v1	accessible	https://arxiv.org/html/2606.28712v1 — §III-E Training and Inference	https://arxiv.org/html/2606.28712v1 — §IV Experiments	https://arxiv.org/html/2606.28712v1 — §V Conclusion and Future Work；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28715	arXiv:2606.28715v1	accessible	https://arxiv.org/html/2606.28715v1 — §Report GitHub Issue; SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages	https://arxiv.org/html/2606.28715v1 — §SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages; 2.1 Agent Evaluation; 2.2 Multilingual Evaluation	https://arxiv.org/html/2606.28715v1 — §6 Analysis and Discussion; 7 Conclusion; 8 Limitation；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28720	arXiv:2606.28720v1	accessible	https://arxiv.org/html/2606.28720v1 — §III METHOD; IV-B System-level Comparisons	https://arxiv.org/html/2606.28720v1 — §IV EXPERIMENTS; IV-A Experimental Setup; IV-D Retrieval & Alignment Analysis	https://arxiv.org/html/2606.28720v1 — §V CONCLUSIONS；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28725	arXiv:2606.28725v1	accessible	https://arxiv.org/html/2606.28725v1 — §III Methodology; III-A Framework Overview; IV-B Model and Training Details	https://arxiv.org/html/2606.28725v1 — §IV Experimental Setup; IV-F Evaluation Metrics and Replication; V Experiments	https://arxiv.org/html/2606.28725v1 — §VI Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28733	arXiv:2606.28733v1	accessible	https://arxiv.org/html/2606.28733v1 — §5 Our Proposed Method for Improving Agentic Abstention: convolve; G.1 Task setting and training configuration; I.2.1 System Prompt for WebShop	https://arxiv.org/html/2606.28733v1 — §4 Experiment Setup; 4.2 Evaluation Metrics; 6 Results	https://arxiv.org/html/2606.28733v1 — §7 Conclusion; Appendix A Limitations; Failure to abstain from GPT-5.4-mini；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28739	arXiv:2606.28739v1	accessible	https://arxiv.org/html/2606.28739v1 — §Report GitHub Issue; Agent Safety Is Action Alignment	https://arxiv.org/html/2606.28739v1 — §5.3. Relational and Deployment-Conditioned Evaluation	https://arxiv.org/html/2606.28739v1 — §5.2. External Enforcement at the Action Boundary; 7. Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28747	arXiv:2606.28747v1	accessible	https://arxiv.org/html/2606.28747v1 — §Self-Supervised Theorem Discovery in a Formal Axiomatic System; Rules of the Hilbert System.	https://arxiv.org/html/2606.28747v1 — §5 Experiments; 5.1 Experimental Setup; 5.2 Quantitative Evaluation of Theorem Discovery	https://arxiv.org/html/2606.28747v1 — §7 Conclusions；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28751	arXiv:2606.28751v1	accessible	https://arxiv.org/html/2606.28751v1 — §Report GitHub Issue; A Path-Space Formulation of Prediction in World Models: From a Single Action to Prediction, Planning, and Irreversibility	https://arxiv.org/html/2606.28751v1 — §VII Results and discussion; VII.2 Results	https://arxiv.org/html/2606.28751v1 — §VII Results and discussion; VII.5 Discussion; VIII Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28754	arXiv:2606.28754v1	accessible	https://arxiv.org/html/2606.28754v1 — §SHIFT: Dynamic Compute Relocation Framework for Communication-Aware Chiplet-Based Systems; IV SHIFT Framework; IV-A Considerations and Design Methodology	https://arxiv.org/html/2606.28754v1 — §V Evaluations; V-A Experimental Setup; V-B Experimental Results	https://arxiv.org/html/2606.28754v1 — §VI Conclusions；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28757	arXiv:2606.28757v1	accessible	https://arxiv.org/html/2606.28757v1 — §Effect of Post-Training.; C Global Dynamic Reconstruction Methodology; G Post Training Details	https://arxiv.org/html/2606.28757v1 — §A Physics-Grounded Benchmark for Multi-Agent Dynamics in World Models; Physical-grounded Evaluation.; 3 Principles of the New Evaluation Protocol	https://arxiv.org/html/2606.28757v1 — §5 Conclusions；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28758	arXiv:2606.28758v1	accessible	https://arxiv.org/html/2606.28758v1 — §2 Method; 3.3 Comparison of Diffusion Architectures	https://arxiv.org/html/2606.28758v1 — §3 Experiments; 3.5 Analysis of Structured Sketch Ground Truth	https://arxiv.org/html/2606.28758v1 — §5 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28772	arXiv:2606.28772v1	accessible	https://arxiv.org/html/2606.28772v1 — §3 Methods	https://arxiv.org/html/2606.28772v1 — §3.3 Statistical Analysis; 4 Results	https://arxiv.org/html/2606.28772v1 — §Majority Vote Silences Minority Values: Annotator Disagreement at the Hate/Offensive Boundary in HateXplain; 4.1 Disagreement Concentrates at the Value Boundary; 4.5 Boundary Disagreement Is Not Driven by Annotation Error；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-28781	arXiv:2606.28781v1	accessible	https://arxiv.org/html/2606.28781v1 — §2.1 Agent Memory Systems; 3 Architecture; 4.1 Propagation Algorithm	https://arxiv.org/html/2606.28781v1 — §6 Theoretical Analysis; 8 Competitive Analysis	https://arxiv.org/html/2606.28781v1 — §9 Discussion; 9.2 Limitations and Future Work; 10 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28804	arXiv:2606.28804v1	accessible	https://arxiv.org/html/2606.28804v1 — §III Method	https://arxiv.org/html/2606.28804v1 — §IV Experiments; IV-A Experimental Setup; IV-B Quantitative Analysis	https://arxiv.org/html/2606.28804v1 — §V Limitations; VI Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28813	arXiv:2606.28813v1	accessible	https://arxiv.org/html/2606.28813v1 — §Training data.; Appendix E Constraint-Aware Steering Algorithm; Appendix F Model and Training Details	https://arxiv.org/html/2606.28813v1 — §5 Experiments; 5.1 Experimental Setup and Baselines; 5.2 Main Results: Zero-Shot Composition and Generalization	https://arxiv.org/html/2606.28813v1 — §6 Limitations; 7 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
