arxiv_id	submitted_v1_utc	title	categories	screening_status	screening_reason
2603.19236	2026-03-23T00:00:05Z	L-PRISMA: An Extension of PRISMA in the Era of Generative Artificial Intelligence (GenAI)	cs.AI;cs.DL;cs.IR	pre_denominator_closure	L-PRISMA: An Extension of PRISMA in the Era of Generative Artificial Intelligence (GenAI)（cs.AI, cs.DL）的公开摘要聚焦于：The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) framework provides a rigorous foundation for evidence synthesis, yet the manual processes of data extraction and literature screening remain time-consuming and restrictive. Recent advances in Generative Artificial Intelligence (GenAI), particularly large language models (LLMs), o 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19239	2026-03-23T00:00:09Z	Defusing Logic Bombs in Symbolic Execution with LLM-Generated Ghost Code	cs.PL;cs.SE	pre_denominator_closure	Defusing Logic Bombs in Symbolic Execution with LLM-Generated Ghost Code（cs.PL, cs.SE）的公开摘要聚焦于：Symbolic execution is a powerful program analysis technique, but its effectiveness is fundamentally limited by solver-hostile program fragments, complex numerical reasoning, and unbounded heap structures. Recent work proposed replacing constraint solvers with large language models (LLMs) to bypass these limitations, but such approaches struggle to analyze re 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19244	2026-03-23T00:00:18Z	The IJCNN 2025 Review Process	cs.DL;cs.LG	pre_denominator_closure	The IJCNN 2025 Review Process（cs.DL, cs.LG）的公开摘要聚焦于：The International Joint Conference on Neural Networks (IJCNN) is the premier international conference in the area of neural networks theory, analysis, and applications. The 2025 edition of the conference comprised 5,526 paper submissions, 7,877 active reviewers, 426 area chairs, 2,152 accepted papers, and more than 2,300 attendees. This represents a growth o 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19247	2026-03-23T00:00:22Z	When Prompt Optimization Becomes Jailbreaking: Adaptive Red-Teaming of Large Language Models	cs.AI;cs.CL	pre_denominator_closure	When Prompt Optimization Becomes Jailbreaking: Adaptive Red-Teaming of Large Language Models（cs.AI, cs.CL）的公开摘要聚焦于：Large Language Models (LLMs) are increasingly integrated into high-stakes applications, making robust safety guarantees a central practical and commercial concern. Existing safety evaluations predominantly rely on fixed collections of harmful prompts, implicitly assuming non-adaptive adversaries and thereby overlooking realistic attack scenarios in which inp 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19248	2026-03-23T00:00:23Z	DuCCAE: A Hybrid Engine for Immersive Conversation via Collaboration, Augmentation, and Evolution	cs.AI;cs.CL	pre_denominator_closure	DuCCAE: A Hybrid Engine for Immersive Conversation via Collaboration, Augmentation, and Evolution（cs.AI, cs.CL）的公开摘要聚焦于：Immersive conversational systems in production face a persistent trade-off between responsiveness and long-horizon task capability. Real-time interaction is achievable for lightweight turns, but requests involving planning and tool invocation (e.g., search and media generation) produce heavy-tail execution latency that degrades turn-taking, persona consisten 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19249	2026-03-23T00:00:25Z	Spelling Correction in Healthcare Query-Answer Systems: Methods, Retrieval Impact, and Empirical Evaluation	cs.CL	pre_denominator_closure	Spelling Correction in Healthcare Query-Answer Systems: Methods, Retrieval Impact, and Empirical Evaluation（cs.CL）的公开摘要聚焦于：Healthcare question-answering (QA) systems face a persistent challenge: users submit queries with spelling errors at rates substantially higher than those found in the professional documents they search. This paper presents the first controlled study of spelling correction as a retrieval preprocessing step in healthcare QA using real consumer queries. We con 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19250	2026-03-23T00:00:26Z	Can Structural Cues Save LLMs? Evaluating Language Models in Massive Document Streams	cs.CL	pre_denominator_closure	Can Structural Cues Save LLMs? Evaluating Language Models in Massive Document Streams（cs.CL）的公开摘要聚焦于：Evaluating language models in streaming environments is critical, yet underexplored. Existing benchmarks either focus on single complex events or provide curated inputs for each query, and do not evaluate models under the conflicts that arise when multiple concurrent events are mixed within the same document stream. We introduce StreamBench, a benchmark buil 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19251	2026-03-23T00:00:27Z	Enhancing Legal LLMs through Metadata-Enriched RAG Pipelines and Direct Preference Optimization	cs.CL	pre_denominator_closure	Enhancing Legal LLMs through Metadata-Enriched RAG Pipelines and Direct Preference Optimization（cs.CL）的公开摘要聚焦于：Large Language Models (LLMs) perform well in short contexts but degrade on long legal documents, often producing hallucinations such as incorrect clauses or precedents. In the legal domain, where precision is critical, such errors undermine reliability and trust. Retrieval Augmented Generation (RAG) helps ground outputs but remains limited in legal settings, 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19252	2026-03-23T00:00:29Z	GeoChallenge: A Multi-Answer Multiple-Choice Benchmark for Geometric Reasoning with Diagrams	cs.AI;cs.CL	pre_denominator_closure	GeoChallenge: A Multi-Answer Multiple-Choice Benchmark for Geometric Reasoning with Diagrams（cs.AI, cs.CL）的公开摘要聚焦于：Evaluating the symbolic reasoning of large language models (LLMs) calls for geometry benchmarks that require multi-step proofs grounded in both text and diagrams. However, existing benchmarks are often limited in scale and rarely provide visually grounded multiple-choice questions, limiting reliable evaluation of complex reasoning. We introduce GeoChallenge, 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19253	2026-03-23T00:00:30Z	A comprehensive study of LLM-based argument classification: from Llama through DeepSeek to GPT-5.2	cs.AI;cs.CL	pre_denominator_closure	A comprehensive study of LLM-based argument classification: from Llama through DeepSeek to GPT-5.2（cs.AI, cs.CL）的公开摘要聚焦于：Argument mining (AM) is an interdisciplinary research field focused on the automatic identification and classification of argumentative components, such as claims and premises, and the relationships between them. Recent advances in large language models (LLMs) have significantly improved the performance of argument classification compared to traditional mach 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
