source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason	title_abstract_sha256
SF-2026-ARXIV-2606-29681	2606.29681	core_daily_semantic_review_required	Sample-Efficient Learning of Probabilistic Causes for Reachability in Markov Decision Processes with Probabilistic Guarantees	Probabilistic model checking for Markov decision processes (MDPs) provides quantitative guarantees, but often offers limited insight into why undesired outcomes occur. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Sample-Efficient Learning of Probabilistic Causes for Reachability in Markov Decision Processes with Probabilistic Guarantees》：摘要明确“Probabilistic model checking for Markov decision processes (MDPs) provides quantitative guarantees, but often offers limited insight into why undesired outcomes occur. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	c668b567ebb9cb85756bdfc8fd2cf4dd92ec7c8e1addec5dc72aac3ee0f4518f
SF-2026-ARXIV-2606-29684	2606.29684	not_routed_by_keyword_contract	Evolutionary Hyperparameter Optimization to Find Lightweight CNN Models for Autonomous Steering	This research investigates the optimization of Convolutional and Dense Neural Networks (CNNs and DNNs) for autonomous steering using the (N+M) Evolution Strategy (ES) with the 1/5th success rule. 	closed_pre_denominator	embodied_task_local_method	—	《Evolutionary Hyperparameter Optimization to Find Lightweight CNN Models for Autonomous Steering》：摘要明确“This research investigates the optimization of Convolutional and Dense Neural Networks (CNNs and DNNs) for autonomous steering using the (N+M) Evolution Strategy (ES) with the 1/5th success rule. ”；据此关闭，因为贡献停留在特定机器人、传感器或动作任务，未改变通用 VLA 状态/控制所有权。	7078c62e2368447bc1b2afc07a14a12846446e6407e7348af7aeb36aca587e63
SF-2026-ARXIV-2606-29685	2606.29685	core_daily_semantic_review_required	CAREBench: A Child-Safety Risk Benchmark for Language Models	How can we evaluate whether frontier AI systems recognize child-safety risks before they escalate into explicit harm? 	retained	durable_system_candidate	PLATFORM-EVALUATION-SYSTEM	把儿童安全从显式伤害响应前移为上游风险识别，并要求按风险层级验收。	927054db15600b78a6ab5613a86f9300d8993f6cc0729cade4f2f4e08f125f24
SF-2026-ARXIV-2606-29686	2606.29686	not_routed_by_keyword_contract	PoseShield: Neural Collision Fields for Human Self-Collision Resolution	Self-collision remains a persistent challenge in SMPL-based human pose estimation and motion generation. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《PoseShield: Neural Collision Fields for Human Self-Collision Resolution》：摘要明确“Self-collision remains a persistent challenge in SMPL-based human pose estimation and motion generation. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	1e867f71a27f9eae7288c3ed34ecdd66675cfef7f272f6e2585e443bd8a0ac0e
SF-2026-ARXIV-2606-29687	2606.29687	core_daily_semantic_review_required	A Machine-Verified Proof of a Quantum-Optimization Conjecture	We report a machine-verified resolution of a problem open for over a decade in quantum optimization: the Farhi, Goldstone and Gutmann (FGG) conjecture that depth-$p$ Quantum Approximate Optimization Algorithm (QAOA) on the ring of disagrees attains approximation ratio $(2p+1)/(2p+2)$ exactly. 	closed_pre_denominator	local_method_without_durable_system_delta	—	《A Machine-Verified Proof of a Quantum-Optimization Conjecture》：摘要明确“We report a machine-verified resolution of a problem open for over a decade in quantum optimization: the Farhi, Goldstone and Gutmann (FGG) conjecture that depth-$p$ Quantum Approximate Optimization Algorithm (QAOA) on the ring of disagrees attains approximation ratio $(2p+1)/(2p+2)$ exactly. ”；据此关闭，因为贡献仍是局部任务、模型或领域方法，不能外推为长期 AI-System 设计结论。	41e1304d839b9d7079e642ae8069cab48074349ca970ad68791b7a4dc8045b98
SF-2026-ARXIV-2606-29689	2606.29689	core_daily_semantic_review_required	Can MLLMs Critique Like Humans? Evaluating Open-Ended Aesthetic Reasoning in Multimodal Large Language Models	Open-ended aesthetic critique is a challenge for multimodal large language models (MLLMs): unlike multiple-choice aesthetic benchmarks, it has no single correct answer, and most aesthetic evaluation has measured models against numeric scores rather than the written critiques people actually give. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Can MLLMs Critique Like Humans? Evaluating Open-Ended Aesthetic Reasoning in Multimodal Large Language Models》：摘要明确“Open-ended aesthetic critique is a challenge for multimodal large language models (MLLMs): unlike multiple-choice aesthetic benchmarks, it has no single correct answer, and most aesthetic evaluation has measured models against numeric scores rather than the written critiques people actually give. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	4f2e95f2923ceda64568dcd556279c680a90ab42b629c9f4aae3eb978f3aa566
SF-2026-ARXIV-2606-29693	2606.29693	core_daily_semantic_review_required	IG-Lens: Exact Additive Probability Attribution Across Transformer Layers via Telescoping Integrated Gradients	We ask a simple question about decoder-only transformers: between which two layers is the probability of a predicted token actually produced? 	closed_pre_denominator	local_method_without_durable_system_delta	—	《IG-Lens: Exact Additive Probability Attribution Across Transformer Layers via Telescoping Integrated Gradients》：摘要明确“We ask a simple question about decoder-only transformers: between which two layers is the probability of a predicted token actually produced? ”；据此关闭，因为贡献仍是局部任务、模型或领域方法，不能外推为长期 AI-System 设计结论。	4b70eb31e84e016d1f136dcfa253cac7e31751343b046b0701417bb475f4af21
SF-2026-ARXIV-2606-29695	2606.29695	not_routed_by_keyword_contract	Progressive Self-Supervised Learning with Individualized Community Assignment for Brain Network Analysis	Brain networks exhibit a modular community structure that varies across individuals and neurological conditions. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Progressive Self-Supervised Learning with Individualized Community Assignment for Brain Network Analysis》：摘要明确“Brain networks exhibit a modular community structure that varies across individuals and neurological conditions. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	d40ef3b77763bec3aaaf44c820a218682e0d06a99e7768818ebcf3b73324ed79
SF-2026-ARXIV-2606-29697	2606.29697	not_routed_by_keyword_contract	MF-UAVPose6D: A Model-Free Monocular 6-DoF Pose Estimation Framework for Fixed-Wing UAVs	For uncrewed aerial vehicles (UAVs), estimating six-degree-of-freedom (6-DoF) poses is essential for airspace situational awareness, target tracking, and counter-UAV operations. 	closed_pre_denominator	embodied_task_local_method	—	《MF-UAVPose6D: A Model-Free Monocular 6-DoF Pose Estimation Framework for Fixed-Wing UAVs》：摘要明确“For uncrewed aerial vehicles (UAVs), estimating six-degree-of-freedom (6-DoF) poses is essential for airspace situational awareness, target tracking, and counter-UAV operations. ”；据此关闭，因为贡献停留在特定机器人、传感器或动作任务，未改变通用 VLA 状态/控制所有权。	44e850a337c2c09bb7bb00f6338c3e15074118c41b5fcf5e2bbac03b0ff132f6
SF-2026-ARXIV-2606-29699	2606.29699	core_daily_semantic_review_required	Early Warning Signals for OpenVLA Failure under Visual Distribution Shift	Visual shifts can cause a vision-language-action policy to fail after initially plausible behavior. 	retained	durable_system_candidate	PLATFORM-MONITORING	证明内部探针的回溯可分性不等于低噪声提前预警，修正运行时监测证明边界。	1ca6f2a14d0cb21779c8f9ed14f7f85b65edf94607fe4577e7049e858d2b0a58
