source_family_id	stable_node_id	target	global_hits	owner_hits	other_hits	body_exact	review_note_exact	mechanism_control_tradeoff_fallback_boundary	exact_v1_review_note	owner_adjacent_handoff	finding	status
SF-2026-ARXIV-2606-24074	PLATFORM-EVALUATION-SYSTEM	books/part-06-ai-infrastructure/66-evaluation-system.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24081	PLATFORM-EVALUATION-SYSTEM	books/part-06-ai-infrastructure/66-evaluation-system.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24119	PLATFORM-MONITORING	books/part-06-ai-infrastructure/67-monitoring.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24124	PLATFORM-EVALUATION-SYSTEM	books/part-06-ai-infrastructure/66-evaluation-system.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24133	TRAIN-DATA	books/part-04-training-system/27-data.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24143	TRAIN-DISTRIBUTED-TRAINING	books/part-04-training-system/36-distributed-training.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24151	AGENT-MEMORY	books/part-07-agent/77-memory.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24177	AGENT-WORKFLOW	books/part-07-agent/81-workflow.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24204	AGENT-RAG	books/part-07-agent/76-rag.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24245	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24311	AGENT-PLATFORM	books/part-07-agent/84-agent-platform.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24322	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24369	TRAIN-DISTRIBUTED-TRAINING	books/part-04-training-system/36-distributed-training.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24402	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24408	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24428	AGENT-MEMORY	books/part-07-agent/77-memory.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24437	AGENT-MULTI-AGENT	books/part-07-agent/82-multi-agent.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24467	INFER-KV-CACHE	books/part-05-inference-system/45-why-kv-cache-speeds-up.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24506	INFER-GPU-MEMORY	books/part-05-inference-system/54-gpu-memory.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24535	AGENT-MEMORY	books/part-07-agent/77-memory.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24626	PLATFORM-TRACE	books/part-06-ai-infrastructure/69-trace.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24722	TRAIN-DISTRIBUTED-TRAINING	books/part-04-training-system/36-distributed-training.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24774	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24775	AGENT-MEMORY	books/part-07-agent/77-memory.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24957	INFER-SPECULATIVE-DECODING	books/part-05-inference-system/48-speculative-decoding.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24996	PLATFORM-EVALUATION-SYSTEM	books/part-06-ai-infrastructure/66-evaluation-system.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-24998	TRAIN-DATA	books/part-04-training-system/27-data.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25040	INFER-SCHEDULING	books/part-05-inference-system/56-inference-scheduling.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25082	PLATFORM-GPU-SCHEDULER	books/part-06-ai-infrastructure/63-gpu-scheduler.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25091	INFER-SPECULATIVE-DECODING	books/part-05-inference-system/48-speculative-decoding.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25097	INFER-SPECULATIVE-DECODING	books/part-05-inference-system/48-speculative-decoding.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25098	PLATFORM-GPU-SCHEDULER	books/part-06-ai-infrastructure/63-gpu-scheduler.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25115	AGENT-MEMORY	books/part-07-agent/77-memory.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25156	MODEL-LONG-CONTEXT	books/part-02-model/22-long-context.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25161	AGENT-MEMORY	books/part-07-agent/77-memory.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25178	TRAIN-GRPO	books/part-04-training-system/33-grpo.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25189	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	2	2	0	1	1	passed	passed	passed	—	passed
SF-2026-ARXIV-2606-25191	AGENT-RAG	books/part-07-agent/76-rag.md	2	2	0	1	1	passed	passed	passed	—	passed
