arxiv_id	published_v1_utc	route	status	source_family_id	title	reason
2605.01662	2026-05-03T01:30:29Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01662	Video Active Perception: Effective Inference-Time Long-Form Video Understanding with Vision-Language Models	《Video Active Perception: Effective Inference-Time Long-Form Video Understanding with Vision-Language Models》具体研究/提出：However, VLMs face the challenge of selecting frames effectively and efficiently, as standard uniform sampling is expensive and performance may plateau. 它没有同时改变 request/KV/scheduler 的状态 ownership 与 workload-SLO contract；局部速度或压缩结果不能外推为推理系统设计结论。（identity=2605.01662v1）
2605.01663	2026-05-03T01:32:11Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01663	Towards Efficient and Expressive Offline RL via Flow-Anchored Noise-conditioned Q-Learning	《Towards Efficient and Expressive Offline RL via Flow-Anchored Noise-conditioned Q-Learning》具体研究/提出：Recent work has shown that expressive flow policies and distributional critics improve offline RL performance, but at a high computational cost. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01663v1）
2605.01664	2026-05-03T01:33:31Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01664	A Hybrid Retrieval and Reranking Framework for Evidence-Grounded Retrieval-Augmented Generation	《A Hybrid Retrieval and Reranking Framework for Evidence-Grounded Retrieval-Augmented Generation》具体研究/提出：However, RAG performance depends on the relevance of retrieved passages, the quality of evidence ranking, and the ability to verify whether generated claims are supported by source documents. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01664v1）
2605.01666	2026-05-03T01:37:40Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2605-01666	IMPACT-HOI: Supervisory Control for Onset-Anchored Partial HOI Event Construction	Mixed-initiative structured-data workflows need field-level authority: confirmed values remain locked, machine initiative is bounded by evidence and overwrite risk, and every autonomous transition retains provenance plus atomic rollback.
2605.01667	2026-05-03T01:38:37Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01667	Deep neural networks with Fisher vector encoding for medical image classification	《Deep neural networks with Fisher vector encoding for medical image classification》具体研究/提出：Additionally, hybrid CNN + Vision Transformers (ViT) models have been recently proposed to address CNN locality bias issues. 它是受限表示、生成或领域任务改进，没有改变 representation identity、action-conditioned transition、persistent world state 或 physical-control boundary。（identity=2605.01667v1）
2605.01668	2026-05-03T01:45:58Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01668	IMPACT-Scribe: Interactive Temporal Action Segmentation with Boundary Scribbles and Query Planning	《IMPACT-Scribe: Interactive Temporal Action Segmentation with Boundary Scribbles and Query Planning》具体研究/提出：Each correction is treated as an isolated edit, limiting reuse of information on annotator uncertainty and model reliability. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01668v1）
2605.01669	2026-05-03T01:48:45Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01669	PRCD-MAP: Learning How Much to Trust Imperfect Priors in Causal Discovery	《PRCD-MAP: Learning How Much to Trust Imperfect Priors in Causal Discovery》具体研究/提出：Real priors are also heterogeneously reliable -- physical laws are trustworthy, LLM-suggested edges are speculative -- yet existing methods either ignore priors or impose them through globally uniform trust. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01669v1）
2605.02959	2026-05-03T01:59:38Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-02959	Calibration of the underlying surface parameters for urban flood using latent variables and adjoint equation	《Calibration of the underlying surface parameters for urban flood using latent variables and adjoint equation》具体研究/提出：We formulate the parameter calibration problem into an optimization problem within the Bayesian framework using the maximum likelihood principle. 它提供单一 metric/dataset 或领域 benchmark，但未改变 evaluation identity、release authority、uncertainty 或可复现 evidence 的平台合同。（identity=2605.02959v1）
2605.01673	2026-05-03T02:03:32Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01673	Delayed Commitment for Representation Readiness in Stage-wise Audio-Visual Learning	《Delayed Commitment for Representation Readiness in Stage-wise Audio-Visual Learning》具体研究/提出：Strong local audio-visual agreement provides useful correspondence evidence, yet a fused state also needs sufficient cross-layer and cross-modal support before it can reliably guide later fusion. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01673v1）
2605.01675	2026-05-03T02:17:58Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01675	CP-SynC: Multi-Agent Zero-Shot Constraint Modeling in MiniZinc with Synthesized Checkers	《CP-SynC: Multi-Agent Zero-Shot Constraint Modeling in MiniZinc with Synthesized Checkers》具体研究/提出：While Large Language Models (LLMs) show promise in automating this translation, they often struggle with subtle semantic errors in the absence of oracle validation at test time. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01675v1）
