Priority	Status	Daily	Week	Source Family	Candidate	Known URL	Missing Material	Why Existing Evidence Is Insufficient	Acceptable Substitute	Suggested File Name	Resume Scope
P1 Full Text	pending	2026-07-12	2026-W28	SF-2026-ARXIV-2607-10183	Automated Tensor Scheduling for Hybrid CPU-GPU LLM Inference on Consumer Devices	https://arxiv.org/abs/2607.10183v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.10183v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-12	2026-W28	SF-2026-ARXIV-2607-10186	FlashAccel: Leveraging High-Bandwidth Flash (HBF) for High-Throughput LLM Inference	https://arxiv.org/abs/2607.10186v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.10186v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-12	2026-W28	SF-2026-ARXIV-2607-10350	ABot-AgentOS: A General Robotic Agent OS with Lifelong Multi-modal Memory	https://arxiv.org/abs/2607.10350v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.10350v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-12	2026-W28	SF-2026-ARXIV-2607-10463	GRASP: GRanularity-Aware Search Policy for Agentic RAG	https://arxiv.org/abs/2607.10463v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.10463v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-12	2026-W28	SF-2026-ARXIV-2607-11942	How Query Visibility Changes KV-Cache Compression Rankings: A Matched-Budget Audit	https://arxiv.org/abs/2607.11942v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11942v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-13	2026-W28	SF-2026-ARXIV-2607-10582	MemDecay: Region-Aware KV Cache Eviction for Efficient LLM Agent Inference	https://arxiv.org/abs/2607.10582v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.10582v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-14	2026-W29	SF-2026-ARXIV-2607-10987	[AAFLOW+] Stateful Operator Abstraction with Zero-Copy Distributed KV Cache Orchestration for Multi-Agent Workflows	https://arxiv.org/abs/2607.10987v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.10987v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	blocked	2026-07-14	2026-W29	SF-2026-ARXIV-2607-11079	Are LLMs Ready for Scientific Discovery? A Capability-Oriented Benchmark for AI Scientists	https://arxiv.org/abs/2607.11079v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Historical queue records an explicit full-text access blocker; metadata/review focus cannot support a mechanism claim	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11079v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-14	2026-W29	SF-2026-ARXIV-2607-11149	The Hidden Footprint: Making Storage a First-Class Metric for LLM Agent Evaluation	https://arxiv.org/abs/2607.11149v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11149v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	blocked	2026-07-14	2026-W29	SF-2026-ARXIV-2607-11250	Multi-Agent LLMs Fail to Explore Each Other	https://arxiv.org/abs/2607.11250v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Historical queue records an explicit full-text access blocker; metadata/review focus cannot support a mechanism claim	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11250v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-14	2026-W29	SF-2026-ARXIV-2607-11487	LightMem-Ego: Your AI Memory for Everyday Life	https://arxiv.org/abs/2607.11487v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11487v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-14	2026-W29	SF-2026-ARXIV-2607-11505	Proxy OPD: On-Policy Distillation with Transferable Relative Proxy Update	https://arxiv.org/abs/2607.11505v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11505v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-14	2026-W29	SF-2026-ARXIV-2607-11849	AdvancedMathBench: A Benchmark Suite for Advanced Mathematical Proof Generation and Verification	https://arxiv.org/abs/2607.11849v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11849v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
