report_date	source_family	primary_identifier	stable_node	owner_path	body_locator	proof_kind	persistence_score	evidence_locator	delta_sha256	daily_delta	semantic_status	refine_disposition	finding
2026-06-01	SF-FED-PERSONALIZATION-SILENT-FAILURES	arXiv:2606.00947v1	PLATFORM-EVALUATION-SYSTEM	books/part-06-ai-infrastructure/66-evaluation-system.md	## 从目标到证据，而不是从指标到目标	fresh_receipt_plus_persisted_proposition	0.095932	## Review notes	1dafcc9be26c9549	Federated foundation-model personalization makes client-level behavior inaccessible to a central observer, so bias, miscalibration, fairness collapse, adaptation misalignment, out-of-domain degradation, and alignment erosion can pass ordinary aggregate acceptance; the durable delta is a privacy-preserving behavioral-evaluation contract that assigns what may be observed, aggregated, audited, and used for release. 证据边界：This exact-v1 paper is a taxonomy and research vision rather than an implemented monitor or newly executed benchmark; it does not establish complete detectors, production thresholds, or that privacy-preserving statistics can identify every client-local failure without weakening privacy.	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta 1dafcc9be26c9549 已对齐到具体正文命题 ## 从目标到证据，而不是从指标到目标；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.095932；精确来源身份保留在 ## Review notes。
2026-06-01	SF-ORDER-AGNOSTIC-CHAIN-RULE	arXiv:2606.00997v1	MULTIMODAL-GENERATIVE-PARADIGMS	books/part-03-multimodal-world-models/24-multimodal-generative-paradigms.md	## Block Diffusion：局部自回归与块内并行	fresh_receipt_plus_persisted_proposition	0.063197	## Review notes	a5e782586c29cfe5	Order-agnostic masked language models expose conditionals that need not compose into one coherent joint distribution; reveal order therefore becomes part of the decoding contract rather than a harmless scheduler choice. 证据边界：Reported likelihood shifts and uniform-spreading effects are specific to evaluated models and schedules; they do not prove that every diffusion language model is incoherent or inferior to autoregression.	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta a5e782586c29cfe5 已对齐到具体正文命题 ## Block Diffusion：局部自回归与块内并行；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.063197；精确来源身份保留在 ## Review notes。
2026-06-01	SF-DEEP-RESEARCH-RUBRIC-RL	arXiv:2606.01091v1	TRAIN-GRPO	books/part-04-training-system/33-grpo.md	## 从 DeepSeekMath 到 R1：Pure RL 与 Multi-stage Training 为什么同时成立	fresh_receipt_plus_persisted_proposition	0.154468	## Review notes	28a8148457c21d46	DR-Rubric retrieves external evidence, synthesizes atomic verifiable constraints, scores policy outputs against that rubric, and feeds the result into group-relative reinforcement learning; rubric provenance, granularity, bootstrap version, and polarization therefore become reward-state and stopping-contract inputs rather than free-form judge text. 证据边界：Results are bounded to the reported research-agent tasks, models, search environment, and bootstrap depth; external evidence may be incomplete or stale, generated constraints can be wrong, and later bootstrap steps polarize and collapse rather than guaranteeing self-improvement.	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta 28a8148457c21d46 已对齐到具体正文命题 ## 从 DeepSeekMath 到 R1：Pure RL 与 Multi-stage Training 为什么同时成立；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.154468；精确来源身份保留在 ## Review notes。
2026-06-01	SF-SPARSE-REPEATED-TRAINING	arXiv:2606.01155v1	TRAIN-PRETRAINING	books/part-04-training-system/28-pretraining.md	## Scaling 不是只增加参数	fresh_receipt_plus_persisted_proposition	0.108611	## Review notes	3a83e2793e9dae9d	The sparse data-constrained scaling law jointly models unique-token volume, repetition, effective parameters, and sparsity, so repeated-epoch pretraining must choose model size and sparsity against a data-saturation boundary instead of applying dense Chinchilla allocation or sparsity gains independently. 证据边界：The fitted law is empirical over the disclosed scale, corpus diversity, sparsity process, and compute regime; it does not prove the same optimum for frontier-scale mixtures, changing token quality, optimizer changes, or real hardware efficiency, which the paper explicitly separates from theoretical FLOPs.	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta 3a83e2793e9dae9d 已对齐到具体正文命题 ## Scaling 不是只增加参数；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.108611；精确来源身份保留在 ## Review notes。
2026-06-02	SF-KV-QUANT-ALIGNMENT-COLLAPSE	arXiv:2606.09864v1	INFER-KV-CACHE	books/part-05-inference-system/45-why-kv-cache-speeds-up.md	## 逻辑 Shape 与容量公式	fresh_receipt_plus_persisted_proposition	0.082135	## Review notes	da82d6f2378808b3	把 alignment behavior 与 refusal evaluator 加入 KV precision artifact 的 release contract。	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta da82d6f2378808b3 已对齐到具体正文命题 ## 逻辑 Shape 与容量公式；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.082135；精确来源身份保留在 ## Review notes。
2026-06-02	SF-EXECUTION-GROUNDED-CODING-AGENT-SECURITY	arXiv:2607.22569v1	PLATFORM-SECURITY	books/part-06-ai-infrastructure/72-security.md	## Safety Evaluation 的单位是 Run，不只是 Prompt	fresh_receipt_plus_persisted_proposition	0.096868	## Review notes	266bc548fab2ed7e	把 filesystem/runtime side effect predicate 固化为 coding-agent release test，而非用 language refusal 代替。	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta 266bc548fab2ed7e 已对齐到具体正文命题 ## Safety Evaluation 的单位是 Run，不只是 Prompt；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.096868；精确来源身份保留在 ## Review notes。
2026-06-02	SF-OPTCC-ASYMMETRIC-ALLREDUCE	arXiv:2606.01680v1	TRAIN-DISTRIBUTED-TRAINING	books/part-04-training-system/36-distributed-training.md	## 用 Alpha-Beta 模型建立下界直觉	fresh_receipt_plus_persisted_proposition	0.067849	## Review notes	74bd799477d3bcee	增加退化链路仍在线时的 bandwidth-state schedule 与下界。	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta 74bd799477d3bcee 已对齐到具体正文命题 ## 用 Alpha-Beta 模型建立下界直觉；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.067849；精确来源身份保留在 ## Review notes。
2026-06-02	SF-GAIATRACE-VIDUR-AGENT	arXiv:2606.01725v1	INFER-SCHEDULING	books/part-05-inference-system/56-inference-scheduling.md	## 目标函数不止吞吐	fresh_receipt_plus_persisted_proposition	0.151424	## Review notes	c9c1395caa6960a4	Agentic serving 的 SLO owner 必须上移到 task DAG；per-query TTFT/TPOT 只能作为子阶段证据。	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta c9c1395caa6960a4 已对齐到具体正文命题 ## 目标函数不止吞吐；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.151424；精确来源身份保留在 ## Review notes。
2026-06-02	SF-SPARSEX-SEGMENT-KV	arXiv:2606.01751v1	INFER-KV-CACHE	books/part-05-inference-system/45-why-kv-cache-speeds-up.md	## 一致性不变量	fresh_receipt_plus_persisted_proposition	0.110161	## Review notes	571ebe5a50c5b378	增加 position-aligned segment reuse、selective correction 与 dense fallback。	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta 571ebe5a50c5b378 已对齐到具体正文命题 ## 一致性不变量；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.110161；精确来源身份保留在 ## Review notes。
2026-06-02	SF-ADAPTIVE-AUTO-HARNESS	arXiv:2606.01770v1	AGENT-PLATFORM	books/part-07-agent/84-agent-platform.md	## 从机制演进到系统设计	fresh_receipt_plus_persisted_proposition	0.125130	## Review notes	9bed8cc54269bedb	单一 harness 在固定 benchmark 上反复优化时合理，但 open-ended task stream 会累积 history、domain shift 与 specialization conflict。	verified_integration	Pass — Specific Body Proposition and Evidence Boundary Verified	Daily Books delta 9bed8cc54269bedb 已对齐到具体正文命题 ## 从机制演进到系统设计；proof=fresh_receipt_plus_persisted_proposition；persistence_score=0.125130；精确来源身份保留在 ## Review notes。
