arxiv_id	title	source_kind	screening_status	source_family_id	screening_reason	owner_node	review_status	access_status	integration_disposition
2605.04377	Towards Formal Verification of Hybrid Synchronous Programs with Refinement Types		pre_denominator_closure	SF-2026-ARXIV-2605-04377	问题/机制：Towards Formal Verification of Hybrid Synchronous Programs with Refinement Types；方法为“Cyber-physical systems (CPS) such as autonomous cars, aircraft, and robots are often also safety-critical; thus it is imperative that they operate as intended with a high degree of certainty.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：贡献停留在论文自身问题与实验对象，没有形成可迁移的 AI System owner、长期 contract 或 Books 反例。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04381	Causal discovery under mean independence and linearity		pre_denominator_closure	SF-2026-ARXIV-2605-04381	问题/机制：Causal discovery under mean independence and linearity；方法为“We introduce the Linear Mean-Independent Acyclic Model (LiMIAM), which replaces full independence with weaker one-sided mean-independence restrictions on the disturbances.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.08202	Beyond Penalization: Diffusion-based Out-of-Distribution Detection and Selective Regularization in Offline Reinforcement Learning		pre_denominator_closure	SF-2026-ARXIV-2605-08202	问题/机制：Beyond Penalization: Diffusion-based Out-of-Distribution Detection and Selective Regularization in Offline Reinforcement Learning；方法为“To address this problem, we propose DOSER (Diffusion-based OOD Detection and Selective Regularization), a novel framework that goes beyond uniform penalization.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04396	Critical Windows of Complexity Control: When Transformers Decide to Reason or Memorize		retained	SF-CRITICAL-WINDOWS-OF-COMPLEXITY-CONTROL-WHEN-TRANSFORMERS-DECIDE-TO-REASO	regularization timing creates a critical training window that changes the reasoning-versus-memorization basin	TRAIN-PRETRAINING	deep_complete	verified	No Change — Existing Coverage
2605.13873	Large Language Models for Web Accessibility: A Systematic Literature Review		pre_denominator_closure	SF-2026-ARXIV-2605-13873	问题/机制：Large Language Models for Web Accessibility: A Systematic Literature Review；方法为“In this paper, we present a systematic literature review of 38 peer-reviewed studies that investigate the use of LLMs in web accessibility contexts.”；结果线索为“We then conduct a comparative analysis to examine the accessibility tasks addressed, the LLM models and prompting strategies employed, the system architectures adopted, the accessibility issues and guidelines considered, and the evaluation…”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04397	Optimize-at-Capture: Highly-adaptive Exposure Controlling for In-Vehicle Non-contact Heart-rate Monitoring		pre_denominator_closure	SF-2026-ARXIV-2605-04397	问题/机制：Optimize-at-Capture: Highly-adaptive Exposure Controlling for In-Vehicle Non-contact Heart-rate Monitoring；方法为“To address this gap, we propose a highly-adaptive exposure controlling framework that proactively adjusts exposure parameters based on predictive modeling of historical skin reflections.”；结果线索为“Extensive experiments demonstrate that our method consistently outperforms fixed exposure and standard auto-exposure strategies.”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04400	Contextual Memory-Enhanced Source Coding for Low-SNR Communications		pre_denominator_closure	SF-2026-ARXIV-2605-04400	问题/机制：Contextual Memory-Enhanced Source Coding for Low-SNR Communications；方法为“Separate Source-Channel Coding (SSCC) remains vulnerable in noisy text transmission due to the fragility of autoregressive source decoding, especially when Arithmetic Coding (AC) relies on Large Language Model (LLM)-based probability estimation.”；结果线索为“Experiments over Rayleigh fading and AWGN channels demonstrate its effectiveness.”。排除边界：改进停留在该 agent/RAG 任务，未改变 durable state、effect ownership、admission/rollback 或跨运行评价契约。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04405	Detecting Deepfakes via Hamiltonian Dynamics		pre_denominator_closure	SF-2026-ARXIV-2605-04405	问题/机制：Detecting Deepfakes via Hamiltonian Dynamics；方法为“To break this cycle, we propose a new perspective on deepfake detection: moving from static pattern recognition to dynamical stability analysis.”；结果线索为“Extensive experiments show that HAAD outperforms evaluated state-of-the-art baselines on challenging cross-dataset transfer benchmarks, supporting a physics-inspired stability prior for digital forensics.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04406	Beyond Rigid Geometries: The Spline-Pullback Metric for Universal Diffeomorphic SPD Representation Learning		pre_denominator_closure	SF-2026-ARXIV-2605-04406	问题/机制：Beyond Rigid Geometries: The Spline-Pullback Metric for Universal Diffeomorphic SPD Representation Learning；方法为“In this paper, we introduce the Spline-Pullback Metric (SPM), instantiated as Spectral-SPM and Cholesky-SPM, marking a paradigm shift from static metric selection to universal geometric approximation.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04407	Assessing Generalisation Capability of Machine Learning Models for Intrusion Detection		pre_denominator_closure	SF-2026-ARXIV-2605-04407	问题/机制：Assessing Generalisation Capability of Machine Learning Models for Intrusion Detection；方法为“This study investigates the generalisation capability of supervised machine learning models for intrusion detection using UNSW-NB15 and TON_IoT.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
