source_family_id	exact_v1	method_locator	evaluation_locator	limitation_locator	artifact_locator	benchmark_10_fields	score_total	selection	books_disposition	audit_status
SF-2026-ARXIV-2606-25274	arXiv:2606.25274v1	https://arxiv.org/html/2606.25274v1 — §3 Problem Definition; 4 Method; 4.2 Candidate Expansion; 4.3 UC-Beam	https://arxiv.org/html/2606.25274v1 — §5 Experiments; 5.1 Implemented Evidence; 6 Analysis	https://arxiv.org/html/2606.25274v1 — §7 Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25285	arXiv:2606.25285v1	https://arxiv.org/html/2606.25285v1 — §3 EPTS: Elastic Post-Training Sparsity	https://arxiv.org/html/2606.25285v1 — §4 Experiments; Experimental Setup; Main Results	https://arxiv.org/html/2606.25285v1 — §Limitations and Discussion	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25296	arXiv:2606.25296v1	https://arxiv.org/html/2606.25296v1 — §SafeGen Methodology; Assertion Generation; Fault Criticality Evaluation	https://arxiv.org/html/2606.25296v1 — §Experimental Evaluation; Functional-Safety Case Studies	https://arxiv.org/html/2606.25296v1 — §Threats to Validity; Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25342	arXiv:2606.25342v1	https://arxiv.org/html/2606.25342v1 — §Parametric Attention and Lifelong In-Context Learning formulation	https://arxiv.org/html/2606.25342v1 — §Experiments; Lifelong sequence results	https://arxiv.org/html/2606.25342v1 — §Discussion; finite-memory and task-family limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25349	arXiv:2606.25349v1	https://arxiv.org/html/2606.25349v1 — §IV Two-Party Secure Inference Algorithm; V Storage-Communication Trade-off; VI Fused Relinearization and Rotation	https://arxiv.org/html/2606.25349v1 — §VII Evaluation	https://arxiv.org/html/2606.25349v1 — §VIII Conclusion; exact-v1 analytical-evaluation-only note	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25353	arXiv:2606.25353v1	https://arxiv.org/html/2606.25353v1 — §3 Architecture; 3.1 Weight-Attention Decoupled Organization; 4 Implementation	https://arxiv.org/html/2606.25353v1 — §5 Experiment Setup; 6 Evaluation	https://arxiv.org/html/2606.25353v1 — §7 Discussion; 7.2 Future Works	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	selected	Integrate	passed
SF-2026-ARXIV-2606-25366	arXiv:2606.25366v1	https://arxiv.org/html/2606.25366v1 — §III System and Testbed; IV Verified Runtime Shield; VII Adaptation-Aware Runtime Assurance	https://arxiv.org/html/2606.25366v1 — §VIII Robustness; IX Integrated Evaluation	https://arxiv.org/html/2606.25366v1 — §XI-D Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25371	arXiv:2606.25371v1	https://arxiv.org/html/2606.25371v1 — §III Problem Setup; IV Conformal Recovery-Deadline Certificate	https://arxiv.org/html/2606.25371v1 — §V Experiments	https://arxiv.org/html/2606.25371v1 — §VI-D Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25388	arXiv:2606.25388v1	https://arxiv.org/html/2606.25388v1 — §III System Overview; IV Methodology; IV-F Execution-Guided Validation and Control	https://arxiv.org/html/2606.25388v1 — §V Experimental Evaluation; V-A Experimental Setup	https://arxiv.org/html/2606.25388v1 — §VII Discussion and Future Work	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25410	arXiv:2606.25410v1	https://arxiv.org/html/2606.25410v1 — §3 Proposed Method; 3.1 Importance Score Calculation; 3.2 Weight Rescaling	https://arxiv.org/html/2606.25410v1 — §4 Experiments; 4.1 Experimental Setup; 4.4 Results	https://arxiv.org/html/2606.25410v1 — §5 Conclusion; class-forgetting experimental scope	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-25426	arXiv:2606.25426v1	https://arxiv.org/html/2606.25426v1 — §3 Method; 3.1 Three-level cache blocking; 3.2 Weight pre-packing	https://arxiv.org/html/2606.25426v1 — §4 Evaluation; 4.1 Experimental setup; 4.7 End-to-end prefill GEMM measurement	https://arxiv.org/html/2606.25426v1 — §6 Conclusion; Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
