source_family_id	disposition	owner	adjacent	evidence	result
SF-2026-ARXIV-2606-28666	No Change — Existing Coverage	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	re-read `books/part-06-ai-infrastructure/72-security.md` at `## 风险管理而不是一次性认证` and adjacent `books/part-06-ai-infrastructure/71-multi-tenant.md`; existing=Ch72 已拥有 capability/auth/effect 分权、canonical action、external reference monitor、quantization-conditioned backdoor gate、provenance 与 fail-closed fallback，但尚未把 protocol specification 编译为 extremal differential test receipt。 Fresh owner+adjacent reread found that《Why Trust Your Agent? Empirical Security Gains from TRiSM-Guided Agentic Workflows in Healthcare》的 `https://arxiv.org/html/2606.28666v1 — §2.6 TRiSM framework; 3 Methodology; 3.2 Framework used` remains an instance or bounded probe of this existing proposition.; bounded delta=该 family 的 source-specific contribution is `exact-v1 的机制路径为 2.6 TRiSM framework; 3 Methodology; 3.2 Framework used。在 `PLATFORM-SECURITY` 中，该路径改变或检验的具体对象由题名《Why Trust Your Agent? Empirical Security Gains from TRiSM-Guided Agentic Workflows in Healthcare》和上述 method locator 共同限定。`; `6 Future work and limitations; 7 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。` prevents it from adding a new owner/control/release contract.	PASS
SF-2026-ARXIV-2606-28679	No Change — Existing Coverage	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	re-read `books/part-06-ai-infrastructure/72-security.md` at `## 风险管理而不是一次性认证` and adjacent `books/part-06-ai-infrastructure/71-multi-tenant.md`; existing=Ch72 已拥有 capability/auth/effect 分权、canonical action、external reference monitor、quantization-conditioned backdoor gate、provenance 与 fail-closed fallback，但尚未把 protocol specification 编译为 extremal differential test receipt。 Fresh owner+adjacent reread found that《Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks》的 `https://arxiv.org/html/2606.28679v1 — §Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks; III The Cross-Framework Gap; III-A Method and selection` remains an instance or bounded probe of this existing proposition.; bounded delta=该 family 的 source-specific contribution is `exact-v1 的机制路径为 Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks; III The Cross-Framework Gap; III-A Method and selection。在 `PLATFORM-SECURITY` 中，该路径改变或检验的具体对象由题名《Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks》和上述 method locator 共同限定。`; `Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks; II Threat Model; II-A Boundary and adversary；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。` prevents it from adding a new owner/control/release contract.	PASS
SF-2026-ARXIV-2606-28690	Integrate	books/part-07-agent/83-mcp.md	books/part-07-agent/82-multi-agent.md	unique Review note line 191; owner block equals reviewed ready packet	PASS
SF-2026-ARXIV-2606-28692	Weekly Only — Context	books/part-07-agent/81-workflow.md	books/part-07-agent/80-reflection.md	re-read `books/part-07-agent/81-workflow.md` at `## State Machine 是基本模型` and adjacent `books/part-07-agent/80-reflection.md`; existing=Fresh review of `books/part-07-agent/81-workflow.md` and `books/part-07-agent/80-reflection.md` found an owner, but exact-v1 does not cross the durable-change threshold.; bounded delta=两层 clinical self-learning 与 212-tool loop 仍由单一医疗工具宇宙、观察性 EHR 与领域 rubric 定义，不能改写通用 Workflow owner。	PASS
SF-2026-ARXIV-2606-28707	Weekly Only — Context	books/part-04-training-system/33-grpo.md	books/part-04-training-system/32-ppo.md	re-read `books/part-04-training-system/33-grpo.md` at `### 从一个终局标量到 Typed Credit：Reward 必须匹配决策边界` and adjacent `books/part-04-training-system/32-ppo.md`; existing=Fresh review of `books/part-04-training-system/33-grpo.md` and `books/part-04-training-system/32-ppo.md` found an owner, but exact-v1 does not cross the durable-change threshold.; bounded delta=semantic-cluster historical baseline 是 critic-free RL 的局部方差控制器；它没有改变 verifier、trajectory 或 reward authority。	PASS
SF-2026-ARXIV-2606-28712	Weekly Only — Context	books/part-03-multimodal-world-models/25-multimodal-world-models.md	books/part-03-multimodal-world-models/26-multimodal-embodied-vla.md	re-read `books/part-03-multimodal-world-models/25-multimodal-world-models.md` at `## State ownership` and adjacent `books/part-03-multimodal-world-models/26-multimodal-embodied-vla.md`; existing=Fresh review of `books/part-03-multimodal-world-models/25-multimodal-world-models.md` and `books/part-03-multimodal-world-models/26-multimodal-embodied-vla.md` found an owner, but exact-v1 does not cross the durable-change threshold.; bounded delta=coupled factor graph 与 alternating IRLS 是四个 WildGS scene 上的局部优化路线，且更复杂 joint setting 并不稳定优于 pose-only。	PASS
SF-2026-ARXIV-2606-28715	No Change — Existing Coverage	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/67-monitoring.md	re-read `books/part-06-ai-infrastructure/66-evaluation-system.md` at `## Evaluation Run 的平台对象模型` and adjacent `books/part-06-ai-infrastructure/67-monitoring.md`; existing=Ch66 已版本化 EvalSpec、dataset/model/harness/environment/evaluator/metric/selector、校准与 release gate，但尚未要求 optimizer、evaluator 与 champion selector 调用同一可执行 aggregation contract。 Fresh owner+adjacent reread found that《SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages》的 `https://arxiv.org/html/2606.28715v1 — §Report GitHub Issue; SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages` remains an instance or bounded probe of this existing proposition.; bounded delta=该 family 的 source-specific contribution is `exact-v1 的机制路径为 Report GitHub Issue; SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages。在 `PLATFORM-EVALUATION-SYSTEM` 中，该路径改变或检验的具体对象由题名《SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages》和上述 method locator 共同限定。`; `6 Analysis and Discussion; 7 Conclusion; 8 Limitation；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。` prevents it from adding a new owner/control/release contract.	PASS
SF-2026-ARXIV-2606-28720	No Change — Existing Coverage	books/part-03-multimodal-world-models/25-multimodal-world-models.md	books/part-03-multimodal-world-models/26-multimodal-embodied-vla.md	re-read `books/part-03-multimodal-world-models/25-multimodal-world-models.md` at `## State ownership` and adjacent `books/part-03-multimodal-world-models/26-multimodal-embodied-vla.md`; existing=Ch25 已拥有 persistent/action-conditioned state、stochastic rollout、entity identity、simulation artifact 与 physical commit boundary。 Fresh owner+adjacent reread found that《CubifyGS: Object-Centric 3D Gaussian Splatting for Lifelong Dynamic Scene Maintenance》的 `https://arxiv.org/html/2606.28720v1 — §III METHOD; IV-B System-level Comparisons` remains an instance or bounded probe of this existing proposition.; bounded delta=该 family 的 source-specific contribution is `exact-v1 的机制路径为 III METHOD; IV-B System-level Comparisons。在 `MULTIMODAL-WORLD-MODELS` 中，该路径改变或检验的具体对象由题名《CubifyGS: Object-Centric 3D Gaussian Splatting for Lifelong Dynamic Scene Maintenance》和上述 method locator 共同限定。`; `V CONCLUSIONS；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。` prevents it from adding a new owner/control/release contract.	PASS
SF-2026-ARXIV-2606-28725	No Change — Existing Coverage	books/part-06-ai-infrastructure/67-monitoring.md	books/part-06-ai-infrastructure/66-evaluation-system.md	re-read `books/part-06-ai-infrastructure/67-monitoring.md` at `## Monitoring 也会改变系统` and adjacent `books/part-06-ai-infrastructure/66-evaluation-system.md`; existing=Ch67 已把多 sensor、drift、checkpoint freshness、observe-only authority、告警与 rollback 分层。 Fresh owner+adjacent reread found that《DriftGuard: Safety-Aware Multi-Monitor Detection and Selective Adaptation for Evolving Toxicity Moderation》的 `https://arxiv.org/html/2606.28725v1 — §III Methodology; III-A Framework Overview; IV-B Model and Training Details` remains an instance or bounded probe of this existing proposition.; bounded delta=该 family 的 source-specific contribution is `exact-v1 的机制路径为 III Methodology; III-A Framework Overview; IV-B Model and Training Details。在 `PLATFORM-MONITORING` 中，该路径改变或检验的具体对象由题名《DriftGuard: Safety-Aware Multi-Monitor Detection and Selective Adaptation for Evolving Toxicity Moderation》和上述 method locator 共同限定。`; `VI Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。` prevents it from adding a new owner/control/release contract.	PASS
SF-2026-ARXIV-2606-28733	No Change — Existing Coverage	books/part-07-agent/79-planning.md	books/part-07-agent/78-tool-calling.md	re-read `books/part-07-agent/79-planning.md` at `## 完成证据与 Verification` and adjacent `books/part-07-agent/78-tool-calling.md`; existing=Ch79 已把 proposal、pre-commit verifier、environment feedback、abstention 与 executable commit 分权。 Fresh owner+adjacent reread found that《Agentic Abstention: Do Agents Know When to Stop Instead of Act?》的 `https://arxiv.org/html/2606.28733v1 — §5 Our Proposed Method for Improving Agentic Abstention: convolve; G.1 Task setting and training configuration; I.2.1 System Prompt for WebShop` remains an instance or bounded probe of this existing proposition.; bounded delta=该 family 的 source-specific contribution is `exact-v1 的机制路径为 5 Our Proposed Method for Improving Agentic Abstention: convolve; G.1 Task setting and training configuration; I.2.1 System Prompt for WebShop。在 `AGENT-PLANNING` 中，该路径改变或检验的具体对象由题名《Agentic Abstention: Do Agents Know When to Stop Instead of Act?》和上述 method locator 共同限定。`; `7 Conclusion; Appendix A Limitations; Failure to abstain from GPT-5.4-mini；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。` prevents it from adding a new owner/control/release contract.	PASS
