arxiv_id	source_family_key	submitted_v1_utc	submitted_v1_asia_shanghai	title	abstract	categories	screening_route	prior_weekly_trace	semantic_screen_status	semantic_decision_kind	stable_node_id	family_specific_reason
2505.01647	arxiv:2505.01647	2025-05-03T01:34:51Z	2025-05-03T09:34:51+08:00	Scalable Speed-ups for the SMS-EMOA from a Simple Aging Strategy	Different from single-objective evolutionary algorithms, where non-elitism is an established concept, multi-objective evolutionary algorithms almost always select the next population in a greedy fashion. In the only notable exception, Bian, Zhou, Li, and Qian (IJCAI 2023) proposed a stochastic selection mechanism for the SMS-EMOA and proved that it can speed up computing the Pareto front of the bi-objective jump benchmark with problem size $n$ and gap parameter $k$ by a factor of $\max\{1,2^{k/4}/n\}$. While this constitutes the first proven speed-up from non-elitist selection, suggesting a very interesting research direction, it has to be noted that a true speed-up only occurs for $k \ge 4\log_2(n)$, where the runtime is super-polynomial, and that the advantage reduces for larger numbers of objectives as shown in a later work. In this work, we propose a different non-elitist selection mechanism based on aging, which exempts individuals younger than a certain age from a possible removal. This remedies the two shortcomings of stochastic selection: We prove a speed-up by a factor of $\max\{1,Θ(k)^{k-1}\}$, regardless of the number of objectives. In particular, a positive speed-up can already be observed for constant $k$, the only setting for which polynomial runtimes can be witnessed. Overall, this result supports the use of non-elitist selection schemes, but suggests that aging-based mechanisms can be considerably more powerful than stochastic selection mechanisms.	cs.AI;cs.NE	core_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：Scalable Speed-ups for the SMS-EMOA from a Simple Aging Strategy 的公开摘要主要回答“Different from single-objective evolutionary algorithms, where non-elitism is an established concept, multi-objective evolutionary algorithms almost always select the next popul...”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.01650	arxiv:2505.01650	2025-05-03T01:56:52Z	2025-05-03T09:56:52+08:00	Toward Onboard AI-Enabled Solutions to Space Object Detection for Space Sustainability	The rapid expansion of advanced low-Earth orbit (LEO) satellites in large constellations is positioning space assets as key to the future, enabling global internet access and relay systems for deep space missions. A solution to the challenge is effective space object detection (SOD) for collision assessment and avoidance. In SOD, an LEO satellite must detect other satellites and objects with high precision and minimal delay. This paper investigates the feasibility and effectiveness of employing vision sensors for SOD tasks based on deep learning (DL) models. It introduces models based on the Squeeze-and-Excitation (SE) layer, Vision Transformer (ViT), and the Generalized Efficient Layer Aggregation Network (GELAN) and evaluates their performance under SOD scenarios. Experimental results show that the proposed models achieve mean average precision at intersection over union threshold 0.5 (mAP50) scores of up to 0.751 and mean average precision averaged over intersection over union thresholds from 0.5 to 0.95 (mAP50:95) scores of up to 0.280. Compared to the baseline GELAN-t model, the proposed GELAN-ViT-SE model increases the average mAP50 from 0.721 to 0.751, improves the mAP50:95 from 0.266 to 0.274, reduces giga floating point operations (GFLOPs) from 7.3 to 5.6, and lowers peak power consumption from 2080.7 mW to 2028.7 mW by 2.5\%.	cs.CV;eess.IV	keyword_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：Toward Onboard AI-Enabled Solutions to Space Object Detection for Space Sustainability 的公开摘要主要回答“The rapid expansion of advanced low-Earth orbit (LEO) satellites in large constellations is positioning space assets as key to the future, enabling global internet access and re...”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.01651	arxiv:2505.01651	2025-05-03T01:57:08Z	2025-05-03T09:57:08+08:00	Human-AI Governance (HAIG): A Trust-Utility Approach	This paper introduces the Human-AI Governance (HAIG) framework, contributing to the AI Governance (AIG) field by foregrounding the relational dynamics between human and AI actors rather than treating AI systems as objects of governance alone. Current categorical frameworks (e.g., human-in-the-loop models) inadequately capture how AI systems evolve from tools to partners, particularly as foundation models demonstrate emergent capabilities and multi-agent systems exhibit autonomous goal-setting behaviours. As systems are deployed across contexts, agency redistributes in complex patterns that are better represented as positions along continua rather than discrete categories. The HAIG framework operates across three levels: dimensions (Decision Authority, Process Autonomy, and Accountability Configuration), continua (continuous positional spectra along each dimension), and thresholds (critical points along the continua where governance requirements shift qualitatively). The framework's dimensional architecture is level-agnostic, applicable from individual deployment decisions and organisational governance through to sectorial comparison and national and international regulatory design. Unlike risk-based or principle-based approaches that treat governance primarily as a constraint on AI deployment, HAIG adopts a trust-utility orientation - reframing governance as the condition under which human-AI collaboration can realise its potential, calibrating oversight to specific relational contexts rather than predetermined categories. Case studies in healthcare and European regulation demonstrate how HAIG complements existing frameworks while offering a foundation for adaptive regulatory design that anticipates governance challenges before they emerge.	cs.AI;cs.CY;cs.HC;cs.MA;cs.SI	core_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：Human-AI Governance (HAIG): A Trust-Utility Approach 的公开摘要主要回答“This paper introduces the Human-AI Governance (HAIG) framework, contributing to the AI Governance (AIG) field by foregrounding the relational dynamics between human and AI actor...”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.01652	arxiv:2505.01652	2025-05-03T02:05:51Z	2025-05-03T10:05:51+08:00	Causally Fair Node Classification on Non-IID Graph Data	Fair machine learning seeks to identify and mitigate biases in predictions against unfavorable populations characterized by demographic attributes, such as race and gender. Recent research has extended fairness to graph data, such as social networks, but many studies neglect the causal relationships among data instances. This paper addresses a prevalent challenge in many fair machine learning research, which typically assumes independent and identically distributed (IID) data, from the causal perspective. Specifically, this work targets the circumstance where nodes with different neighborhood structures follow different causal mechanisms, violating the invariance assumptions required for classical structural causal models and do-calculus. We base our research on the Network Structural Causal Model (NSCM) framework and develop a Message Passing Variational Autoencoder for Causal Inference (MPVA) to compute interventional distributions for causally fair node classification. We establish theoretical soundness under two conditions: Decomposability and Graph Independence. These conditions formalize when causal mechanism heterogeneity can be overcome by constructing a structural representation that restores invariance and facilitates the computation of interventional distributions using do-calculus in non-IID settings. Empirical evaluations on semi-synthetic and real-world datasets demonstrate that MPVA outperforms conventional methods by effectively approximating interventional distributions and mitigating bias. Our findings demonstrate the potential of causality-based fairness in complex ML applications and motivate future work on relaxing the classic assumptions in algorithmic fairness.	cs.AI;cs.LG	core_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：Causally Fair Node Classification on Non-IID Graph Data 的公开摘要主要回答“Fair machine learning seeks to identify and mitigate biases in predictions against unfavorable populations characterized by demographic attributes, such as race and gender.”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.01654	arxiv:2505.01654	2025-05-03T02:17:45Z	2025-05-03T10:17:45+08:00	T-REX: Vision-Based System for Autonomous Leaf Detection and Grasp Estimation	T-Rex (The Robot for Extracting Leaf Samples) is a gantry-based robotic system developed for autonomous leaf localization, selection, and grasping in greenhouse environments. The system integrates a 6-degree-of-freedom manipulator with a stereo vision pipeline to identify and interact with target leaves. YOLOv8 is used for real-time leaf segmentation, and RAFT-Stereo provides dense depth maps, allowing the reconstruction of 3D leaf masks. These observations are processed through a leaf grasping algorithm that selects the optimal leaf based on clutter, visibility, and distance, and determines a grasp point by analyzing local surface flatness, top-down approachability, and margin from edges. The selected grasp point guides a trajectory executed by ROS-based motion controllers, driving a custom microneedle-equipped end-effector to clamp the leaf and simulate tissue sampling. Experiments conducted with artificial plants under varied poses demonstrate that the T-Rex system can consistently detect, plan, and perform physical interactions with plant-like targets, achieving a grasp success rate of 66.6\%. This paper presents the system architecture, implementation, and testing of T-Rex as a step toward plant sampling automation in Controlled Environment Agriculture (CEA).	cs.LG;cs.RO	core_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：T-REX: Vision-Based System for Autonomous Leaf Detection and Grasp Estimation 的公开摘要主要回答“T-Rex (The Robot for Extracting Leaf Samples) is a gantry-based robotic system developed for autonomous leaf localization, selection, and grasping in greenhouse environments.”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.01656	arxiv:2505.01656	2025-05-03T02:19:55Z	2025-05-03T10:19:55+08:00	WaveInst: A Frequency-Domain Enhanced Network for Fine-Grained Thin Tree Trunk Extraction in Forest Scenes	Analyzing tree morphology, particularly trunk and branch extraction, is valuable for genetic breeding and forestry management. Existing image-based deep learning methods tend to misidentify overlapping trunks as a single trunk when structural discontinuities occur due to front-back overlap, while low contrast between trunk textures and the background further complicates segmentation. Moreover, limited juvenile tree data, coupled with substantial variations in trunk diameter across growth stages, restricts model performance in extracting thin trunks and branches. Based on this, we propose an instance segmentation network leveraging frequency-domain features, WaveInst. Its core is a Frequency-domain Feature Compensation branch, consisting of Discrete Wavelet Transform block and High-Frequency Enhancement block. The former performs high- and low-frequency decomposition and aggregates high-frequency responses along multiple directions, while the latter further refines the high-frequency features through multi-path processing. An Adaptive Gated Fusion Module is then applied to effectively integrate spatial-domain convolutional features with frequency-domain representations, allowing the decoder to utilize embedded frequency-domain features to enhance its fine-grained detail representation. We conduct experiments on public datasets including SynthTree43k, CaneTree100, and UrbanStreet, as well as PoplarDataset, which contains both mature and juvenile poplar trees. On the public datasets, WaveInst demonstrates strong performance and stable robustness across diverse scenarios. On PoplarDataset, it achieves a mean average precision of 53.1 for mature and 29.1 for juvenile, outperforming existing state-of-the-art methods on juvenile by 6.6 points, demonstrating its effectiveness in extracting thin tree trunk.	cs.CV	keyword_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：WaveInst: A Frequency-Domain Enhanced Network for Fine-Grained Thin Tree Trunk Extraction in Forest Scenes 的公开摘要主要回答“Analyzing tree morphology, particularly trunk and branch extraction, is valuable for genetic breeding and forestry management.”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.01657	arxiv:2505.01657	2025-05-03T02:20:30Z	2025-05-03T10:20:30+08:00	RAGAR: Retrieval Augmented Personalized Image Generation Guided by Recommendation	Personalized image generation is crucial for improving the user experience, as it renders reference images into preferred ones according to user visual preferences. Although effective, existing methods face two main issues. First, existing methods treat all items in the user historical sequence equally when extracting user preferences, overlooking the varying semantic similarities between historical items and the reference item. Disproportionately high weights for low-similarity items distort users' visual preferences for the reference item. Second, existing methods heavily rely on consistency between generated and reference images to optimize the generation, which leads to underfitting user preferences and hinders personalization. To address these issues, we propose Retrieval Augment Personalized Image GenerAtion guided by Recommendation (RAGAR). Our approach uses a retrieval mechanism to assign different weights to historical items according to their similarities to the reference item, thereby extracting more refined users' visual preferences for the reference item. Then we introduce a novel rank task based on the multi-modal ranking model to optimize the personalization of the generated images instead of forcing depend on consistency. Extensive experiments and human evaluations on three real-world datasets demonstrate that RAGAR achieves significant improvements in both personalization and semantic metrics compared to five baselines.	cs.CV;cs.IR	core_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：RAGAR: Retrieval Augmented Personalized Image Generation Guided by Recommendation 的公开摘要主要回答“Personalized image generation is crucial for improving the user experience, as it renders reference images into preferred ones according to user visual preferences.”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.03822	arxiv:2505.03822	2025-05-03T02:25:05Z	2025-05-03T10:25:05+08:00	DRSLF: Double Regularized Second-Order Low-Rank Representation for Web Service QoS Prediction	Quality-of-Service (QoS) data plays a crucial role in cloud service selection. Since users cannot access all services, QoS can be represented by a high-dimensional and incomplete (HDI) matrix. Latent factor analysis (LFA) models have been proven effective as low-rank representation techniques for addressing this issue. However, most LFA models rely on first-order optimizers and use L2-norm regularization, which can lead to lower QoS prediction accuracy. To address this issue, this paper proposes a double regularized second-order latent factor (DRSLF) model with two key ideas: a) integrating L1-norm and L2-norm regularization terms to enhance the low-rank representation performance; b) incorporating second-order information by calculating the Hessian-vector product in each conjugate gradient step. Experimental results on two real-world response-time QoS datasets demonstrate that DRSLF has a higher low-rank representation capability than two baselines.	cs.AI;cs.LG	core_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：DRSLF: Double Regularized Second-Order Low-Rank Representation for Web Service QoS Prediction 的公开摘要主要回答“Quality-of-Service (QoS) data plays a crucial role in cloud service selection.”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.01658	arxiv:2505.01658	2025-05-03T02:47:43Z	2025-05-03T10:47:43+08:00	A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency	Large language models (LLMs) are widely applied in chatbots, code generators, and search engines. Workload such as chain-of-throught, complex reasoning, agent services significantly increase the inference cost by invoke the model repeatedly. Optimization methods such as parallelism, compression, and caching have been adopted to reduce costs, but the diverse service requirements make it hard to select the right method. Recently, specialized LLM inference engines have emerged as a key component for integrating the optimization methods into service-oriented infrastructures. However, a systematic study on inference engines is still lacking.This paper provides a comprehensive evaluation of 25 open-source and commercial inference engines. We examine each inference engine in terms of ease-of-use, ease-of-deployment, general-purpose support, scalability, and suitability for throughput- and latency-aware computation. Furthermore, we explore the design goals of each inference engine by investigating the optimization techniques it supports. In addition, we assess the ecosystem maturity of open source inference engines and handle the performance and cost policy of commercial solutions.We outline future research directions that include support for complex LLM-based services, support of various hardware, and enhanced security, offering practical guidance to researchers and developers in selecting and designing optimized LLM inference engines. We also provide a public repository to continually track developments in this fast-evolving field: \href{https://github.com/sihyeong/Awesome-LLM-Inference-Engine}{https://github.com/sihyeong/Awesome-LLM-Inference-Engine}.	cs.CL	core_daily_full_semantic_screen	True	complete	pre_denominator_closed	—	Pre-denominator closure：A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency 的公开摘要主要回答“Large language models (LLMs) are widely applied in chatbots, code generators, and search engines.”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
2505.02861	arxiv:2505.02861	2025-05-03T02:58:25Z	2025-05-03T10:58:25+08:00	Neural Orchestration for Multi-Agent Systems: A Deep Learning Framework for Optimal Agent Selection in Multi-Domain Task Environments	Multi-agent systems (MAS) are foundational in simulating complex real-world scenarios involving autonomous, interacting entities. However, traditional MAS architectures often suffer from rigid coordination mechanisms and difficulty adapting to dynamic tasks. We propose MetaOrch, a neural orchestration framework for optimal agent selection in multi-domain task environments. Our system implements a supervised learning approach that models task context, agent histories, and expected response quality to select the most appropriate agent for each task. A novel fuzzy evaluation module scores agent responses along completeness, relevance, and confidence dimensions, generating soft supervision labels for training the orchestrator. Unlike previous methods that hard-code agent-task mappings, MetaOrch dynamically predicts the most suitable agent while estimating selection confidence. Experiments in simulated environments with heterogeneous agents demonstrate that our approach achieves 86.3% selection accuracy, significantly outperforming baseline strategies including random selection and round-robin scheduling. The modular architecture emphasizes extensibility, allowing agents to be registered, updated, and queried independently. Results suggest that neural orchestration offers a powerful approach to enhancing the autonomy, interpretability, and adaptability of multi-agent systems across diverse task domains.	cs.AI;cs.MA;cs.NE	core_daily_full_semantic_screen	False	complete	pre_denominator_closed	—	Pre-denominator closure：Neural Orchestration for Multi-Agent Systems: A Deep Learning Framework for Optimal Agent Selection in Multi-Domain Task Environments 的公开摘要主要回答“Multi-agent systems (MAS) are foundational in simulating complex real-world scenarios involving autonomous, interacting entities.”；它没有改变 AI-System 的长期 state/data/control ownership、training/inference/platform contract，也未修正 Books 已有设计结论，故完成 identity/date/topic closure 后不进入评分分母。
