source_family_id	books_disposition	expected_owner_file	adjacent_handoff_file	expected_file_occurrences	audit_result
SF-2026-ARXIV-2606-25274	Integrate	books/part-07-agent/79-planning.md	books/part-07-agent/80-reflection.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25285	Integrate	books/part-05-inference-system/54-gpu-memory.md	books/part-05-inference-system/55-pd-disaggregation.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25296	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25342	Integrate	books/part-02-model/22-long-context.md	books/part-02-model/19-kv-cache.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25349	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25353	Integrate	books/part-05-inference-system/43-prefill.md	books/part-05-inference-system/42-what-happens-during-inference.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25366	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25371	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25388	Integrate	books/part-04-training-system/27-data.md	books/part-04-training-system/28-pretraining.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25410	No Change — Existing Coverage	books/part-04-training-system/27-data.md	books/part-04-training-system/28-pretraining.md	0	passed_no_change_absent_existing_owner_handoff_revalidated
SF-2026-ARXIV-2606-25426	Integrate	books/part-05-inference-system/43-prefill.md	books/part-05-inference-system/42-what-happens-during-inference.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25447	Integrate	books/part-07-agent/81-workflow.md	books/part-07-agent/78-tool-calling.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25449	Integrate	books/part-07-agent/77-memory.md	books/part-07-agent/76-rag.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25453	Integrate	books/part-05-inference-system/49-tensorrt-llm.md	books/part-05-inference-system/48-speculative-decoding.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25467	Integrate	books/part-05-inference-system/56-inference-scheduling.md	books/part-05-inference-system/46-continuous-batching.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25487	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25514	Integrate	books/part-07-agent/82-multi-agent.md	books/part-07-agent/81-workflow.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25519	Integrate	books/part-05-inference-system/54-gpu-memory.md	books/part-05-inference-system/55-pd-disaggregation.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25532	Integrate	books/part-06-ai-infrastructure/57-what-is-ai-platform.md	books/part-06-ai-infrastructure/58-kubeflow.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25548	No Change — Existing Coverage	books/part-04-training-system/27-data.md	books/part-04-training-system/28-pretraining.md	0	passed_no_change_absent_existing_owner_handoff_revalidated
SF-2026-ARXIV-2606-25575	Integrate	books/part-03-multimodal-world-models/26-multimodal-embodied-vla.md	books/part-03-multimodal-world-models/25-multimodal-world-models.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25592	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25605	Integrate	books/part-07-agent/78-tool-calling.md	books/part-07-agent/81-workflow.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25608	No Change — Existing Coverage	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	0	passed_no_change_absent_existing_owner_handoff_revalidated
SF-2026-ARXIV-2606-25622	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25656	Integrate	books/part-07-agent/76-rag.md	books/part-07-agent/77-memory.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25658	Integrate	books/part-07-agent/77-memory.md	books/part-07-agent/76-rag.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25674	Integrate	books/part-07-agent/76-rag.md	books/part-07-agent/77-memory.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25700	No Change — Existing Coverage	books/part-04-training-system/30-lora.md	books/part-04-training-system/29-sft.md	0	passed_no_change_absent_existing_owner_handoff_revalidated
SF-2026-ARXIV-2606-25705	Integrate	books/part-07-agent/78-tool-calling.md	books/part-07-agent/81-workflow.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25721	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25759	Integrate	books/part-04-training-system/36-distributed-training.md	books/part-04-training-system/37-tensor-parallel.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25760	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25782	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25797	No Change — Existing Coverage	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	0	passed_no_change_absent_existing_owner_handoff_revalidated
SF-2026-ARXIV-2606-25819	Integrate	books/part-07-agent/78-tool-calling.md	books/part-07-agent/81-workflow.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25838	Integrate	books/part-05-inference-system/42-what-happens-during-inference.md	books/part-05-inference-system/43-prefill.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25863	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25871	Integrate	books/part-04-training-system/27-data.md	books/part-04-training-system/28-pretraining.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25987	Integrate	books/part-07-agent/78-tool-calling.md	books/part-07-agent/81-workflow.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-25996	Integrate	books/part-04-training-system/27-data.md	books/part-04-training-system/28-pretraining.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26021	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26027	Integrate	books/part-04-training-system/33-grpo.md	books/part-04-training-system/32-ppo.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26028	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26057	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26071	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26185	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26211	Integrate	books/part-07-agent/83-mcp.md	books/part-07-agent/84-agent-platform.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26257	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26298	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26300	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26341	Integrate	books/part-06-ai-infrastructure/63-gpu-scheduler.md	books/part-06-ai-infrastructure/64-volcano.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26344	Integrate	books/part-05-inference-system/49-tensorrt-llm.md	books/part-05-inference-system/48-speculative-decoding.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26356	Integrate	books/part-07-agent/74-prompt.md	books/part-07-agent/75-context.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26377	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26383	Integrate	books/part-06-ai-infrastructure/67-monitoring.md	books/part-06-ai-infrastructure/68-logging.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26429	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26439	Integrate	books/part-07-agent/76-rag.md	books/part-07-agent/77-memory.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26441	Integrate	books/part-07-agent/76-rag.md	books/part-07-agent/77-memory.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26442	Integrate	books/part-07-agent/81-workflow.md	books/part-07-agent/78-tool-calling.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26449	Integrate	books/part-06-ai-infrastructure/69-trace.md	books/part-06-ai-infrastructure/68-logging.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26453	Integrate	books/part-05-inference-system/49-tensorrt-llm.md	books/part-05-inference-system/48-speculative-decoding.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26456	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26463	Integrate	books/part-07-agent/79-planning.md	books/part-07-agent/80-reflection.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26472	Integrate	books/part-05-inference-system/45-why-kv-cache-speeds-up.md	books/part-05-inference-system/44-decode.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26479	Integrate	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/71-multi-tenant.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26488	Integrate	books/part-05-inference-system/54-gpu-memory.md	books/part-05-inference-system/55-pd-disaggregation.md	2	passed_integrated_unique_owner_body_and_review_note
SF-2026-ARXIV-2606-26492	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/59-model-registry.md	2	passed_integrated_unique_owner_body_and_review_note
