source_family_id	primary_evidence_version	exact_v1_access	method_locator	evaluation_locator	limitation_locator	benchmark_contract	selection_decision	books_disposition	audit_status
SF-2026-ARXIV-2606-27632	arXiv:2606.27632v1	accessible	https://arxiv.org/html/2606.27632v1 — §2 Content-Safety-Oriented Data System; 3 Yuvion LLM: Progressive Safety Training Paradigm; 3.2 Target Capability Design	https://arxiv.org/html/2606.27632v1 — §4 Evaluation Framework; 4.2 Level 1: Open-source General Benchmarks; 4.3 Level 2: Open-source Content Safety Benchmarks	https://arxiv.org/html/2606.27632v1 — §Discussion.; 9 Conclusion; 10 Limitations and Future Work	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27634	arXiv:2606.27634v1	accessible	https://arxiv.org/html/2606.27634v1 — §4.0.4 Training Procedure	https://arxiv.org/html/2606.27634v1 — §Continual Learning for Sequential Personalization of Small Language Models: A Stability Monitoring Analysis; 2.0.1 Continual Learning and Evaluation of Language Models.; 3.2 Model Checkpoints and Evaluation	https://arxiv.org/html/2606.27634v1 — §6 Conclusion; 6.0.1 Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27650	arXiv:2606.27650v1	accessible	https://arxiv.org/html/2606.27650v1 — §Context Design and Coverage; 6 Platform Architecture; 6.1 System Overview	https://arxiv.org/html/2606.27650v1 — §7 Evaluation Cases and Scalability; 7.1 Evaluation Cases; 7.1.5 Scalability Analysis	https://arxiv.org/html/2606.27650v1 — §8 Discussion; Limitations and Future Work; 9 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27669	arXiv:2606.27669v1	accessible	https://arxiv.org/html/2606.27669v1 — §4 Methodology of Dataset Construction; Benchmark Design and Methodology.; Evaluation Framework and User Simulator.	https://arxiv.org/html/2606.27669v1 — §2.1 Web Search Benchmark; 2.2 Ambiguity Benchmark; 2.3 Interactive Clarification Benchmark	https://arxiv.org/html/2606.27669v1 — §Search-heavy guessing reveals a major failure mode.; 6 Conclusion; Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27679	arXiv:2606.27679v1	accessible	https://arxiv.org/html/2606.27679v1 — §Probe Training.; Probe Architecture and Training Size.	https://arxiv.org/html/2606.27679v1 — §Toolkits, Benchmarks, and Evaluation.; 3.1 Experimental Setup; Evaluation Metrics.	https://arxiv.org/html/2606.27679v1 — §4.2 Results and Discussion; 5 Conclusion; Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27681	arXiv:2606.27681v1	accessible	https://arxiv.org/html/2606.27681v1 — §Proposition 2 (Non-identifiability under leaky architectures) .; Proposition 3 (Training–inference consistency) .; 4.2 Model Architecture	https://arxiv.org/html/2606.27681v1 — §2 Problem Setup: Text Based POMDPs; 5 Experimental Evaluation; 5.3 Evaluation Metrics	https://arxiv.org/html/2606.27681v1 — §7 Conclusion	source-specific_or_strict_Not_Disclosed	selected	Integrate	passed
SF-2026-ARXIV-2606-27683	arXiv:2606.27683v1	accessible	https://arxiv.org/html/2606.27683v1 — §III Preliminaries and Framework; III-A White-Box and Gray-Box Unlearning Methods; III-B API-Only Scenario and Proposed Framework	https://arxiv.org/html/2606.27683v1 — §VI Experiments; VI-A Experimental Setup; VI-B Performance Evaluation	https://arxiv.org/html/2606.27683v1 — §VII Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27704	arXiv:2606.27704v1	accessible	https://arxiv.org/html/2606.27704v1 — §IV AdvScan Algorithm; V-A 3 Adversarial Examples (AE) Generation Methodologies; V-C Evaluation of the AdvScan Algorithm	https://arxiv.org/html/2606.27704v1 — §AdvScan: Black-Box Adversarial Example Detection at Runtime through Power Analysis; II-D Power Analysis; II-E Side Channel Analysis for Adversarial Behavior Detection	https://arxiv.org/html/2606.27704v1 — §II-F Threat Model; IV-D Discussion of Merits and Limitations of AdvScan; VI Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27709	arXiv:2606.27709v1	accessible	https://arxiv.org/html/2606.27709v1 — §3 Methods; 3.2 Study design; 3.3 Training data and data construction	https://arxiv.org/html/2606.27709v1 — §Experiment 1.; Experiment 2.; Experiment 3.	https://arxiv.org/html/2606.27709v1 — §5 Discussion; Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27732	arXiv:2606.27732v1	accessible	https://arxiv.org/html/2606.27732v1 — §3 Method; 3.4 R2LM Architecture; 3.5 Training and Inference	https://arxiv.org/html/2606.27732v1 — §4 Experiments; 4.1 Experimental Setup; 4.2 Main Results: Multiple-Choice Benchmarks	https://arxiv.org/html/2606.27732v1 — §5 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
