arxiv_id	title	screening_status	screening_reason	owner_node	disposition
2606.00108	Project SPARROW and the Future of Conservation Technology	pre_denominator_closed	"Project SPARROW and the Future of Conservation Technology 的具体方法/主张是：We present SPARROW, a hardware and software open-source platform that integrates solar energy, edge artificial intelligence, and satellite communication to enable continuous, autonomous biodiversity monitoring in remote environments.；摘要报告/目标为：By integrating renewable energy, on-edge AI, and open-source design, SPARROW lowers the technical and financial barriers to ecological monitoring and establishes a scalable foundation for a distributed, intelligent network of sensors, an emerging ""Internet of Living Things"" for planetary biodiversity monitoring.。排除边界：它提供特定任务的模型或数据改进，未建立可迁移的 state identity、runtime control 或 release contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。"		Rejected — Below Candidate Denominator
2606.00109	VDSB-GWSyn: Diffusion Schrödinger Bridge for Controllable and Anatomically Feasible Guidewire Synthesis in Coronary Angiography	pre_denominator_closed	VDSB-GWSyn: Diffusion Schrödinger Bridge for Controllable and Anatomically Feasible Guidewire Synthesis in Coronary Angiography 的具体方法/主张是：To address this issue, we propose VDSB-GWSyn, a Diffusion Schrödinger Bridge (DSB) model-based framework, enabling synthesis of controllable, high-fidelity guidewire samples under complex anatomical backgrounds.；摘要报告/目标为：Experimental results show that the guidewire samples synthesized by VDSB-GWSyn achieve favorable ROI-FID and ROI-KID, as well as high IPR scores.。排除边界：该 family 的状态与验收属于医疗/科学领域任务，没有重分配通用训练、推理或平台的长期 owner；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00110	General Covariant Action Modeling: Constructing Generalized Manifolds via Spatio-Temporal Decoupling	pre_denominator_closed	General Covariant Action Modeling: Constructing Generalized Manifolds via Spatio-Temporal Decoupling 的具体方法/主张是：To resolve this, we propose the Generalized Action Manifold (GAM) framework that enforces general covariance through structural disentanglement.；摘要报告/目标为：Empirical results demonstrate that GAM enables superior transfer and robustness capabilities, outperforming geometry-agnostic baselines.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00111	ChWDTA: Channel-wise Wavelet-Domain Transformer Attention and Entropy Modeling for Learned Image Compression	pre_denominator_closed	ChWDTA: Channel-wise Wavelet-Domain Transformer Attention and Entropy Modeling for Learned Image Compression 的具体方法/主张是：To further improve rate-distortion performance, we introduce channel-wise wavelet transforms into both the transformer and entropy-coding components.；摘要报告/目标为：The results confirm the advantage of introducing wavelet transform in CNN-transformer-based LIC schemes.。排除边界：它是生成或表示质量的局部增量，未改变跨模态 state owner、生成因子化、serving commit 或物理闭环；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00112	Evolving to the Aesthetics of a Vision-Language Model	pre_denominator_closed	Evolving to the Aesthetics of a Vision-Language Model 的具体方法/主张是：Evolutionary systems have demonstrated remarkable results in creative domains, with recent applications in generative typography, design, and music.；摘要报告/目标为：Additionally, we document the artist's experience using these approaches to evolve designs, critically analysing the strengths and weaknesses of both methods.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00113	World Models for Robotic Manipulation: A Survey	pre_denominator_closed	World Models for Robotic Manipulation: A Survey 的具体方法/主张是：This breadth has fragmented the literature and obscured the design choices that matter for manipulation.；摘要报告/目标为：This survey shows that world models are evolving from task-specific dynamics predictors into predictive infrastructure for robot learning, while exposing open challenges in contact modeling, hallucination control, action alignment, and benchmarking under closed-loop use.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00114	Recursive Vision Transformer with Dynamic Depth and Width Adjustment for Resource-Efficient Image Semantic Communication	pre_denominator_closed	Recursive Vision Transformer with Dynamic Depth and Width Adjustment for Resource-Efficient Image Semantic Communication 的具体方法/主张是：To address these challenges, we propose a vision transformer (ViT)-enabled image semantic communication system.；摘要报告/目标为：Simulation results verify that the proposed recursive ViT-based system, combined with the three dynamic adjustment strategies, reduces the parameter count by 48.7% and achieves higher reconstruction quality than existing baselines under comparable computational complexity.。排除边界：它属于 Agent 局部能力或应用方案，尚未形成新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00115	Physics from Video: Identifiability of Time-Invariant Second-Order ODEs under Minimal Trajectory Conditions	pre_denominator_closed	Physics from Video: Identifiability of Time-Invariant Second-Order ODEs under Minimal Trajectory Conditions 的具体方法/主张是：We study the structural identifiability of continuous-time physical laws from raw pixels, focusing on whether an encoder-only pipeline can uniquely recover the parameters of second-order linear ODEs.；摘要报告/目标为：Code is available at https://github.com/wenjiewang3/PhysicsFromVideo.。排除边界：它属于 Agent 局部能力或应用方案，尚未形成新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00116	Enhancing BiGRU with a KAN Block for Legal Document Classification and Summarization	pre_denominator_closed	Enhancing BiGRU with a KAN Block for Legal Document Classification and Summarization 的具体方法/主张是：This study introduces a novel architecture of KAN-based BiGRU model for the task of classification and summarization of legal documents in a low-resource multilingual setup.；摘要报告/目标为：Moreover, our proposed technique is compared to several baselines, including classical ML algorithms and pretrained language models.。排除边界：它提供特定任务的模型或数据改进，未建立可迁移的 state identity、runtime control 或 release contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00117	Ontology-Guided Reasoning for Affordance-Based Explanations of Robot Navigation	pre_denominator_closed	Ontology-Guided Reasoning for Affordance-Based Explanations of Robot Navigation 的具体方法/主张是：We instantiate the approach in a lightweight benchmark centered on a robot librarian scenario and evaluate it on procedurally generated navigation cases.；摘要报告/目标为：The results show that ontology-guided reasoning identifies relevant explanation factors more accurately than a semantic-only baseline and remains robust as semantic clutter increases.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.00118	An Empirical Study on Logging Evolution On Stack Overflow: Trends, Topics, and Challenges	pre_denominator_closed	An Empirical Study on Logging Evolution On Stack Overflow: Trends, Topics, and Challenges 的具体方法/主张是：While existing research has explored logging challenges from an academic perspective through literature reviews and source code analysis, a comprehensive study from the practitioners' perspective remains lacking.；摘要报告/目标为：Conclusion: This study sheds light on the practical challenges of logging and provides actionable insights for developers, framework vendors, researchers, and educators.。排除边界：它提供特定任务的模型或数据改进，未建立可迁移的 state identity、runtime control 或 release contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
