source_family_id	exact_v1	method_locator	evaluation_locator	limitation_locator	benchmark_10_fields	score_total	selection	books_disposition	audit_status
SF-2026-ARXIV-2606-24074	arXiv:2606.24074v1	https://arxiv.org/html/2606.24074v1 — §3 Reliability Certification Setup; 4 Constructing a Certification SOTM	https://arxiv.org/html/2606.24074v1 — §5 A Matching Reliability Certification Lower Bound	https://arxiv.org/html/2606.24074v1 — §6 Conclusion and the stated small-error asymptotic regime	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24081	arXiv:2606.24081v1	https://arxiv.org/html/2606.24081v1 — §3 PixJail Framework; 3.2 Attack Module; 3.3 Evaluation Pipeline; 3.4 Memory Updates	https://arxiv.org/html/2606.24081v1 — §4 Experiments; 4.1 Data, Models and Metrics; 4.3 Main Results	https://arxiv.org/html/2606.24081v1 — §6 Limitations	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24119	arXiv:2606.24119v1	https://arxiv.org/html/2606.24119v1 — §3 Methodology; 3.2 Experimental Setup	https://arxiv.org/html/2606.24119v1 — §4 Experiments and Results; 4.1 Calibrated Triage	https://arxiv.org/html/2606.24119v1 — §D Mechanism and Boundary Audit; Definitions and non-portability	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24124	arXiv:2606.24124v1	https://arxiv.org/html/2606.24124v1 — §3 DSL for Reasoning Trace Formalization; 4 Structured Verification	https://arxiv.org/html/2606.24124v1 — §5 Evaluation; E Standalone Verification on ProcessBench	https://arxiv.org/html/2606.24124v1 — §F Limitations and Future Work	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24133	arXiv:2606.24133v1	https://arxiv.org/html/2606.24133v1 — §2 Methodology: The Holistic Data Scheduler; 2.2 Online Data Mixing	https://arxiv.org/html/2606.24133v1 — §3 Experiments and Analysis; 3.1 Experimental Setup	https://arxiv.org/html/2606.24133v1 — §B Sensitivity Analysis of Reward Weights; C Hyperparameter Sensitivity	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24143	arXiv:2606.24143v1	https://arxiv.org/html/2606.24143v1 — §4 Forward- and Reverse-KL OPD Under Staleness; 7 AsyncOPD	https://arxiv.org/html/2606.24143v1 — §7 AsyncOPD Experimental Results; G Scheduler Details	https://arxiv.org/html/2606.24143v1 — §8 Limitations and Future Work	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24151	arXiv:2606.24151v1	https://arxiv.org/html/2606.24151v1 — §3 The Metis System; 3.2 Text Reflection; 3.3 Code Generation; 3.4 Memory Manager	https://arxiv.org/html/2606.24151v1 — §4 Experiments; A.1 Profiling Experiments	https://arxiv.org/html/2606.24151v1 — §A.1 Per-Axis Analysis and reported construction/transfer trade-offs	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24177	arXiv:2606.24177v1	https://arxiv.org/html/2606.24177v1 — §2 Design Principles; 3 System Architecture	https://arxiv.org/html/2606.24177v1 — §4 Where Human Judgment Is Irreducible; A/B Case Studies	https://arxiv.org/html/2606.24177v1 — §4.7 What the Architecture Can and Cannot Absorb; 4.8 Boundary Is a Snapshot	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24204	arXiv:2606.24204v1	https://arxiv.org/html/2606.24204v1 — §III Unified Dominance Abstraction; IV/V Unified Dominance Graph	https://arxiv.org/html/2606.24204v1 — §VI Experiment; Search Performance and Index Construction	https://arxiv.org/html/2606.24204v1 — §V-B Validity-Preserving Patch Edges; VI-D Impact of Patch Edges	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24245	arXiv:2606.24245v1	https://arxiv.org/html/2606.24245v1 — §3 Overview; 4 Approach; ILP-Guided Predicate Learning	https://arxiv.org/html/2606.24245v1 — §5 Experimental Setup; 6 Evaluation	https://arxiv.org/html/2606.24245v1 — §7 Discussion and Threats to Validity	complete	9	not_selected	Integrate	passed
