arxiv_id	title	categories	screening_status	screening_reason	owner_node
2606.00093	Agreement Metrics for LLM-as-Judge Evaluation: What to Report and Why	cs.CL,cs.HC,physics.data-an	retained_pending_exact_v1_review	`Agreement Metrics for LLM-as-Judge Evaluation: What to Report and Why`: Whether a rubric-based LLM judge can replace human annotation is decided by its measured agreement with human labels. This changes or tests a durable AI-System mechanism or system/evidence ownership boundary; retain for exact-v1 review.	PLATFORM-EVALUATION-SYSTEM
2606.00094	Diffusion Image Generation with Explicit Modeling of Data Manifold Geometry	cs.AI,cs.CV	pre_denominator_closure	`Diffusion Image Generation with Explicit Modeling of Data Manifold Geometry` (cs.AI,cs.CV) reports: To achieve this, we propose the Data Manifold-aware Image diffusioN moDel (MIND), a novel framework that explicitly models manifold geometry by integrating discrete patch tokenization into the score function of a continuous diffusion model.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2606.00095	Bridging the 2D-3D Gap: A Hierarchical Semantic-Geometric Map for Vision Language Navigation	cs.AI,cs.CL,cs.CV,cs.RO	pre_denominator_closure	`Bridging the 2D-3D Gap: A Hierarchical Semantic-Geometric Map for Vision Language Navigation` (cs.AI,cs.CL,cs.CV,cs.RO) reports: To bridge this gap, we propose a Hierarchical Semantic-Geometric Map (HSGM) that transforms 3D geometric information into a structured representation compatible with VLMs, effectively linking them to the physical world.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2606.00096	Diversity Over Frequency: Rethinking Tool Use in Visual Chain-of-Thought Agents	cs.AI,cs.CV	pre_denominator_closure	`Diversity Over Frequency: Rethinking Tool Use in Visual Chain-of-Thought Agents` (cs.AI,cs.CV) reports: Visual agents employ external visual tools within visual chains of thought to incorporate fine-grained evidence.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
2606.00097	RocketSmith: Agentic Additive Manufacturing of High-Powered Rockets	cs.MA,cs.RO	pre_denominator_closure	`RocketSmith: Agentic Additive Manufacturing of High-Powered Rockets` (cs.MA,cs.RO) reports: The system utilizes a large language model to orchestrate the execution of software tools to validate design characteristics such as flight stability and generate the parametric design components for the rocket assembly.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2606.00098	Segmentation-Guided Spatial Indexing for Generalizable and Explainable Deepfake Detection	cs.CV,eess.IV	pre_denominator_closure	`Segmentation-Guided Spatial Indexing for Generalizable and Explainable Deepfake Detection` (cs.CV,eess.IV) reports: We introduce segmentation-guided spatial indexing for generalizable and explainable deepfake detection.; however, the local objective or model-quality improvement does not change optimizer/checkpoint ownership, distributed runtime, precision contract, or a stable training design judgment.	
2606.06509	Which Anatomy Matters Under Limited Labels? A Data-Efficient Anatomy-Aware Benchmark for Cardiac Pathology Prediction	cs.AI,cs.LG,eess.IV,q-bio.TO	pre_denominator_closure	`Which Anatomy Matters Under Limited Labels? A Data-Efficient Anatomy-Aware Benchmark for Cardiac Pathology Prediction` (cs.AI,cs.LG,eess.IV,q-bio.TO) reports: We study this question through a low-data anatomy-aware benchmark for 5-class cardiac pathology prediction on the public ACDC MRI dataset.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
2606.07555	Persistent Priors, Preserved Targets: A Stroop-Style Paradigm for Lexical Override	cs.CL,cs.LG	pre_denominator_closure	`Persistent Priors, Preserved Targets: A Stroop-Style Paradigm for Lexical Override` (cs.CL,cs.LG) reports: When no redefinition is present, a stronger preference for the familiar distractor predicts more interference in arbitrary-semantic, polysemy/entity, and domain-definition remappings, while the antonym slope is null.; however, the result is domain- or model-local and does not change a durable AI-System mechanism, state/data/control owner, evaluation contract, or design boundary.	
2606.07556	Selecting New Measurement Locations to Diversify Traffic-Pattern Coverage: A Real-World Evaluation for Total Traffic Volume Estimation	cs.AI,cs.NI,stat.ME	pre_denominator_closure	`Selecting New Measurement Locations to Diversify Traffic-Pattern Coverage: A Real-World Evaluation for Total Traffic Volume Estimation` (cs.AI,cs.NI,stat.ME) reports: In this paper, we use the information from these widely available devices to help decide where to place additional traffic counters, and we study how selecting new measurement locations can improve city-wide traffic estimation performance.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2606.07557	SPIN: Decentralized Swarm Control via Tensorized Policy Coordination	cs.LG,cs.MA,cs.SI	pre_denominator_closure	`SPIN: Decentralized Swarm Control via Tensorized Policy Coordination` (cs.LG,cs.MA,cs.SI) reports: To connect raw spatial geometry with this discrete algebraic backend without relying on online training loops, we introduce a decoupled framework combining a lightweight frozen neural mapper evaluated offline with a deterministic zero-shot importance-reweighting filter based on the Radon-Nikodým derivative.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2606.07558	Page image classifier fine-tuned on century-spanning archives of scanned documents for further content-specific processing	cs.AI,cs.CV,cs.DL	pre_denominator_closure	`Page image classifier fine-tuned on century-spanning archives of scanned documents for further content-specific processing` (cs.AI,cs.CV,cs.DL) reports: Purpose: Digitization projects in the humanities produce vast, heterogeneous archives of historical documents, making manual sorting impractical at scale.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2606.07559	Phantom Transitions in Language Model Fine-Tuning: A Density-Matrix Analysis	cs.AI,cs.CL,quant-ph	pre_denominator_closure	`Phantom Transitions in Language Model Fine-Tuning: A Density-Matrix Analysis` (cs.AI,cs.CL,quant-ph) reports: We study this across five transformer architectures from two families spanning a sixfold parameter range, on ten contexts whose correct and competing completions share substantial embedding overlap.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2606.07560	Function-Vector Heads Are Two Populations: Writers and Cancellers in In-Context Learning	cs.CL,cs.LG	pre_denominator_closure	`Function-Vector Heads Are Two Populations: Writers and Cancellers in In-Context Learning` (cs.CL,cs.LG) reports: Measurements not used to assign the roles show corresponding structure.; however, the result is domain- or model-local and does not change a durable AI-System mechanism, state/data/control owner, evaluation contract, or design boundary.	
2606.07561	Boundary Variance Inflation Causes Acquisition Bias in Gaussian Processes	cs.LG,stat.ME,stat.ML	pre_denominator_closure	`Boundary Variance Inflation Causes Acquisition Bias in Gaussian Processes` (cs.LG,stat.ME,stat.ML) reports: We show how this distortion manifests across three acquisition classes: variance maximization concentrates selections at the corners, whereas negative integrated posterior variance and expected predictive information gain move selections inward to axis-aligned interior shells.; however, the local objective or model-quality improvement does not change optimizer/checkpoint ownership, distributed runtime, precision contract, or a stable training design judgment.	
2606.07562	The Montparnasse Algorithm for RNA Design	cs.AI,q-bio.BM	pre_denominator_closure	`The Montparnasse Algorithm for RNA Design` (cs.AI,q-bio.BM) reports: RNA design consists of discovering a nucleotide sequence that optimizes predefined criteria, such as secondary structure.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
2606.07563	Emergence via Phase Transitions: Mechanism Landscapes and Universal Convergence Across Complex Systems	cs.AI,cs.LG	pre_denominator_closure	`Emergence via Phase Transitions: Mechanism Landscapes and Universal Convergence Across Complex Systems` (cs.AI,cs.LG) reports: We propose the Hierarchical Emergence Framework (HEF) as a candidate universality framework for such convergence phenomena.; however, the local objective or model-quality improvement does not change optimizer/checkpoint ownership, distributed runtime, precision contract, or a stable training design judgment.	
2606.07564	Considerations for an Integrated Detector Design at FCC-ee: A Human-AI Exploration	cs.AI,hep-ex,physics.ins-det	pre_denominator_closure	`Considerations for an Integrated Detector Design at FCC-ee: A Human-AI Exploration` (cs.AI,hep-ex,physics.ins-det) reports: This report explores detector design considerations for the Future Circular Collider in its electron-positron mode (FCC-ee) through an extended dialogue between a physicist and an AI assistant.; however, the result is domain- or model-local and does not change a durable AI-System mechanism, state/data/control owner, evaluation contract, or design boundary.	
2606.07565	STARIXNet: Multivariate and Multi-attribute Deep Learning Approach to Real-Time Resource Allocation in Cloud Platforms	cs.LG	pre_denominator_closure	`STARIXNet: Multivariate and Multi-attribute Deep Learning Approach to Real-Time Resource Allocation in Cloud Platforms` (cs.LG) reports: To address these challenges, we present STARIXNet, a lightweight neural network that guides resource allocation decisions in the multivariate space by capturing spatio-temporal relationships among multiple system metrics.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2606.07567	SurfDesign: Effective Protein Design on Molecular Surfaces	cs.AI,cs.CE,q-bio.BM	pre_denominator_closure	`SurfDesign: Effective Protein Design on Molecular Surfaces` (cs.AI,cs.CE,q-bio.BM) reports: Protein function is largely determined by molecular surface geometry and physicochemical complementarity, yet most protein design methods condition only on backbone structure.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
2605.25326	Perceive-then-Plan: Layout-as-Policy for Monocular 3D Scene Layout Estimation	cs.CV	pre_denominator_closure	`Perceive-then-Plan: Layout-as-Policy for Monocular 3D Scene Layout Estimation` (cs.CV) reports: In this work, we formulate monocular 3D layout estimation as a perceive-then-plan problem with vision-language models, where a Perceiver first grounds the 3D objects and then a Planner iteratively refines the scene hypothesis through actions that improve physical plausibility while preserving consistency with the input image.; however, the model-local quality or representation gain does not change the long-term multimodal state identity, generation factorization, serving, or physical-control boundary.	
2605.25328	DIVA: Harnessing the Representation Divergence in Unified Multimodal Models for Mutual Reinforcement	cs.CV,cs.MM	pre_denominator_closure	`DIVA: Harnessing the Representation Divergence in Unified Multimodal Models for Mutual Reinforcement` (cs.CV,cs.MM) reports: Motivated by the observation, we propose DIVA, a self-improved post-training framework that transforms the representation divergence into interior synergy.; however, the model-local quality or representation gain does not change the long-term multimodal state identity, generation factorization, serving, or physical-control boundary.	
2605.25330	Faithful Evaluation of Semantic-ID Tokenizers for Generative Recommendation	cs.IR	pre_denominator_closure	`Faithful Evaluation of Semantic-ID Tokenizers for Generative Recommendation` (cs.IR) reports: To address this evaluation gap, we introduce Collision-Corrected Evaluation (CCE), which defines collision-aware item-level metrics (ItemHit@K, ItemNDCG@K) computed from generated SID sequences, and Zero-Collision Reassignment (ZCR), which constructs zero-collision SID assignments for existing tokenizers via minimum-cost reassignment.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
