arxiv_id	source_family_id	title	route	status	reason	review_status	access_status	owner	disposition
2606.05194	SF-2026-ARXIV-2606-05194	Temporal Preference Concepts and their Functions in a Large Language Model	core_daily_semantic_review_required	pre_denominator_closure	`Temporal Preference Concepts and their Functions in a Large Language Model`（cs.AI,cs.CL,cs.LG）研究的问题/方法是：Large Language Models (LLMs) are increasingly being deployed to make decisions that require trading off near-term gains against long-term consequences, yet little is known about how they internally represent or resolve these tradeoffs.；摘要给出的结果边界是：We find that the geometry of time horizon is encoded in the residual stream at the expected localized layers.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09846	SF-2026-ARXIV-2605-09846	ChladniSonify: A Visual-Acoustic Mapping Method for Chladni Patterns in New Media Art Creation	core_daily_semantic_review_required	pre_denominator_closure	`ChladniSonify: A Visual-Acoustic Mapping Method for Chladni Patterns in New Media Art Creation`（cs.AI,cs.SD）研究的问题/方法是：Based on Kirchhoff-Love plate theory, we build a paired dataset via numerical programming and calibrate it using ANSYS finite element simulation.；摘要给出的结果边界是：Results show the system has excellent usability: the classification module achieves 99.33% accuracy on the test set with 7.03 ms inference latency; the mapped frequency matches the theoretical value with zero deviation; the average…。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09848	SF-2026-ARXIV-2605-09848	Efficient Neural Architectures for Real-Time ECG Interpretation on Limited Hardware	core_daily_semantic_review_required	pre_denominator_closure	`Efficient Neural Architectures for Real-Time ECG Interpretation on Limited Hardware`（cs.LG）研究的问题/方法是：In this paper, we present an empirical study of convolutional neural network (CNN) architectures, exploring tradeoffs between diagnostic accuracy and computational efficiency.；摘要给出的结果边界是：By balancing diagnostic performance and efficiency, our models offer a scalable and viable foundation for next-generation AI systems in cardiovascular care.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09850	SF-2026-ARXIV-2605-09850	Probing Routing-Conditional Calibration in Attention-Residual Transformers	core_daily_semantic_review_required	pre_denominator_closure	`Probing Routing-Conditional Calibration in Attention-Residual Transformers`（cs.AI,cs.CV）研究的问题/方法是：We study this in Attention-Residual transformers (Kimi Team, 2026) through a matched-confidence diagnostic suite that stratifies examples by routing-derived state, compares subgroup gaps against within-bin routing-permutation nulls, and evaluates matched post-hoc probes differing only in their auxiliary feature.；摘要给出的结果边界是：Apparent routing-aware calibration gains in this AR setting should not be read as internal-state calibration until matched-confidence, bandwidth, capacity, and permutation controls rule out common confounds.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09852	SF-2026-ARXIV-2605-09852	Fairness of Explanations in Artificial Intelligence (AI): A Unifying Framework, Axioms, and Future Direction toward Responsible AI	core_daily_semantic_review_required	pre_denominator_closure	`Fairness of Explanations in Artificial Intelligence (AI): A Unifying Framework, Axioms, and Future Direction toward Responsible AI`（cs.AI,cs.CE,cs.CY,cs.LG）研究的问题/方法是：We refer to this as the procedural bias, and mitigating it requires treating the fairness of explanations as a distinct object of scientific study.；摘要给出的结果边界是：We introduce a seven-dimensional taxonomy, identify three generative mechanisms of explanation inequity (representation-driven, explanation-model mismatch, actionability-driven), and propose a canonical six-step evaluation workflow for operationalizing explanation fairness audits in practice.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2606.09852	SF-2026-ARXIV-2606-09852	LLM-Based Code Documentation Generation and Multi-Judge Evaluation	core_daily_semantic_review_required	pre_denominator_closure	`LLM-Based Code Documentation Generation and Multi-Judge Evaluation`（cs.AI,cs.CL,cs.HC,cs.LG,cs.MA,cs.SE）研究的问题/方法是：High-quality source code documentation is vital yet often neglected, especially in critical domains like healthcare where reliability and maintainability are essential.；摘要给出的结果边界是：To ensure quality and guide model selection, we introduced a MultiLLMasJudges evaluation framework, where four independent LLMs assess outputs across nine criteria, such as Completeness, Clarity, and Faithfulness.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09853	SF-2026-ARXIV-2605-09853	Exploration-Driven Optimization for Test-Time Large Language Model Reasoning	core_daily_semantic_review_required	pre_denominator_closure	`Exploration-Driven Optimization for Test-Time Large Language Model Reasoning`（cs.LG）研究的问题/方法是：To address this, we propose Exploration-Driven Optimization (EDO), which extends reward-biasing style exploration objectives to iterative post-training and integrates them into standard RL objectives, encouraging greater diversity in sampled solutions while facilitating more effective inference-time computation.；摘要给出的结果边界是：Extensive experiments demonstrate that both ED-iDPO and ED-GRPO exhibit greater solution diversity and improved reasoning abilities, particularly when combined with test-time computation techniques like self-consistency.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09855	SF-2026-ARXIV-2605-09855	Concordia: Self-Improving Synthetic Tables for Federated LLMs	core_daily_semantic_review_required	pre_denominator_closure	`Concordia: Self-Improving Synthetic Tables for Federated LLMs`（cs.LG）研究的问题/方法是：We study federated adaptation of LLMs on tabular tasks where raw records and validation data cannot be shared, and local training must rely entirely on synthetic tables.；摘要给出的结果边界是：Experiments on privacy-sensitive tabular benchmarks from finance and healthcare demonstrate that Concordia consistently improves federated performance, cross-client stability, and robustness to distribution shift compared to static and decoupled synthetic-data baselines.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09856	SF-2026-ARXIV-2605-09856	MoPO: Incorporating Motion Prior for Occluded Human Mesh Recovery	core_daily_semantic_review_required	pre_denominator_closure	`MoPO: Incorporating Motion Prior for Occluded Human Mesh Recovery`（cs.AI,cs.CV）研究的问题/方法是：Our MoPO mainly consists of two components: 1) The motion de-occlusion module, where we propose a spatial-temporal occlusion detector to detect joint visibility, and then we propose a lightweight motion predictor to complete the occluded body parts by predicting the most plausible joint positions…；摘要给出的结果边界是：Extensive experiments demonstrate that MoPO achieves state-of-the-art performance on both occlusion-specific and standard benchmarks, significantly enhancing the accuracy and temporal consistency of occluded human mesh recovery.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.09857	SF-2026-ARXIV-2605-09857	Unified Approach for Weakly Supervised Multicalibration	core_daily_semantic_review_required	pre_denominator_closure	`Unified Approach for Weakly Supervised Multicalibration`（cs.LG,stat.ML）研究的问题/方法是：We propose a unified framework for estimating and correcting multicalibration under weak supervision by combining contamination-matrix risk rewrites with witness-based calibration constraints, yielding corrected multicalibration moments with finite-sample guarantees.；摘要给出的结果边界是：Multicalibration requires predicted scores to agree with label probabilities across rich families of subgroups and score-dependent tests, but existing methods require clean input-label pairs for evaluation and post-processing.。逐项 title+abstract 复核后，其变化仍绑定该论文的单领域任务、局部模型/优化器或专用 evaluator，没有重新分配本书长期 state/data/control owner，也没有改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存边界，因此以这一 family 的具体问题与证据边界在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
