source_family_id	arxiv_id	screening_route	title	decision	owner	reason	title_abstract_sha256
SF-2026-ARXIV-2606-27632	2606.27632	core_daily_semantic_review_required	Yuvion LLM: An Adversarially-Aware Large Language Model for Content And AI Safety	retain	PLATFORM-SECURITY	把 adversarial robustness、agentic tool use 与 safety release evaluation 绑定为同一模型发布合同。	f805e58b2e85a2e6323ab145116bb44603ac44412ffb571d38c2bbc8d0b5085e
SF-2026-ARXIV-2606-27634	2606.27634	core_daily_semantic_review_required	Continual Learning for Sequential Personalization of Small Language Models: A Stability Monitoring Analysis	retain	PLATFORM-MONITORING	把 sequential LoRA personalization 的 checkpoint、reference-set drift 与遗忘监控绑定为持续适配合同。	8d11fe24c2cc267d3f084f6a8960cdd3736fac3cd5444f5bd8a2ef40659eacae
SF-2026-ARXIV-2606-27635	2606.27635	not_routed_by_keyword_contract	Denoising ICF Images with Multiplicative Uniform Noise: A Self-Supervised Study Based on the Log-Domain Noisier2Inverse Framework	closure	—	《Denoising ICF Images with Multiplicative Uniform Noise: A Self-Supervised Study Based on the Log-Domain Noisier2Inverse Framework》的摘要问题为：This paper documents the implementation and evaluation of a self-supervised denoising framework on Inertial Confinement Fusion (ICF) images corrupted by Multiplicative Uniform noise: the \emph{Log-Domain Noisier2Inverse} framework.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	6e3b654ca0c75ab569ea2ff44896b3428389895c7fd3eb141399d85f2fae65c6
SF-2026-ARXIV-2606-27637	2606.27637	not_routed_by_keyword_contract	AI-Generated Image Recognition via Fusion of CNNs and Vision Transformers	closure	—	《AI-Generated Image Recognition via Fusion of CNNs and Vision Transformers》的摘要问题为：Recent advancements in synthetic data technology have opened a new era where images of remarkable quality are generated, blurring the lines between real-life images and those produced by Artificial Intelligence (AI).  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	81444d81ffcd4c8bca2da1be00a9a428b8155f578427ce3d679d32ed49a79851
SF-2026-ARXIV-2606-27642	2606.27642	not_routed_by_keyword_contract	Real-Time State Estimation in Smart Grids over 5G Networks: Experimental Validation Using Raspberry Pis and Typhoon HIL	closure	—	《Real-Time State Estimation in Smart Grids over 5G Networks: Experimental Validation Using Raspberry Pis and Typhoon HIL》的摘要问题为：Reliable, low-latency communication is critical for real-time monitoring and control in modern Smart Grids (SGs).  本 family 的边界判断：route-negative 复核确认主题属于非 AI-System 的控制、网络、数学或领域工程，不能因分类相邻而扩池。	62f35d4dfe0a2662739fad07c2d4da1d0ecb6f608767a5c702e94e740b07ecae
SF-2026-ARXIV-2606-27644	2606.27644	keyword_daily_semantic_review_required	CascadeOcc: Rethinking 3D Occupancy World Models with Cascaded VQ Representations	closure	—	《CascadeOcc: Rethinking 3D Occupancy World Models with Cascaded VQ Representations》的摘要问题为：This letter proposes CascadeOcc, a novel occupancy world model that prioritizes intrinsic structural hierarchy over extrinsic auxiliary modalities for autonomous driving.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	e20e8e2a695d38378691ba8d18d1444b5f67d5551dc509db606ea7f4ec5664ac
SF-2026-ARXIV-2606-27646	2606.27646	keyword_daily_semantic_review_required	VLM-Aware Meta-Optic Front-End Design for Frozen Vision-Language Models	closure	—	《VLM-Aware Meta-Optic Front-End Design for Frozen Vision-Language Models》的摘要问题为：Conventional machine-vision pipelines typically rely on high-quality optics that produce clean, human-interpretable images, and optical design has therefore been driven by image-level criteria such as resolution, aberration correction, and pixel fidelity.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	f4f1f368ce8bcf649a50d505438486fdebf21299de16adad8f4caa2a82e604ab
SF-2026-ARXIV-2606-27650	2606.27650	keyword_daily_semantic_review_required	GenWorld: Empirically Grounded Urban Simulation Infrastructure for Scalable LLM-Agent Studies	retain	AGENT-PLATFORM	把城市级 agent environment、离线 policy compilation、人口/地理 grounding 与可复算 rollout 统一为 simulation infrastructure。	1688c9be5615f522f6ad78c38666a8931121878571d2e745ff7c81175eb06bb2
SF-2026-ARXIV-2606-27651	2606.27651	core_daily_semantic_review_required	TeRoR: Decoupled Temporal Rotation with Relational Circular Region for Temporal Knowledge Graph Embedding	closure	—	《TeRoR: Decoupled Temporal Rotation with Relational Circular Region for Temporal Knowledge Graph Embedding》的摘要问题为：In recent years, with the emergence of Temporal Knowledge Graphs (TKGs), research on learning entity and relation representations in TKGs has attracted increasing attention, giving rise to a large number of TKG embedding methods.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	6bec4f0c48394cf2e62a8700fcd15c634146ffef71599d6d30b49ab55ae45bc0
SF-2026-ARXIV-2606-27652	2606.27652	core_daily_semantic_review_required	MER-R1: Multimodal Emotion Reasoning via Slow-Fast Thinking Synergy	closure	—	《MER-R1: Multimodal Emotion Reasoning via Slow-Fast Thinking Synergy》的摘要问题为：We find that explicit reasoning does not necessarily translate into better multimodal emotion recognition (MER) accuracy, even though it makes predictions more interpretable.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	6715288cbb81952ef6e01ec5cbc5099e73ba3c31cbd432c31f33ffbc2371c626
