arxiv_id	source_family_key	screening_route	title	decision	family_specific_reason
2606.21819	arxiv:2606.21819	keyword_daily_semantic_review_required	RAPID: A Reproducible Multi-Agent Pipeline for Interpretable Disaster Damage Assessment from Satellite and Street-View Imagery	pre-denominator closure	Family-specific closure for ‘RAPID: A Reproducible Multi-Agent Pipeline for Interpretable Disaster Damage Assessment from Satellite and Street-View Imagery’: exact abstract scope is ‘Due to the increasing frequency and intensity of extreme climate events, there is a clear demand for intelligent, scalable, and autonomous approaches to disaster damage assessment.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21820	arxiv:2606.21820	core_daily_semantic_review_required	Generating Public Health Responses using Survey-Augmented Large Language Models	pre-denominator closure	Family-specific closure for ‘Generating Public Health Responses using Survey-Augmented Large Language Models’: exact abstract scope is ‘Epidemiological models often rely on survey data to represent how individuals make health-related decisions, such as whether to vaccinate or adopt protective behaviors.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21821	arxiv:2606.21821	core_daily_semantic_review_required	Local Causal Attribution of Chain-of-Thought Reasoning	pre-denominator closure	Family-specific closure for ‘Local Causal Attribution of Chain-of-Thought Reasoning’: exact abstract scope is ‘Understanding the causal structure of a language model's thought process is a problem of significant importance for both transparency and safety.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21822	arxiv:2606.21822	core_daily_semantic_review_required	CNnotator: LLM-Guided Memory Safety Annotation Synthesis	retained	Durable delta: 把 LLM 生成的 C 内存所有权猜测编译成 CN contract，再由 Bennet/Fulminate 对 100 个生成 heap state 执行检查；失败进入最多六轮有界修复。
2606.21828	arxiv:2606.21828	core_daily_semantic_review_required	Spectrally Safe Neural Operator Warm-Starts for Large-Scale Newton Solvers	pre-denominator closure	Family-specific closure for ‘Spectrally Safe Neural Operator Warm-Starts for Large-Scale Newton Solvers’: exact abstract scope is ‘Neural operators are increasingly used to warm-start Newton solvers for nonlinear PDEs, on the premise that a low test error places the initial guess inside the basin of attraction.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21830	arxiv:2606.21830	core_daily_semantic_review_required	Mat-Pref: Verifiable-Reward Training Improves Compositional Reasoning in Inorganic Materials	pre-denominator closure	Family-specific closure for ‘Mat-Pref: Verifiable-Reward Training Improves Compositional Reasoning in Inorganic Materials’: exact abstract scope is ‘Reinforcement learning from verifiable rewards (RLVR) has driven rapid progress in mathematical and code reasoning, but when extended to science, existing benchmarks do not decompose what generalizes: do gains reflect structural transfer, property transfer, or memorization?’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21831	arxiv:2606.21831	not_routed_by_keyword_contract	RAIDS: Rethinking Data Systems as Responsible Intelligent Infrastructure	pre-denominator closure	Family-specific closure for ‘RAIDS: Rethinking Data Systems as Responsible Intelligent Infrastructure’: exact abstract scope is ‘Data systems are evolving from information infrastructure into decision infrastructure.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21832	arxiv:2606.21832	core_daily_semantic_review_required	AgentCAT: Simulating Computerized Adaptive Testing via Multi-Agent Large Language Models	pre-denominator closure	Family-specific closure for ‘AgentCAT: Simulating Computerized Adaptive Testing via Multi-Agent Large Language Models’: exact abstract scope is ‘Computerized Adaptive Testing (CAT), as a key technology for personalized education, aims to accurately assess examinee proficiency by retrieving exercises dynamically matching current ability estimates.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21836	arxiv:2606.21836	core_daily_semantic_review_required	AgentDSE: Reasoning-Augmented Architectural Design Space Exploration	retained	Durable delta: 把架构 DSE 从只读 scalar reward 的黑盒搜索改成可编辑 workspace：candidate、constraint、simulator harness、history、best 与 budget 都成为持久 artifact，agent 运行 hypothesis-test-refine。
2606.21837	arxiv:2606.21837	not_routed_by_keyword_contract	G-Issue: Analyzing Lifetime and Evolution of Issue-related Artifacts from Open Source Repositories	pre-denominator closure	Family-specific closure for ‘G-Issue: Analyzing Lifetime and Evolution of Issue-related Artifacts from Open Source Repositories’: exact abstract scope is ‘Software developers or contributors report issues related to bugs, errors, and missing documentation during community-based software development.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
