scope	path_or_nodes	relationship_checked	result	finding
Part I → Part II	Ch10 → Ch11	宏观约束地图是否自然下钻到 token lifecycle	pass	Ch10 明确交付能力生产/交付/治理/行动框架；Ch11 从第一份模型接口契约接手。
Part II → Part III	Ch22 → Ch23	文本序列状态是否自然扩展到 modality/time/provenance identity	pass	Ch22 明确指出文本 token contract 的边界；Ch23 接管跨模态表示身份，不把 shape 相同误写成语义统一。
Part III → Part IV	Ch26 → Ch27	物理行动语义是否与能力生产责任分离	pass	Ch26 交付 representation/action/safety contract；Ch27 接手样本、配比与 provenance，不重定义 actuator authority。
Part IV → Part V	Ch41 → Ch42	训练状态是否先收束为 validated artifact 再进入在线 request	pass	Ch41 交付 checkpoint/conversion/model artifact；Ch42 以版本化资产建立 request state machine。
Part V → Part VI	Ch56 → Ch57	token scheduler 与组织级 control plane 是否分层	pass	Ch56 明确毫秒级生成状态与 GPU/Kubernetes 调度边界；Ch57 接手 asset/workload/service/evidence policy。
Part VI → Part VII	Ch73 → Ch74	平台治理不变量是否进入有副作用的 Agent task	pass	Ch73 交付 identity/policy/trace/budget/recovery；Ch74 将 Prompt 限定为软接口而不拥有授权。
Compute	Ch6 → Ch14/17 → Ch24 → Ch28/37 → Ch49/54/63	算子、训练、推理与集群资源之间是否保持 Layering 而非伪装成直接继承	pass	各节点分别拥有表达、训练执行、compiled plan、memory budget 与 cluster placement；局部 benchmark 不跨层外推。
Memory	Ch19/22 → Ch23/25 → Ch35/39 → Ch45/47/52/54/55 → Ch75/77	不同 memory category 的 identity、lifecycle 与 truth authority 是否分开	pass	KV、world state、checkpoint、Context 和 Agent Memory 通过 handoff 连接，但没有共享同一状态格式或写权限。
Communication	Ch21/22 → Ch36-40 → Ch52/55 → Ch63 → Ch82/83	collective、KV transfer、resource contract 与 Agent handoff 是否区分	pass	每一层都说明 payload、owner、freshness 与 failure boundary；协议连通性不替代业务授权。
Scheduling	Ch24/26 → Ch38 → Ch46/52/53/56 → Ch63-65 → Ch81/84	不同时间尺度由谁分配下一执行机会是否明确	pass	生成、pipeline、token、Pod/GPU 与 workflow scheduling 的控制对象和 SLO 分离。
State	Ch19 → Ch23/25/26 → Ch35 → Ch42/45/52/55 → Ch59 → Ch75/77/81/84	identity、ownership、commit、rollback 与 evidence 是否形成连续主线	pass	状态从模型派生量扩展到环境、训练、在线和业务状态时逐级增加 authority contract，没有让模型 proposal 静默成为事实。
Dense → Conditional Compute	Ch16 → Ch21 → Ch36/37 → Ch49/54/56	容量扩展是否保留 dense baseline 与通信/放置代价	pass	MoE 被写成参数容量分支，不是对 Dense FFN 的无条件替代；通信、working set 与 tail-SLO 进入后续 owner。
Pretraining → Post-training branches	Ch28 → Ch29 → Ch31 → Ch32/33/34	SFT、PPO、GRPO、DPO 是否按监督对象与状态成本分支	pass	各分支保留 data/reward/reference/trajectory/critic 条件和回退，不写成单向版本升级。
Request → Distributed Scheduling	Ch42 → Ch46 → Ch47 → Ch48 → Ch52/56	每次优化新增的 state 与 failure mode 是否被下一层接管	pass	依次增加 iteration fairness、block ownership、verify/rollback、distributed freshness 和 fleet recovery。
Observation → Release Gate	Ch66 → Ch67-69 → Ch66 → Ch73	observability 是否只提供 observed evidence，而非自动拥有 release authority	pass	metrics/logs/traces 回流 EvalSpec 与 decision policy；Production Gate 仍独立检查 SLO、安全、成本和 recovery。
Information → Governed Action	Ch75 → Ch76 → Ch77 → Ch78 → Ch81 → Ch82	information state、typed action、durable commit 与 bounded delegation 是否连续	pass	RAG/Memory 不拥有执行权，Tool 只产生受权 proposal，Workflow 拥有 commit/retry/compensation，Multi-Agent 只分配受限责任。
