arxiv_id	submitted_v1_utc	first_public_date_beijing	title	abstract	categories	doi	screening_route	screening_decision	source_family_id	stable_node_id	score_v2	closure_reason
2605.01185	2026-05-02T01:25:43Z	2026-05-02	Phase-map synthesis from magnitude-only MR images using conditional score-based diffusion models with application in training of accelerated MRI reconstruction models	Accelerated magnetic resonance imaging (MRI) enabled by the training of deep learning (DL)-based image recon. models requires large and diverse raw k-space datasets. In most clinical MRI applications, due to storage and patient privacy concerns, raw k-space data is discarded and magnitude-only images are the only component saved. Consequently, a large portion of the DL-based MRI recon. literature has either relied on small training datasets or has used one of the few available open-source k-space datasets. At the same time, the growing number of anonymized magnitude-only image registries/databases motivates the development of techniques that can use them as training datasets for generalizable DL-based recon. models. Here we propose to address this challenge by employing a generative approach based on conditional score-based diffusion models (SBDMs): given a magnitude-only MR image, it synthesizes a phase map (in the image domain) that realistically corresponds to the magnitude-only image. We evaluate its generative capabilities in a downstream DL-based recon. task whereby a large k-space dataset is generated by combining the SBDM-synthesized phase-maps and the corresponding magnitude-only images, and this k-space dataset is then used to train a DL model for accelerated MRI recon. We compare the performance of the resulting DL model versus those trained according to (a) a naive approach that uses smooth phase, (b) a k-space training dataset generated using synthesized phase maps derived from a generative adversarial network, and (c) the ground truth k-space data. Our results suggest that the DL model trained from SBDM-synthesized k-space data outperforms the other approaches in terms of quantitative metrics as well as qualitatively observed recon. fidelity, i.e., whether the reconstructed images include erroneous or hallucinated features that could adversely impact diagnostic accuracy.	['cs.CV']	10.48550/arxiv.2605.01185	keyword_category_semantic_or_false_negative_audit	pre_denominator_closure	—	—		《Phase-map synthesis from magnitude-only MR images using conditional score-based diffusion models with application in training of accelerated MRI reconstruction models》：title+abstract screening 将问题定位为“Accelerated magnetic resonance imaging (MRI) enabled by the training of deep learning (DL)-based image recon. models requires large and diverse raw k-space datasets.”；其公开机制/实验主张是“Here we propose to address this challenge by employing a generative approach based on conditional score-based diffusion models (SBDMs): given a magnitude-only MR image, it synthesizes a phase map (in the image domain) that realistically co…”。具体 exclusion boundary：现有证据只验证了Here we propose to address this challenge by employing a generative approach based on conditional score-based diffusion models (SBDMs): given a magnitude-only MR image, it synthes… 在 Accelerated magnetic resonance imaging (MRI) enabled by the training of deep learning (DL)-based image recon. models requires large and diverse raw k… 所定义的局部 workload 中的主张；它没有建立 AI workload 的状态放置、同步/调度 owner、correctness invariant 与端到端 SLO，所以不能仅因主题可映射到 ROADMAP 就进入 Candidate Denominator。重开条件：该 family 的后续版本需针对上述局部机制 在相同 workload 下补齐 topology、hardware、precision、length、batch/concurrency 与 SLO，并证明控制权或状态边界发生可复现变化。
2605.01186	2026-05-02T01:27:20Z	2026-05-02	Trace: Unmasking AI Attack Agents Through Terminal Behavior Fingerprinting	AI-driven penetration testing agents are now capable of autonomously executing attacks within compromised networks. Identifying the model family that controls the active sessions of such agents provides valuable information towards understanding the intent of the attack and further developing attack countermeasures. In this paper, we introduce Trace, a novel multi-stage attribution and forensic framework for AI attack agents using terminal command sequences. Once Trace identifies a model family for the attacker agents, it guides a defensive prompt injection (DPI) strategy to the attacker model via a crafted payload. This is with the aim to exfiltrate system prompts from an attacker model, thus, revealing valuable information to understand the attacker intent and facilitate further forensic investigation. We have implemented our approach revolving around a Linux capture-the-flag (CTF) box. The attacker agents are bolstered via three distinct scaffolds and seven frontier model families. Our evaluation reveals that Trace achieves a macro F1 score of 0.981 in accurately fingerprinting the attacker model family (0.815 when generalizing to unseen scaffolds). Besides, the fingerprinting guides the DPI via a crafted payload to certain model families, resulting in system prompt extraction from 81.9% of non-Claude sessions on average (up to 98.3%) at 0.736 Sentence-BERT fidelity -- 1.88x higher than blind deployment. Finally, to validate the robustness of Trace, we evaluate it with a blackbox and proprietary scaffold employing multiple model families (Gemini and Claude Opus). Our evaluation identified the model family with an average 78% accuracy. Moreover, for the Gemini model family, the DPI employed by Trace revealed the entire system prompt and this has been confirmed by the developers. Trace therefore provides a fundamental first step towards attacker agent forensics.	['cs.CR']	10.48550/arxiv.2605.01186	keyword_category_semantic_or_false_negative_audit	retain	SF-ATTACK-AGENT-TERMINAL-FINGERPRINT	PLATFORM-SECURITY	[3, 3, 3]	—
2605.01187	2026-05-02T01:44:50Z	2026-05-02	Evolution of NVENC Efficiency: A Longitudinal Analysis of HQ and UHQ Tuning Efficiency, Latency and Energy Trade-offs	"The rapid expansion of uplink-intensive applications necessitates video coding solutions that balance high Rate-Distortion (RD) efficiency with ultra-low latency. This paper presents a longitudinal performance analysis of NVIDIA hardware encoding (NVENC), spanning from Pascal to the emerging Blackwell generation. We specifically evaluate the operational viability of the new ""Ultra High Quality"" (UHQ) tuning mode against standard low-latency configurations. Our results demonstrate that while the Blackwell architecture breaks historical efficiency plateaus, achieving a 5.94% BD-Rate gain in standard modes and up to 22.79% in UHQ modes, these gains incur severe system-level penalties. We reveal that UHQ operates as a hybrid pipeline, offloading complexity to CUDA cores and enforcing aggressive temporal structures (up to 7 B-frames) that increase end-to-end latency by over 400% and GPU board power consumption by up to 40%. Consequently, while UHQ successfully bridges the quality gap with software encoders, its prohibitive serialization delay renders it unsuitable for interactive real-time communications, positioning it instead as a specialized solution for Video-on-Demand (VoD) transcoding."	['cs.AR', 'cs.MM', 'eess.IV']	10.48550/arxiv.2605.01187	keyword_category_semantic_or_false_negative_audit	pre_denominator_closure	—	—		《Evolution of NVENC Efficiency: A Longitudinal Analysis of HQ and UHQ Tuning Efficiency, Latency and Energy Trade-offs》：title+abstract screening 将问题定位为“The rapid expansion of uplink-intensive applications necessitates video coding solutions that balance high Rate-Distortion (RD) efficiency with ultra-low latency.”；其公开机制/实验主张是“This paper presents a longitudinal performance analysis of NVIDIA hardware encoding (NVENC), spanning from Pascal to the emerging Blackwell generation.”。具体 exclusion boundary：现有证据只验证了This paper presents a longitudinal performance analysis of NVIDIA hardware encoding (NVENC), spanning from Pascal to the emerging Blackwell generation. 在 The rapid expansion of uplink-intensive applications necessitates video coding solutions that balance high Rate-Distortion (RD) efficiency with ultra… 所定义的局部 workload 中的主张；它没有建立 AI workload 的状态放置、同步/调度 owner、correctness invariant 与端到端 SLO，所以不能仅因主题可映射到 ROADMAP 就进入 Candidate Denominator。重开条件：该 family 的后续版本需针对上述局部机制 在相同 workload 下补齐 topology、hardware、precision、length、batch/concurrency 与 SLO，并证明控制权或状态边界发生可复现变化。
2605.01188	2026-05-02T01:53:22Z	2026-05-02	Compute Optimal Tokenization	Scaling laws enable the optimal selection of data amount and language model size, yet the impact of the data unit, the token, on this relationship remains underexplored. In this work, we systematically investigate how the information granularity of tokens, controlled by the compression rate (i.e., average bytes of text per token), affects scaling trends. We train 988 latent tokenized models (BLT) ranging from 50M to 7B parameters that enable setting the desired compression rate. This flexibility allows us to study the role of compression rate well beyond 4.57 bytes per token obtained with a popular BPE tokenizer. Our experiments reveal that in compute-optimal configurations, model parameter counts scale proportionally to data size measured in bytes, not in tokens as commonly perceived (Kaplan et al., 2020; Hoffmann et al., 2022). Furthermore, we discover that the optimal compression rate differs from the one obtained with BPE and decreases with compute. These findings generalize to both latent and subword tokenization, as well as to languages other than English, guiding language model developers on tokenization scheme selection for maximal compute efficiency.	['cs.CL']	10.48550/arxiv.2605.01188	core_daily_full_semantic	retain	SF-COMPUTE-OPTIMAL-TOKENIZATION	MODEL-TOKENIZER	{'design_delta': 3, 'system_reach': 3, 'durability': 3, 'total': 9}	—
2605.01189	2026-05-02T02:00:02Z	2026-05-02	NEURON: A Neuro-symbolic System for Grounded Clinical Explainability	Clinical AI adoption is hindered by the black-box/grey-box nature of high-performing models, which lack the ontological grounding and narrative transparency required for professional-level explainability. We present NEURON, a neuro-symbolic system designed to enhance both predictive reliability and clinical interpretability. NEURON integrates SNOMED CT ontology-informed structural representations with machine learning models to bridge the gap between raw data and medical nomenclature. To facilitate human-aligned interaction, the system utilizes a Retrieval-Augmented Generation (RAG) grounded Large Language Model (LLM) layer to synthesize SHAP feature attributions and patient-specific clinical notes into coherent, natural-language explanations. Validated on the MIMIC-IV dataset for Acute Heart Failure mortality prediction, NEURON improved the AUC from 0.71-0.74 to 0.74-0.77 and substantially outperformed SHAP-based explanations in human-aligned metrics (0.807 vs. 0.558). Our results demonstrate that NEURON offers a robust, scalable engineering solution for deploying trustworthy, human-centered connected health applications.	['cs.AI']	10.48550/arxiv.2605.01189	core_daily_full_semantic	pre_denominator_closure	—	—		《NEURON: A Neuro-symbolic System for Grounded Clinical Explainability》：title+abstract screening 将问题定位为“Clinical AI adoption is hindered by the black-box/grey-box nature of high-performing models, which lack the ontological grounding and narrative transparency required for professional-level explainability.”；其公开机制/实验主张是“We present NEURON, a neuro-symbolic system designed to enhance both predictive reliability and clinical interpretability.”。具体 exclusion boundary：现有证据只验证了We present NEURON, a neuro-symbolic system designed to enhance both predictive reliability and clinical interpretability. 在 Clinical AI adoption is hindered by the black-box/grey-box nature of high-performing models, which lack the ontological grounding and narrative trans… 所定义的局部 workload 中的主张；它没有建立 跨任务 information/action/workflow state 的 owner、commit 点与恢复责任，所以不能仅因主题可映射到 ROADMAP 就进入 Candidate Denominator。重开条件：该 family 的后续版本需针对上述局部机制 证明可跨任务复用的持久状态、action boundary 或 recovery control contract，并披露失败路径与回滚条件。
2605.01191	2026-05-02T02:10:54Z	2026-05-02	Sentinel-VLA: A Metacognitive VLA Model with Active Status Monitoring for Dynamic Reasoning and Error Recovery	Vision-language-action (VLA) models have advanced the field of embodied manipulation by harnessing broad world knowledge and strong generalization. However, current VLA models still face several key challenges, including limited reasoning capability, lack of status monitoring, and difficulty in self-correction. In this paper, we introduce \textbf{Sentinel-VLA}, a metacognitive VLA model equipped with an active ``sentinel'' module to monitor real-time execution status. Only when necessary, such as during initial planning or upon detecting an error, the model triggers a dynamic reasoning or formulate error recovery solutions. This on-demand reasoning mechanism ensures robust decision-making while minimizing computational overhead. Notably, all training data (spanning 44 tasks and over 2.6 million transitions) is automatically generated and annotated through our designed pipeline. We also propose the Self-Evolving Continual Learning (SECL) algorithm, which allows Sentinel-VLA to identify its capability boundaries and automatically collect data for expansion, paired with Orthogonal Continual Adapter (OC-Adapter) to constrain parameter updates to an orthogonal space, thereby preventing catastrophic forgetting. Real-world experiments demonstrate that Sentinel-VLA boosts the task success rate by over 30\% compared to the SOTA model, PI0. We will open-source all the code, weights, and data generation pipeline.	['cs.RO']	10.48550/arxiv.2605.01191	keyword_category_semantic_or_false_negative_audit	retain	SF-SENTINEL-VLA-STATUS-CONTROL	MULTIMODAL-EMBODIED-VLA	[3, 3, 2]	—
2605.01192	2026-05-02T02:11:31Z	2026-05-02	Linear-Readout Floors and Threshold Recovery in Computation in Superposition	"Two recent approaches to computation in superposition reach different recursive capacity regimes: Hänni et al. certify $\tilde{O}(d^{3/2})$ computable features in width $d$ via an approximate-linear recursive template, while Adler and Shavit reach near-quadratic capacity (up to logarithmic factors) using thresholded Boolean recovery. The main contribution of this paper is conceptual: we argue these results are not contradictory because they maintain different interface invariants, and we formalize the distinction.
 As a tool, we record a rank-trace Welch-type lower bound for biorthogonal linear readouts: for $F \gg d$, the worst-case off-diagonal cross-talk of any unit-diagonal linear readout is $Ω(d^{-1/2})$, and the bound is tight on average for unit-norm tight frames. At quadratic feature load $F=d^2$, random-support threshold recovery succeeds for sparsities $s=O(d/\log d)$, while linear readouts still incur $Ω(s/d)$ average per-coordinate squared error on Bernoulli sparse states. Matching the Welch floor against the published tolerance of the Hänni correction layer explains the $d^{3/2}$ scale as a compatibility threshold for that template, not a universal upper bound. Robust nonlinear reset beyond the Hänni template is left open."	['cs.IT', 'cs.LG']	10.48550/arxiv.2605.01192	core_daily_full_semantic	pre_denominator_closure	—	—		《Linear-Readout Floors and Threshold Recovery in Computation in Superposition》：title+abstract screening 将问题定位为“Two recent approaches to computation in superposition reach different recursive capacity regimes: Hänni et al. certify $\tilde{O}(d^{3/2})$ computable features in width $d$ via an approximate-linear recursive template, while Adler and Shav…”；其公开机制/实验主张是“The main contribution of this paper is conceptual: we argue these results are not contradictory because they maintain different interface invariants, and we formalize the distinction.”。具体 exclusion boundary：现有证据只验证了The main contribution of this paper is conceptual: we argue these results are not contradictory because they maintain different interface invariants, and we formalize the distinct… 在 Two recent approaches to computation in superposition reach different recursive capacity regimes: Hänni et al. certify $\tilde{O}(d^{3/2})$ computabl… 所定义的局部 workload 中的主张；它没有建立 跨任务 information/action/workflow state 的 owner、commit 点与恢复责任，所以不能仅因主题可映射到 ROADMAP 就进入 Candidate Denominator。重开条件：该 family 的后续版本需针对上述局部机制 证明可跨任务复用的持久状态、action boundary 或 recovery control contract，并披露失败路径与回滚条件。
2605.01194	2026-05-02T02:13:11Z	2026-05-02	VLA-ATTC: Adaptive Test-Time Compute for VLA Models with Relative Action Critic Model	Vision-Language-Action (VLA) models have demonstrated remarkable capabilities and generalization in embodied manipulation. However, their decision-making relies on a fast, instinctive process that lacks deliberation. This strategy often leads to suboptimal or catastrophic actions when facing complex or ambiguous scenarios that require greater consideration. In this paper, we introduce \textbf{VLA-ATTC}, a framework that endows VLA models with adaptive test-time compute (TTC). VLA-ATTC employs an uncertainty-based ``cognitive clutch'' to dynamically transition from reflexive execution to a TTC deliberation phase when necessary. During TTC phase, a novel \textbf{Relative Action Critic} (RAC) model identifies the optimal action from generated candidates via pairwise comparisons. This relative mechanism replaces unstable absolute value estimation, significantly simplifying the learning objective. Furthermore, we introduce an efficient sampling strategy to amortize computational costs and an automated data pipeline that curates preference pairs without manual annotation. On the LIBERO-LONG benchmark, VLA-ATTC reduces the failure rate of the SOTA model PI0.5 by over 50\%. We will open-source all the code and weights.	['cs.RO']	10.48550/arxiv.2605.01194	keyword_category_full_semantic	retain	SF-VLA-ADAPTIVE-TEST-TIME-COMPUTE	MULTIMODAL-EMBODIED-VLA	{'design_delta': 3, 'system_reach': 3, 'durability': 2, 'total': 8}	—
2605.01195	2026-05-02T02:16:53Z	2026-05-02	TAIL-Safe: Task-Agnostic Safety Monitoring for Imitation Learning Policies	Recent imitation learning (IL) algorithms such as flow-matching and diffusion policies demonstrate remarkable performance in learning complex manipulation tasks. However, these policies often fail even when operating within their training distribution due to extreme sensitivity to initial conditions and irreducible approximation errors that lead to compounding drift. This makes it unsafe to deploy IL policies in the field where out-of-distribution scenarios are prevalent. A prerequisite for safe deployment is enabling the policy to determine whether it can execute a task the way it was learned from demonstrations. This paper presents TAIL-Safe, a principled approach to identify, for a trained IL policy, a safe set from where the policy empirically succeeds in completing the learned task. We propose a Lipschitz-continuous Q-value function that maps state-action pairs to a long-term safety score based on three short-term task-agnostic criteria: visibility, recognizability, and graspability. The zero-superlevel set of this function characterizes an empirical control invariant set over state-action pairs. When the nominal policy proposes an action outside this set, we apply a recovery mechanism inspired by Nagumo's theorem that uses gradient ascent to the Q-function to steer the policy back to safety. To learn this Q-function, we construct a high-fidelity digital twin using Gaussian Splatting that enables systematic collection of failure data without risk to physical hardware. Experiments with a Franka Emika robot demonstrate that flow-matching policies, which fail under run-time perturbations, achieve consistent task success when guided by the proposed TAIL-Safe.	['cs.RO']	10.48550/arxiv.2605.01195	keyword_category_full_semantic	retain	SF-TAIL-SAFE-RUNTIME-MONITOR	MULTIMODAL-EMBODIED-VLA	{'design_delta': 3, 'system_reach': 3, 'durability': 2, 'total': 8}	—
2605.01197	2026-05-02T02:18:29Z	2026-05-02	MG-Former: A Transformer-Based Framework for Music-Driven 3D Conducting Gesture Generation	Generating expressive conducting gestures from music is a challenging cross-modal motion synthesis problem: the output must follow long-range musical structure, preserve beat-level synchronization, and remain plausible as a fine-grained 3D human performance. Existing conducting-motion studies are often limited by sparse pose representations, small-scale data, or evaluation protocols that do not directly measure whether music and gesture are mutually aligned. This paper presents TransConductor, a Transformer-based framework for music-driven conducting gesture generation. We introduce ConductorMotion, a SMPL-parameter data construction pipeline that recovers detailed body motion from conducting videos and forms a dataset targeted at professional conducting gestures. Given acoustic descriptors extracted from audio and an initial pose, TransConductor uses a Trans-Temporal Music Encoder and a Trans-Temporal Conducting Gesture Decoder to autoregressively predict SMPL pose parameters. To better assess artistic correspondence, we further build a retrieval-based evaluation model that embeds music and gestures into a shared space and yields FID, modality distance, multi-modality distance, and diversity metrics. Experiments show that TransConductor outperforms dance-generation and conducting-generation baselines, while ablations verify the benefits of the Transformer backbone and the proposed alignment loss.	['cs.MM', 'cs.SD']	10.48550/arxiv.2605.01197	keyword_category_semantic_or_false_negative_audit	pre_denominator_closure	—	—		《MG-Former: A Transformer-Based Framework for Music-Driven 3D Conducting Gesture Generation》：title+abstract screening 将问题定位为“Generating expressive conducting gestures from music is a challenging cross-modal motion synthesis problem: the output must follow long-range musical structure, preserve beat-level synchronization, and remain plausible as a fine-grained 3D…”；其公开机制/实验主张是“We introduce ConductorMotion, a SMPL-parameter data construction pipeline that recovers detailed body motion from conducting videos and forms a dataset targeted at professional conducting gestures.”。具体 exclusion boundary：现有证据只验证了We introduce ConductorMotion, a SMPL-parameter data construction pipeline that recovers detailed body motion from conducting videos and forms a dataset targeted at professional co… 在 Generating expressive conducting gestures from music is a challenging cross-modal motion synthesis problem: the output must follow long-range musical… 所定义的局部 workload 中的主张；它没有建立 跨任务 information/action/workflow state 的 owner、commit 点与恢复责任，所以不能仅因主题可映射到 ROADMAP 就进入 Candidate Denominator。重开条件：该 family 的后续版本需针对上述局部机制 证明可跨任务复用的持久状态、action boundary 或 recovery control contract，并披露失败路径与回滚条件。
