chapter	stable_node	part	path	integrate_count	stable_owner	chapter_contract	review_boundary	source_trace	semantic_proof	proof_kinds	evolution	tradeoff	failure_fallback	final_disposition	finding
Ch1	WORLDVIEW-WHY-AI-SYSTEM	part-01-worldview	books/part-01-worldview/01-why-learn-ai-system.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch2	WORLDVIEW-AI-HISTORY	part-01-worldview	books/part-01-worldview/02-ai-history.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch3	WORLDVIEW-KNOWLEDGE-TREE	part-01-worldview	books/part-01-worldview/03-global-knowledge-tree.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch4	WORLDVIEW-WHY-MODELS-LEARN	part-01-worldview	books/part-01-worldview/04-why-models-learn.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch5	WORLDVIEW-REPRESENTATION	part-01-worldview	books/part-01-worldview/05-what-neural-networks-learn.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch6	WORLDVIEW-TRANSFORMER	part-01-worldview	books/part-01-worldview/06-why-transformer-changed-the-world.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch7	WORLDVIEW-SCALING-LAW	part-01-worldview	books/part-01-worldview/07-scaling-law.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch8	WORLDVIEW-LLM-INTELLIGENCE	part-01-worldview	books/part-01-worldview/08-why-llms-show-intelligence.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch9	WORLDVIEW-SYSTEM-EVOLUTION	part-01-worldview	books/part-01-worldview/09-ai-system-evolution.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch10	WORLDVIEW-FUTURE	part-01-worldview	books/part-01-worldview/10-future-of-ai.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch11	MODEL-TOKENIZER	part-02-model	books/part-02-model/11-tokenizer.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch12	MODEL-EMBEDDING	part-02-model	books/part-02-model/12-embedding.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
