arxiv_id	title	screening_status	screening_reason	owner_node
2606.00100	CoilDrop-MRI: Self-supervised physics-guided MRI reconstruction with coil dropout	pre_denominator_closed	CoilDrop-MRI: Self-supervised physics-guided MRI reconstruction with coil dropout 的具体方法/主张是：To enforce full exploitation of signal correlation across receiver coils, we propose CoilDrop-MRI, which applies coil-wise dropout to the input and uses the dropped data as training targets in a self-supervised framework.；摘要报告/目标为：We further demonstrate its versatility by extending CoilDrop-MRI to multi-shot, phase-corrected diffusion MRI (dMRI) reconstruction.。排除边界：其状态与验收属于医疗/科学领域任务，未改变通用 AI-System 的数据、runtime、deployment 或 evidence owner；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.00101	CoCoVideo: The High-Quality Commercial-Model-Based Contrastive Benchmark for AI-Generated Video Detection	pre_denominator_closed	CoCoVideo: The High-Quality Commercial-Model-Based Contrastive Benchmark for AI-Generated Video Detection 的具体方法/主张是：To address these issues, we introduce CoCoVideo-26K, a contrastive, commercial-model-based AIGC video dataset covering 13 mainstream commercial generators and providing semantically aligned real-fake video pairs.；摘要报告/目标为：Extensive experiments on CoCoVideo-26K and public benchmarks demonstrate state-of-the-art performance, validating the framework's robustness and generalizability.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时证据对象或 release gate；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.00102	On the evolution of the concept of probability as a mirror of the evolution of reason	pre_denominator_closed	On the evolution of the concept of probability as a mirror of the evolution of reason 的具体方法/主张是：Over the centuries, probability theory has grown from the calculus of games of chance into a central framework for reasoning under uncertainty.；摘要报告/目标为：It argues that contemporary scientific rationality cannot be reduced to data-driven performance alone, but requires the explicit articulation of uncertainty, vagueness, and inference.。排除边界：它是领域算法、理论或模型局部增量，未显示长期 state/data/control owner 或 evaluation contract 的变化；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.00103	Evaluating Interactive Reasoning in Large Language Models: A Hierarchical Benchmark with Executable Games	pre_denominator_closed	Evaluating Interactive Reasoning in Large Language Models: A Hierarchical Benchmark with Executable Games 的具体方法/主张是：We introduce a multi-turn interactive framework for reasoning evaluation that treats reasoning as active evidence acquisition and belief updating.；摘要报告/目标为：Moreover, we empirically show that contextual perturbations cause moderate but consistent declines, whereas counterfactual revision and necessity judgment lead to much larger drops.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时证据对象或 release gate；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.00104	PEACE: A Planner-Executor Agent with Constraint Enforcement for UAVs	pre_denominator_closed	PEACE: A Planner-Executor Agent with Constraint Enforcement for UAVs 的具体方法/主张是：We propose a planner-executor agent for PX4-based drones that decouples high-level mission planning from low-level control.；摘要报告/目标为：We position our approach within three common design patterns for foundation-model-based robotics systems and demonstrate its feasibility in PX4 software-in-the-loop simulations in Gazebo.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时证据对象或 release gate；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.00105	Visual-Noise Guided In-Context Distillation for Multimodal Large Language Model Unlearning	pre_denominator_closed	Visual-Noise Guided In-Context Distillation for Multimodal Large Language Model Unlearning 的具体方法/主张是：To address these challenges, we propose Visual-Noise Guided In-Context Distillation (VGID), a distillation-based framework for MLLM unlearning.；摘要报告/目标为：Experimental results show that VGID achieves strong unlearning effectiveness while preserving competitive model utility, reducing forget set ROUGE-L by 0.371 with only a 0.055 drop in retain set ROUGE-L in a representative setting.。排除边界：它优化特定领域 workload，没有重新分配通用系统状态、控制权或证据提交权；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.00106	A Methodological Framework for Explicit Control of the Speed-Accuracy Trade-off in Brain-Computer Interfaces	pre_denominator_closed	A Methodological Framework for Explicit Control of the Speed-Accuracy Trade-off in Brain-Computer Interfaces 的具体方法/主张是：In this study, we propose an evaluation framework independent of classifier, paradigm, and early-stopping strategy that separates speed and accuracy.；摘要报告/目标为：Results show that tuning α yields fast, accurate, or balanced BCI behaviours, demonstrating explicit control of the speed-accuracy trade-off.。排除边界：其状态与验收属于医疗/科学领域任务，未改变通用 AI-System 的数据、runtime、deployment 或 evidence owner；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.00107	Motif-based morphology signatures for interpretable ECG screening and monitoring	pre_denominator_closed	Motif-based morphology signatures for interpretable ECG screening and monitoring 的具体方法/主张是：We propose a motif-based framework that defines beat-aligned ECG motifs as interpretable cardiac signatures and quantifies morphological drift and deviation across short and long-term monitoring.；摘要报告/目标为：We evaluate these metrics on short (PTB-XL) and long-duration (MIT-BIH Arrhythmia) ECG datasets.。排除边界：其状态与验收属于医疗/科学领域任务，未改变通用 AI-System 的数据、runtime、deployment 或 evidence owner；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.02614	Margin Play: A Multi-Agent System For Public Policy Analysis In The Brazilian Equatorial Margin	pre_denominator_closed	Margin Play: A Multi-Agent System For Public Policy Analysis In The Brazilian Equatorial Margin 的具体方法/主张是：We present Margin Play, a Multi-Agent Reinforcement Learning (MARL) system simulating these tensions under Brazilian empirical calibration and classical economic literature.；摘要报告/目标为：The fundamental problem is not a trade-off between production and welfare, but the choice of public policy regime linked to exploration.。排除边界：它是 Agent 局部能力/应用方案，尚未建立新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
2606.02615	FSA-GRPO: Teaching Auditory LLMs to Use Few-shot Demonstrations	pre_denominator_closed	FSA-GRPO: Teaching Auditory LLMs to Use Few-shot Demonstrations 的具体方法/主张是：To address this limitation, we introduce Few-Shot Aware GRPO (FSA-GRPO), an RL-based post-training recipe that uses a specially designed reward to encourage the model to leverage few-shot demonstrations, thereby strengthening its few-shot adaptation ability.；摘要报告/目标为：Our experiments show that when in-domain data are unavailable or cannot be used for training, FSA-GRPO is more effective than direct tuning on related out-of-domain data.。排除边界：这是特定感知任务的模型/数据改进，未形成可迁移的表示身份、serving lifecycle 或 release contract；因此在 Candidate Denominator 前闭合，并保留 identity 供独立 reviewer 重开。	
