arxiv_id	title	status	reason	owner	score	disposition
2606.00087	Structured Visual Evidence Decomposition for Evidence-Grounded Multimodal Screening of Obstructive Sleep Apnea-Hypopnea Syndrome	pre_denominator_closure	`Structured Visual Evidence Decomposition for Evidence-Grounded Multimodal Screening of Obstructive Sleep Apnea-Hypopnea Syndrome`（cs.AI, cs.CV）：Effective pre-polysomnography screening for obstructive sleep apnea-hypopnea syndrome (OSAHS) requires combining clinical risk factors with visible craniofacial and neck cues. Directly prompting general-purpose multimodal foundation models for medical yes/no decisions can yield unstable, poorly calibrated outputs. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.00088	From Frontier to Shadow AI: A Simmering Threat to Assurance and Security in Critical Infrastructure	pre_denominator_closure	`From Frontier to Shadow AI: A Simmering Threat to Assurance and Security in Critical Infrastructure`（cs.CR, cs.CY）：Frontier AI systems, including large language models and emerging agentic AI tools, offer significant operational benefits but present unique challenges to critical infrastructure (CI) environments due to their non-deterministic and emergent properties. While formal adoption is inherently cautious and tightly controlled due to strict regulatory oversight, widespread accessibility has catalysed shadow AI: the unsanctioned use of frontier AI outside established organisational controls. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.00089	Can Predicted Dynamics Exist in the Physical World?	retained	We formalize this prediction-control interface and prove that the all-pairs displacement term is redundant within a max-aggregated composite.	MULTIMODAL-EMBODIED-VLA	8	Integrate
2606.00090	Silent Failures in Physical AI: A Literature Review of Runtime Action Authorization for Autonomous Systems	pre_denominator_closure	`Silent Failures in Physical AI: A Literature Review of Runtime Action Authorization for Autonomous Systems`（cs.AI, cs.RO）：Physical AI systems increasingly map multimodal observations, language instructions, and learned world representations into physically consequential actions. Robotics foundation models, vision-language-action models, and world-model-based autonomous systems can condition decisions that move vehicles, robots, drones, and industrial machines. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02598	Assessing Region-Level EEG Contributions to Cognitive Workload Prediction	pre_denominator_closure	`Assessing Region-Level EEG Contributions to Cognitive Workload Prediction`（cs.HC, cs.LG）：Accurate and generalizable estimation of cognitive workload from electroencephalography (EEG) is critical for human-centered and safety-critical systems. Although EEG is widely used for workload assessment, the consistency of region-level EEG contributions across tasks, datasets, and subjects remains unclear. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02600	High-Dimensional Latents Should Be Diagnosed Through Phase Structure	pre_denominator_closure	`High-Dimensional Latents Should Be Diagnosed Through Phase Structure`（cond-mat.dis-nn, cs.LG）：We study autoencoder and variational-autoencoder latent spaces through the lens of spin-glass theory. The paper has two components. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02601	Testing the Test: Score-Direction Instability in Class-Split Anomaly Detection	pre_denominator_closure	`Testing the Test: Score-Direction Instability in Class-Split Anomaly Detection`（cs.LG）：Within-dataset class-split evaluation is widely used as a proxy for fully unconditional out-of-distribution anomaly detection. We show that this protocol can become ill-posed when the held-out anomaly class overlaps the normal mixture in representation space. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02602	Graph Mamba Survival Analysis Based on Topology-Aware ordering	pre_denominator_closure	`Graph Mamba Survival Analysis Based on Topology-Aware ordering`（cs.CV, cs.LG）：In computational pathology, Whole Slide Images (WSIs) survival analysis is crucial for patient prognosis assessment, but it faces multiple technical challenges. Although the Transformer captures long-range dependencies through its self-attention mechanism, its $O(N^2)$ time complexity causes a severe computational bottleneck in large-scale WSIs graph structures. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02603	COD10K-C: Benchmarking Robustness of Camouflaged Object Detection Under Natural Image Corruptions	pre_denominator_closure	`COD10K-C: Benchmarking Robustness of Camouflaged Object Detection Under Natural Image Corruptions`（cs.CV, cs.LG）：Camouflaged object detection has improved substantially, but most standard benchmarks evaluate models only on clean images. This is not realistic because real cameras often capture blur, sensor noise, weather effects, and compression artifacts. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02604	Auditable Climate Risk Intelligence from Fragmented ESG Data: Deterministic Orchestration and Imbalance-Aware Learning for Scope 1-3 Validation	pre_denominator_closure	`Auditable Climate Risk Intelligence from Fragmented ESG Data: Deterministic Orchestration and Imbalance-Aware Learning for Scope 1-3 Validation`（cs.AI, cs.LG）：ESG and climate risk data remain fragmented across heterogeneous Scope 1, Scope 2, and Scope 3 reporting environments, while conventional validation pipelines lack provenance aware auditability, hidden drift detection, and reproducibility oriented governance. This paper proposes a deterministic climate risk intelligence framework integrating single source of truth orchestration, temporal anomaly detection, imbalance aware ensemble learning, and explainability oriented governance for auditable ESG validation. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
