arxiv_id	published_v1_utc	primary_category	route	decision	title	reason	author_adversarial_audit	independent_fresh_context_audit
2604.27289	2026-04-30T01:03:15Z	cs.AI	core_daily_semantic_review_required	retain	Mechanized Foundations of Structural Governance: Machine-Checked Proofs for Governed Intelligence	material long-term AI-System mechanism/ownership/evaluation delta; exact-v1 review routed	retain_reconfirmed	retain_reconfirmed
2604.27292	2026-04-30T01:12:32Z	cs.AI	core_daily_semantic_review_required	retain	The Two Boundaries: Why Behavioral AI Governance Fails Structurally	material long-term AI-System mechanism/ownership/evaluation delta; exact-v1 review routed	retain_reconfirmed	retain_reconfirmed
2604.27293	2026-04-30T01:13:25Z	cs.CV	keyword_filtered	pre_denominator_closure	Student Classroom Behavior Recognition Based on Improved YOLOv8s	《Student Classroom Behavior Recognition Based on Improved YOLOv8s》— 具体机制（vertical-domain AI）：The model introduces SPPF-LSKA to enhance contextual feature extraction, employs CFC-CRB and SFC-G2 to optimize multi-scale feature fusion, and incorporates ATFLoss to improve the learning ability for minority classes and hard samples. 证据/适用边界：Experimental results show that compared with the baseline model, the improved model achieves increases of 1.8% in mAP50 and 2.1% in mAP50-95. 分母前关闭：该 family 的增量停留在上述对象和作者 evaluation scope，没有改变 `WEEKLY-ONLY-CONTEXT` 已有的通用 AI-System state/data/control ownership 或跨领域 evaluation/release contract；因此保留 identity、v1 日期与拒绝理由，但不进入 Score V2/Books Decision。	false_negative_rechecked_no_admission_delta	closure_reconfirmed
2604.27295	2026-04-30T01:13:48Z	cs.AI	core_daily_semantic_review_required	pre_denominator_closure	Learning Rate Engineering: From Coarse Single Parameter to Layered Evolution	《Learning Rate Engineering: From Coarse Single Parameter to Layered Evolution》— 具体机制（training mechanism）：Building on this taxonomy, we propose Discriminative Adaptive Layer Scaling (DALS), a unified framework that integrates phase-adaptive cosine scheduling, depth-aware Grokfast gradient filtering, and LARS-style trust ratios into a single coherent optimizer. 证据/适用边界：On synthetic, DALS achieves the best accuracy at 98.0%, while DALS-Fast reaches 90% in just 3 epochs. 分母前关闭：该 family 的增量停留在上述对象和作者 evaluation scope，没有改变 `TRAIN-PRETRAINING` 已有的objective/data ownership、optimizer-state semantics、reproducibility 或 checkpoint contract；因此保留 identity、v1 日期与拒绝理由，但不进入 Score V2/Books Decision。	false_negative_rechecked_no_admission_delta	closure_reconfirmed
2604.27296	2026-04-30T01:14:13Z	cs.CL	core_daily_semantic_review_required	pre_denominator_closure	To Diff or Not to Diff? Structure-Aware and Adaptive Output Formats for Efficient LLM-based Code Editing	《To Diff or Not to Diff? Structure-Aware and Adaptive Output Formats for Efficient LLM-based Code Editing》— 具体机制（local model/task method）：To address it, we introduce BlockDiff and FuncDiff, two structure-aware diff formats that represent changes as block-level rewrites of syntactically coherent units such as control structures and functions. 证据/适用边界：摘要未披露独立 evaluation、artifact 或 failure analysis。 分母前关闭：该 family 的增量停留在上述对象和作者 evaluation scope，没有改变 `ROADMAP-OWNER-UNCHANGED` 已有的长期 state/data/control ownership、跨层 evaluation authority 或 release/recovery contract；因此保留 identity、v1 日期与拒绝理由，但不进入 Score V2/Books Decision。	false_negative_rechecked_no_admission_delta	closure_reconfirmed
2604.27297	2026-04-30T01:15:54Z	cs.AI	core_daily_semantic_review_required	pre_denominator_closure	Machine Collective Intelligence for Explainable Scientific Discovery	《Machine Collective Intelligence for Explainable Scientific Discovery》— 具体机制（distributed execution）：Here, we present machine collective intelligence, a unified paradigm that integrates two fundamental yet distinct traditions in computational intelligence--symbolism and metaheuristics--to enable autonomous and evolutionary discovery of governing equations. 证据/适用边界：摘要未披露独立 evaluation、artifact 或 failure analysis。 分母前关闭：该 family 的增量停留在上述对象和作者 evaluation scope，没有改变 `TRAIN-DISTRIBUTED-TRAINING` 已有的distributed state ownership、collective correctness、failure domain 或 recovery contract；因此保留 identity、v1 日期与拒绝理由，但不进入 Score V2/Books Decision。	false_negative_rechecked_no_admission_delta	closure_reconfirmed
2604.27300	2026-04-30T01:22:15Z	cs.AI	core_daily_semantic_review_required	pre_denominator_closure	METASYMBO: Multi-Agent Language-Guided Metamaterial Discovery via Symbolic Latent Evolution	《METASYMBO: Multi-Agent Language-Guided Metamaterial Discovery via Symbolic Latent Evolution》— 具体机制（Agent action/workflow）：To address this gap, we propose MetaSymbO, a multi-agent framework for language-guided Metamaterial discovery via Symbolic-driven latent evOlution. 证据/适用边界：Extensive experiments demonstrate that (i) MetaSymbO improves structural validity by up to 34% in symmetry and nearly 98% in periodicity compared to state-of-the-art baselines; (ii) MetaSymbO achieves about 6-7% higher language-guidance scores while maintaining superior structure novelty compared to advanced reasoning LLMs; (iii) qualitative analyses confirm the effectiveness o 分母前关闭：该 family 的增量停留在上述对象和作者 evaluation scope，没有改变 `AGENT-PLATFORM` 已有的action authority、typed tool contract、workflow commit/recovery 或 terminal-evidence contract；因此保留 identity、v1 日期与拒绝理由，但不进入 Score V2/Books Decision。	false_negative_rechecked_no_admission_delta	closure_reconfirmed
2604.27302	2026-04-30T01:29:47Z	cs.CR	keyword_filtered	pre_denominator_closure	Static Attribution of Android Residential Proxy Malware Using Graph Kernels	《Static Attribution of Android Residential Proxy Malware Using Graph Kernels》— 具体机制（compiler/kernel execution）：We present a static-analysis pipeline for automated proxyware family attribution, extracting graph-structured representations (control-flow and function-call graphs) and behavioral signatures from a labeled corpus of 3,365 Android proxy apps spanning four commercial proxy networks. 证据/适用边界：We evaluate Weisfeiler-Lehman graph kernel features alone and fused with binary capability vectors across multiple classifiers. 分母前关闭：该 family 的增量停留在上述对象和作者 evaluation scope，没有改变 `INFER-EXECUTION` 已有的execution-plan ownership、numerical contract、hardware portability 或 runtime failure boundary；因此保留 identity、v1 日期与拒绝理由，但不进入 Score V2/Books Decision。	false_negative_rechecked_no_admission_delta	closure_reconfirmed
2604.27306	2026-04-30T01:33:56Z	cs.IR	core_daily_semantic_review_required	retain	NuggetIndex: Governed Atomic Retrieval for Maintainable RAG	material long-term AI-System mechanism/ownership/evaluation delta; exact-v1 review routed	retain_reconfirmed	retain_reconfirmed
2604.27307	2026-04-30T01:40:37Z	cs.LG	core_daily_semantic_review_required	pre_denominator_closure	A Novel Computational Framework for Causal Inference: Tree-Based Discretization with ILP-Based Matching	《A Novel Computational Framework for Causal Inference: Tree-Based Discretization with ILP-Based Matching》— 具体机制（inference runtime）：Causal inference is essential for data-driven decision-making, as it aims to uncover causal relationships from observational data. 证据/适用边界：摘要未披露独立 evaluation、artifact 或 failure analysis。 分母前关闭：该 family 的增量停留在上述对象和作者 evaluation scope，没有改变 `INFER-SCHEDULING` 已有的request/KV state owner、admission/SLO、distributed commit 或 fallback contract；因此保留 identity、v1 日期与拒绝理由，但不进入 Score V2/Books Decision。	false_negative_rechecked_no_admission_delta	closure_reconfirmed
