source_family_id	disposition	owner	evidence	result
SF-2026-ARXIV-2606-21843	Integrate	books/part-06-ai-infrastructure/67-monitoring.md	line 29; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21848	Integrate	books/part-02-model/14-self-attention.md	line 75; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21868	Integrate	books/part-05-inference-system/56-inference-scheduling.md	line 220; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21869	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	line 745; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21877	Integrate	books/part-06-ai-infrastructure/72-security.md	line 744; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21884	Integrate	books/part-04-training-system/33-grpo.md	line 941; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21891	Integrate	books/part-07-agent/81-workflow.md	line 47; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21954	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	line 746; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21968	Integrate	books/part-07-agent/81-workflow.md	line 48; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22013	Integrate	books/part-06-ai-infrastructure/73-production-best-practice.md	line 102; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22019	Integrate	books/part-06-ai-infrastructure/72-security.md	line 745; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22043	Integrate	books/part-04-training-system/33-grpo.md	line 942; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22142	Integrate	books/part-04-training-system/27-data.md	line 495; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22164	Integrate	books/part-04-training-system/33-grpo.md	line 943; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22175	Integrate	books/part-07-agent/81-workflow.md	line 49; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22179	Integrate	books/part-06-ai-infrastructure/66-evaluation-system.md	line 747; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22180	Integrate	books/part-04-training-system/36-distributed-training.md	line 644; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22203	Integrate	books/part-07-agent/82-multi-agent.md	line 251; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22263	Integrate	books/part-06-ai-infrastructure/72-security.md	line 746; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-22283	Integrate	books/part-05-inference-system/54-gpu-memory.md	line 260; mechanism/trade-off/fallback/exact-v1 note	PASS
SF-2026-ARXIV-2606-21822	No Change — Existing Coverage	books/part-06-ai-infrastructure/72-security.md	model verdict 是 policy-bound sensor，不是 authority	PASS
