arxiv_id	source_family_key	screening_route	title	decision	closure_class	stable_node_id	family_specific_reason
2606.28666	arxiv:2606.28666	core_daily_semantic_review_required	Why Trust Your Agent? Empirical Security Gains from TRiSM-Guided Agentic Workflows in Healthcare	retained	candidate_denominator	PLATFORM-SECURITY	Retained under `PLATFORM-SECURITY` after full title+abstract review: ‘Why Trust Your Agent? Empirical Security Gains from TRiSM-Guided Agentic Workflows in Healthcare’ states ‘Agent-based AI has enabled the automation of tasks by exposing application tools and resources to large language models (LLMs). ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28667	arxiv:2606.28667	core_daily_semantic_review_required	Phonological Perception of Sign Language Models	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Phonological Perception of Sign Language Models’: its abstract scope is ‘Sign languages are compositional systems where meaning arises by combining sublexical phonological parameters, such as handshape, location, and movement. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation authority、状态所有权或长期平台 contract.
2606.28669	arxiv:2606.28669	core_daily_semantic_review_required	Entropy Regularized Reinforcement Learning for Zero-Sum Stochastic Differential Games in a Regime-Switching Jump-Diffusion Process	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Entropy Regularized Reinforcement Learning for Zero-Sum Stochastic Differential Games in a Regime-Switching Jump-Diffusion Process’: its abstract scope is ‘To address parameter misspecification and sudden structural environmental changes in conventional stochastic differential game (SDG) frameworks, this paper introduces a distributional control approach that characterizes optimal strategies as probability distributions over actions, conditioned on the continuous state, the discrete regime state, and parameters. ’. 摘要描述了局部方法或架构，但没有显示其重划长期状态、数据流、控制权或既有 Books proposition.
2606.28670	arxiv:2606.28670	core_daily_semantic_review_required	MACROCAST: A Vintage-Consistent Time Series Foundation Model for Real-Time Macroeconomic Forecasting	pre-denominator closure	context_without_durable_design_delta	—	Family-specific closure for ‘MACROCAST: A Vintage-Consistent Time Series Foundation Model for Real-Time Macroeconomic Forecasting’: its abstract scope is ‘We introduce MACROCAST, a lightweight Time Series Foundation Model (TSFM) for real-time macroeconomic forecasting. ’. 提供相关背景、分析或局部实验，但没有达到长期 AI-System 机制或系统 contract 的候选门槛.
2606.28671	arxiv:2606.28671	core_daily_semantic_review_required	Entropy-Regularized Reinforcement Learning for Linear-Quadratic Stackelberg Differential Games in Regime-Switching Diffusion Models	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Entropy-Regularized Reinforcement Learning for Linear-Quadratic Stackelberg Differential Games in Regime-Switching Diffusion Models’: its abstract scope is ‘Stackelberg differential games (SDGs) provide a powerful framework for hierarchical decision-making in stochastic and continuous-time environments, yet their solution remains computationally challenging due to the complexity of traditional dynamic programming and Hamilton-Jacobi-Bellman-Isaacs (HJBI) methods, especially in high-dimensional systems. ’. 摘要描述了局部方法或架构，但没有显示其重划长期状态、数据流、控制权或既有 Books proposition.
2606.28673	arxiv:2606.28673	not_routed_by_keyword_contract	BackTranslation2.0 -- A Linguistically Motivated Metric to Assess Sign Language Production	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘BackTranslation2.0 -- A Linguistically Motivated Metric to Assess Sign Language Production’: its abstract scope is ‘Sign Languages (SLs) are the primary means of communication for millions of deaf individuals, yet existing evaluation metrics for generated SL remain simplistic and poorly aligned with human judgements. ’. 研究对象是通用数学、统计、控制、硬件或非 AI 系统，未改变本书 AI-System 设计判断.
2606.28674	arxiv:2606.28674	core_daily_semantic_review_required	Constrained Tabular Diffusion for Finance	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Constrained Tabular Diffusion for Finance’: its abstract scope is ‘Generative models in finance face the dual challenge of producing realistic data while satisfying strict regulatory and economic objectives, a requirement that standard tabular diffusion models cannot provide. ’. 贡献由特定领域任务与数据合同主导，尚未形成可跨场景迁移的 AI-System owner 变化.
2606.28676	arxiv:2606.28676	core_daily_semantic_review_required	Predicting Metastatic Risk from Primary Tissue Architecture via Distance-Aware Spatial Modeling	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Predicting Metastatic Risk from Primary Tissue Architecture via Distance-Aware Spatial Modeling’: its abstract scope is ‘Predicting the risk of distant metastasis from primary tumor tissue histology is a critical yet challenging task in computational pathology. ’. 贡献由特定领域任务与数据合同主导，尚未形成可跨场景迁移的 AI-System owner 变化.
2606.28677	arxiv:2606.28677	not_routed_by_keyword_contract	SATB-VR: Training Few-Step Video Restoration Diffusion Model using SNR-Aware Trajectory Blending	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘SATB-VR: Training Few-Step Video Restoration Diffusion Model using SNR-Aware Trajectory Blending’: its abstract scope is ‘While diffusion models excel in video restoration, their reliance on extensive iterative steps limits efficiency. ’. 研究对象是通用数学、统计、控制、硬件或非 AI 系统，未改变本书 AI-System 设计判断.
2606.28679	arxiv:2606.28679	core_daily_semantic_review_required	Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks	retained	candidate_denominator	PLATFORM-SECURITY	Retained under `PLATFORM-SECURITY` after full title+abstract review: ‘Capability Gates Are Not Authorization: Confused-Deputy Failures in LLM Agent Frameworks’ states ‘Tool-using LLM agents increasingly read untrusted content while holding side-effecting tools such as payments, email, CRM, and infrastructure APIs, yet common framework defaults still conflate tool exposure with authorization. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28683	arxiv:2606.28683	core_daily_semantic_review_required	Aristotelian Virtue Profiling of LLMs through Ethical Dilemmas	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Aristotelian Virtue Profiling of LLMs through Ethical Dilemmas’: its abstract scope is ‘Large Language Models (LLMs) often face ethical tradeoffs in which several responses may be defensible but express different priorities, such as fairness, honesty, courage, or restraint. ’. 摘要描述了局部方法或架构，但没有显示其重划长期状态、数据流、控制权或既有 Books proposition.
2606.28684	arxiv:2606.28684	core_daily_semantic_review_required	A Neuroimaging Simulation Framework for Developing and Evaluating Causal AI	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘A Neuroimaging Simulation Framework for Developing and Evaluating Causal AI’: its abstract scope is ‘Causally linking disease-related factors to image-derived biomarkers provides a powerful pathway to understanding disease mechanisms. ’. 贡献由特定领域任务与数据合同主导，尚未形成可跨场景迁移的 AI-System owner 变化.
2606.28688	arxiv:2606.28688	not_routed_by_keyword_contract	LogiCo: A Unified Framework for Logical and Structural Anomaly Detection	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘LogiCo: A Unified Framework for Logical and Structural Anomaly Detection’: its abstract scope is ‘Current anomaly detection methods primarily focus on structural anomalies, while paying insufficient attention to anomalies that violate logical constraints. ’. 研究对象是通用数学、统计、控制、硬件或非 AI 系统，未改变本书 AI-System 设计判断.
2606.28690	arxiv:2606.28690	keyword_daily_semantic_review_required	Formal Security Analysis of Agent Protocol Composition	retained	candidate_denominator	AGENT-MCP	Retained under `AGENT-MCP` after full title+abstract review: ‘Formal Security Analysis of Agent Protocol Composition’ states ‘AI agent protocols define how agents use tools, delegate work, and coordinate across software systems, but their security requirements remain incomplete and inconsistently enforced across deployments. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28692	arxiv:2606.28692	core_daily_semantic_review_required	An AI agent for treatment reasoning over a biomedical tool universe	retained	candidate_denominator	AGENT-WORKFLOW	Retained under `AGENT-WORKFLOW` after full title+abstract review: ‘An AI agent for treatment reasoning over a biomedical tool universe’ states ‘Treatment reasoning underpins every therapeutic decision, integrating disease context, comorbidities, medications, contraindications, and evolving biomedical knowledge to select an appropriate therapy. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28696	arxiv:2606.28696	core_daily_semantic_review_required	COMPASS: Grounding Composition-Intent Guidance in Unified Multimodal Models	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘COMPASS: Grounding Composition-Intent Guidance in Unified Multimodal Models’: its abstract scope is ‘Composition is a high-level visual intent that governs where subjects are placed and how a scene is organized, yet current unified multimodal models remain unreliable at fine-grained composition recognition and struggle to turn such intent into controllable generation. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation authority、状态所有权或长期平台 contract.
2606.28697	arxiv:2606.28697	core_daily_semantic_review_required	Mitigating Batch Effects in Histopathology via Language-Mediated Robust Embedding Generation	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Mitigating Batch Effects in Histopathology via Language-Mediated Robust Embedding Generation’: its abstract scope is ‘Pathology foundation models (PFMs) have demonstrated strong potential across clinical and scientific applications, yet their performance is often hindered by batch effects, which are non-biological variations across tissue source institutions (TSIs) that distort learned feature representations and impair generalization. ’. 贡献由特定领域任务与数据合同主导，尚未形成可跨场景迁移的 AI-System owner 变化.
2606.28707	arxiv:2606.28707	core_daily_semantic_review_required	BV-Blend: Uncertainty-Weighted Historical Baselines for Stable Critic-Free RL with Verifiable Rewards	retained	candidate_denominator	TRAIN-GRPO	Retained under `TRAIN-GRPO` after full title+abstract review: ‘BV-Blend: Uncertainty-Weighted Historical Baselines for Stable Critic-Free RL with Verifiable Rewards’ states ‘Critic-free reinforcement learning with verifiable rewards (RLVR), exemplified by Group Relative Policy Optimization (GRPO), avoids training a value function (critic) and reduces memory and compute overhead relative to critic-based PPO pipelines for aligning large language models. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28708	arxiv:2606.28708	core_daily_semantic_review_required	AnTenA: Actionable and Explainable Tensor Analysis System with Large Language Models	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘AnTenA: Actionable and Explainable Tensor Analysis System with Large Language Models’: its abstract scope is ‘Accurately explaining hidden patterns in multi-aspect data has typically been done by leveraging labels and/or accompanying auxiliary metadata. ’. 摘要描述了局部方法或架构，但没有显示其重划长期状态、数据流、控制权或既有 Books proposition.
2606.28710	arxiv:2606.28710	core_daily_semantic_review_required	The Two Genie Game: Adoption and Welfare in Audit-Grounded AI Governance	pre-denominator closure	context_without_durable_design_delta	—	Family-specific closure for ‘The Two Genie Game: Adoption and Welfare in Audit-Grounded AI Governance’: its abstract scope is ‘We ask under what conditions an agent with a harm-minimizing policy can displace an approval-seeking (RLHF) agent in a competitive market, and when that policy is sufficient to prevent community harm. ’. 提供相关背景、分析或局部实验，但没有达到长期 AI-System 机制或系统 contract 的候选门槛.
2606.28712	arxiv:2606.28712	core_daily_semantic_review_required	J-LAW: Joint Localization and Actionable World Modeling via Coupled Latent Factor Graphs	retained	candidate_denominator	MULTIMODAL-WORLD-MODELS	Retained under `MULTIMODAL-WORLD-MODELS` after full title+abstract review: ‘J-LAW: Joint Localization and Actionable World Modeling via Coupled Latent Factor Graphs’ states ‘Classical SLAM estimates metric poses and a geometric map but produces no actionable predictive model for planning. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28715	arxiv:2606.28715	core_daily_semantic_review_required	SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages	retained	candidate_denominator	PLATFORM-EVALUATION-SYSTEM	Retained under `PLATFORM-EVALUATION-SYSTEM` after full title+abstract review: ‘SEATauBench: Adapting Tool-Agent-User Evaluation Into Low-Resource Southeast Asian Languages’ states ‘While AI development and evaluation for Southeast Asia (SEA) has grown rapidly, agent capabilities in regional languages are still poorly understood despite its importance to sovereign AI. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28716	arxiv:2606.28716	core_daily_semantic_review_required	TrajRS: Towards Certified Robustness in Pedestrian Trajectory Prediction	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘TrajRS: Towards Certified Robustness in Pedestrian Trajectory Prediction’: its abstract scope is ‘The robustness of trajectory prediction models is crucial for developing safe autonomous driving systems. ’. 摘要描述了局部方法或架构，但没有显示其重划长期状态、数据流、控制权或既有 Books proposition.
2606.28719	arxiv:2606.28719	core_daily_semantic_review_required	ComMem: Complementary Memory Systems for Test-Time Adaptation of Vision-Language Models	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘ComMem: Complementary Memory Systems for Test-Time Adaptation of Vision-Language Models’: its abstract scope is ‘Test-time adaptation (TTA) of vision-language models (VLMs) is essential for their robust deployment in dynamic, real-world environments. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation authority、状态所有权或长期平台 contract.
2606.28720	arxiv:2606.28720	not_routed_by_keyword_contract	CubifyGS: Object-Centric 3D Gaussian Splatting for Lifelong Dynamic Scene Maintenance	retained	candidate_denominator	MULTIMODAL-WORLD-MODELS	Retained under `MULTIMODAL-WORLD-MODELS` after full title+abstract review: ‘CubifyGS: Object-Centric 3D Gaussian Splatting for Lifelong Dynamic Scene Maintenance’ states ‘Lifelong scene mapping under rigid object rearrangement remains a fundamental challenge in robotics. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28724	arxiv:2606.28724	core_daily_semantic_review_required	CCRC: A Change-Aware Captioning and Reasoning Chain for Image Change Captioning and Segmentation	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘CCRC: A Change-Aware Captioning and Reasoning Chain for Image Change Captioning and Segmentation’: its abstract scope is ‘Understanding and localizing subtle changes between paired images is critical for tasks such as surveillance and image editing. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation authority、状态所有权或长期平台 contract.
2606.28725	arxiv:2606.28725	core_daily_semantic_review_required	DriftGuard: Safety-Aware Multi-Monitor Detection and Selective Adaptation for Evolving Toxicity Moderation	retained	candidate_denominator	PLATFORM-MONITORING	Retained under `PLATFORM-MONITORING` after full title+abstract review: ‘DriftGuard: Safety-Aware Multi-Monitor Detection and Selective Adaptation for Evolving Toxicity Moderation’ states ‘Automated toxicity moderation systems operate in dynamic online environments where harmful behavior evolves through coded language, shifting targets, and strategic adaptation to enforcement. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28728	arxiv:2606.28728	core_daily_semantic_review_required	Improving Large-Scale Weakly Supervised ASR by Filtering and Selection	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Improving Large-Scale Weakly Supervised ASR by Filtering and Selection’: its abstract scope is ‘Leveraging large-scale weakly supervised datasets is crucial to train robust end-to-end automatic speech recognition (ASR) models. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation authority、状态所有权或长期平台 contract.
2606.28730	arxiv:2606.28730	core_daily_semantic_review_required	Full Conformal Prediction under Stochastic Non-Conformity Measure	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘Full Conformal Prediction under Stochastic Non-Conformity Measure’: its abstract scope is ‘The theory of full conformal prediction uses deterministic non-conformity measure, but modern usage of full conformal prediction often relies on machine learning training, making stochasticity inevitable. ’. 研究对象是通用数学、统计、控制、硬件或非 AI 系统，未改变本书 AI-System 设计判断.
2606.28732	arxiv:2606.28732	keyword_daily_semantic_review_required	CTC-Seeded Token Edit Refinement for Non-Autoregressive Speech Recognition	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘CTC-Seeded Token Edit Refinement for Non-Autoregressive Speech Recognition’: its abstract scope is ‘Non-autoregressive automatic speech recognition (ASR) enables parallel decoding, but many refinement-based methods begin from random, fully masked, or fixed-length token sequences, requiring multiple iterations to reconstruct the complete transcript. ’. 研究对象是通用数学、统计、控制、硬件或非 AI 系统，未改变本书 AI-System 设计判断.
2606.28733	arxiv:2606.28733	core_daily_semantic_review_required	Agentic Abstention: Do Agents Know When to Stop Instead of Act?	retained	candidate_denominator	AGENT-PLANNING	Retained under `AGENT-PLANNING` after full title+abstract review: ‘Agentic Abstention: Do Agents Know When to Stop Instead of Act?’ states ‘LLM agents are expected to act over multiple turns, using search, browsing interfaces, and terminal tools to complete user goals. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28737	arxiv:2606.28737	core_daily_semantic_review_required	5ting at SemEval-2026 Task 8: Strong End-to-End Multi-Turn RAG via LLM-Based Reranking and Faithfulness Control	pre-denominator closure	context_without_durable_design_delta	—	Family-specific closure for ‘5ting at SemEval-2026 Task 8: Strong End-to-End Multi-Turn RAG via LLM-Based Reranking and Faithfulness Control’: its abstract scope is ‘We introduce 5ting, our system for the SemEval2026 Task 8 (MTRAGEval), which evaluates multi-turn Retrieval Augmented Generation (RAG) systems. ’. 提供相关背景、分析或局部实验，但没有达到长期 AI-System 机制或系统 contract 的候选门槛.
2606.28739	arxiv:2606.28739	core_daily_semantic_review_required	Agent Safety Is Action Alignment	retained	candidate_denominator	PLATFORM-SECURITY	Retained under `PLATFORM-SECURITY` after full title+abstract review: ‘Agent Safety Is Action Alignment’ states ‘Large language models increasingly act as agents: they call tools, move money, delete records, and send messages on a user's behalf. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
2606.28745	arxiv:2606.28745	not_routed_by_keyword_contract	FreqOrtho-SR: Frequency-Guided Orthogonal Expert Learning for Real-World Image Super-Resolution	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘FreqOrtho-SR: Frequency-Guided Orthogonal Expert Learning for Real-World Image Super-Resolution’: its abstract scope is ‘Diffusion prior-based methods have shown impressive results in real-world image super-resolution (ISR), yet two key challenges persist: balancing pixel-level fidelity with semantic quality, and adapting to diverse degradations. ’. 研究对象是通用数学、统计、控制、硬件或非 AI 系统，未改变本书 AI-System 设计判断.
2606.28746	arxiv:2606.28746	not_routed_by_keyword_contract	He3-Seeker: Robotic Information Planning for Lunar Helium-3 Distribution Mapping	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘He3-Seeker: Robotic Information Planning for Lunar Helium-3 Distribution Mapping’: its abstract scope is ‘Lunar helium-3 is a highly valuable strategic resource, pivotal to the advancement of both deep-space exploration and space mining. ’. 摘要描述了局部方法或架构，但没有显示其重划长期状态、数据流、控制权或既有 Books proposition.
2606.28747	arxiv:2606.28747	core_daily_semantic_review_required	Self-Supervised Theorem Discovery in a Formal Axiomatic System	retained	candidate_denominator	AGENT-WORKFLOW	Retained under `AGENT-WORKFLOW` after full title+abstract review: ‘Self-Supervised Theorem Discovery in a Formal Axiomatic System’ states ‘Recent artificial intelligence (AI) systems have shown remarkable progress in mathematical reasoning. ’. This may alter durable state/data/control ownership, an evaluation/release contract, or an existing Books proposition; the exact claim remains Evidence-Gate work.
